District Code,District,School,School Code,School Type,Title I Status,Level,Latitude,Longitude
71,Bullitt County,Bernheim Middle School,71005,A1,Title 1 Eligible - Schoolwide School,MS,37.917182,-85.68512
71,Bullitt County,Freedom Elementary School,71006,A1,Title 1 Eligible - Schoolwide School,ES,38.048319,-85.675324
71,Bullitt County,Zoneton Middle School,71007,A1,Title 1 Eligible - Schoolwide School,MS,38.069013,-85.663813
71,Bullitt County,Shepherdsville Elementary,71008,A1,Title 1 Eligible - Schoolwide School,ES,37.996717,-85.719543
71,Bullitt County,Eastside Middle School,71009,A1,Not a Title 1 School,MS,38.027635,-85.603666
71,Bullitt County,Brooks Elementary School,71010,A1,Title 1 Eligible - Schoolwide School,ES,38.06346032,-85.71783431
71,Bullitt County,Bullitt Central High School,71015,A1,Title 1 Eligible - Schoolwide School,HS,37.999109,-85.697787
71,Bullitt County,Bullitt East High School,71016,A1,Not a Title 1 School,HS,38.056114,-85.531337
71,Bullitt County,Bullitt Lick Middle School,71018,A1,Title 1 Eligible - Schoolwide School,MS,37.997756,-85.720392
71,Bullitt County,Cedar Grove Elementary,71020,A1,Title 1 Eligible - Schoolwide School,ES,37.980779,-85.679145
71,Bullitt County,Hebron Middle School,71025,A1,Title 1 Eligible - Schoolwide School,MS,38.048855,-85.669885
71,Bullitt County,Lebanon Junction Elementary,71030,A1,Title 1 Eligible - Schoolwide School,ES,37.848348,-85.726787
71,Bullitt County,Spring Meadows,71032,A6,Not a Title 1 School,HS,38.042847,-85.531969
71,Bullitt County,Maryville Elementary School,71045,A1,Title 1 Eligible - Schoolwide School,ES,38.06128,-85.686253
71,Bullitt County,MT. Washington Middle School,71050,A1,Title 1 Eligible - No Program,MS,38.048087,-85.545196
71,Bullitt County,MT. Washington Elementary,71055,A1,Not a Title 1 School,ES,38.039046,-85.563721
71,Bullitt County,Crossroads Elementary,71060,A1,Title 1 Eligible - Schoolwide School,ES,38.047162,-85.547444
71,Bullitt County,Pleasant Grove Elementary School,71065,A1,Not a Title 1 School,ES,38.025987,-85.612177
71,Bullitt County,Nichols Elementary,71070,A1,Title 1 Eligible - Schoolwide School,ES,38.013748,-85.883998
71,Bullitt County,North Bullitt High School,71075,A1,Title 1 Eligible - No Program,HS,38.048559,-85.671279
