SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,SCH_TYPE,STATE_SCH_ID,NCESID,CATEGORY,CONTENT_LEVEL,OVERALL_SCORE,KY_RANK,CLASSIFICATION,REWARD_RECOGNITION,BASE_YR_SCORE,AMO_GOAL,AMO_MET,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,COOP,COOP_CODE
20132014,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,A1,005021150,210030000052,Accountability,Elementary School,66.7,57,Needs Improvement/Progressing,,61.2,62.2,Yes,YES,Yes,N/A,35,N/A,N/A,GRREC,902
20132014,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,A1,005021180,210030000053,Accountability,Elementary School,73.5,86,Proficient/Progressing,,67.9,68.9,Yes,YES,Yes,N/A,63,N/A,N/A,GRREC,902
20132014,006,BATH,025,Bath County,040,Bath County High School,025040,A1,006025040,210033000057,Accountability,High School,67.0,51,Needs Improvement/Progressing,,64.0,65.0,Yes,YES,Yes,Yes,34,N/A,N/A,KEDC,903
20132014,006,BATH,025,Bath County,020,Bath County Middle School,025020,A1,006025020,210033001606,Accountability,Middle School,59.4,37,Needs Improvement,,60.9,61.9,No,YES,Yes,N/A,42,N/A,N/A,KEDC,903
20132014,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,A1,006025014,210033002223,Accountability,Elementary School,65.5,53,Needs Improvement/Progressing,,58.3,59.3,Yes,YES,Yes,N/A,25,N/A,N/A,KEDC,903
20132014,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,A1,006025030,210033000056,Accountability,Elementary School,63.0,40,Needs Improvement/Progressing,,55.4,56.4,Yes,YES,Yes,N/A,17,N/A,N/A,KEDC,903
20132014,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,A1,059026010,210036000059,Accountability,Elementary School,83.1,99,Distinguished/Progressing,School of Distinction,82.2,82.7,Yes,YES,Yes,N/A,99,N/A,N/A,NKCES,905
20132014,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,A1,059026020,210036000060,Accountability,Middle School,71.2,88,Proficient/Progressing,,70.0,70.5,Yes,YES,Yes,N/A,84,N/A,N/A,NKCES,905
20132014,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,A1,059026020,210036000060,Accountability,High School,85.8,99,Distinguished,,81.7,82.2,Yes,YES,Yes,No,97,N/A,N/A,NKCES,905
20132014,007,BELL,031,Bell County,012,Bell Central School Center,031012,A1,007031012,210039001881,Accountability,Elementary School,77.4,94,Distinguished/Progressing,High Performing School,71.5,72.0,Yes,YES,Yes,N/A,78,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,012,Bell Central School Center,031012,A1,007031012,210039001881,Accountability,Middle School,69.6,83,Proficient/Progressing,,69.0,69.5,Yes,YES,Yes,N/A,79,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,040,Bell County High School,031040,A1,007031040,210039000062,Accountability,High School,68.7,59,Needs Improvement/Progressing,,62.7,63.7,Yes,YES,Yes,Yes,28,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,180,Frakes School Center,031180,A1,007031180,210039000067,Accountability,Elementary School,54.5,15,Needs Improvement,Focus School,57.7,58.7,No,YES,Yes,N/A,23,N/A,N/A,SESC,907
20132014,007,BELL,031,Bell County,180,Frakes School Center,031180,A1,007031180,210039000067,Accountability,Middle School,62.1,49,Needs Improvement,,63.5,64.5,No,YES,Yes,N/A,54,N/A,N/A,SESC,907
