SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,LEVEL,STARS,GAP_REDUCTION,FED_CLASS,PROFICIENCY_RATE,PROFICIENCY_RATING,SEPERATE_RATE,SEPERATE_RATING,GROWTH_RATE,GROWTH_RATING,ELP_GROWTH,TRANSITION_RATE,TRANSITION_RATING,TRANSITION_ELP,GRAD_RATE,GRAD_RATING,OVERALL_SCORE,REASON,GAP_DEMO,FEED_SCHOOL,PROF_WGHT,SEP_WGHT,GROWTH_WGHT,TRANS_WGHT,GRAD_WGHT
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,HS,3,N,,64.3,Medium,62.3,Medium,.,,,63.6,Low,,93.8,Medium,65.6,,Disability:Non-Disability,,30.1,9.7,.,19.9,5.9
20182019,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ES,3,N,,76.2,Medium,66.0,Medium,59.5,Medium,,.,,,.,,67.3,,,,27.8,17.9,21.7,.,.
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,MS,2,N,,54.4,Very Low,49.6,Very Low,52.0,Medium,,.,,,.,,52.2,,,,19.8,13.4,19.0,.,.
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,HS,4,N,,50.6,Low,63.6,Medium,.,,,114.3,Very High,,91.6,Low,75.1,,,,23.7,9.9,.,35.7,5.7
20182019,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ES,3,N,,61.5,Low,66.3,Medium,68.9,High,,.,,,.,,65.5,,,,22.4,18.0,25.1,.,.
20182019,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,KEDC,903,MS,2,N,,54.4,Very Low,49.6,Very Low,52.0,Medium,,.,,,.,,52.2,,,,19.8,13.4,19.0,.,.
20182019,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,KEDC,903,HS,4,N,,50.6,Low,63.6,Medium,.,,,114.3,Very High,,91.6,Low,75.1,,,,23.7,9.9,.,35.7,5.7
20182019,012,BRACKEN,013,Augusta Independent,,---District Total---,013,,,KEDC,903,ES,3,N,,61.5,Low,66.3,Medium,68.9,High,,.,,,.,,65.5,,,,22.4,18.0,25.1,.,.
20182019,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,ES,2,N,,64.5,Low,55.9,Low,54.4,Low,,.,,,.,,58.5,,Disability:Non-Disability,,23.5,15.1,19.8,.,.
20182019,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,MS,3,N,,74.3,Medium,70.4,High,51.7,Medium,,.,,,.,,65.0,,,,27.1,19.1,18.8,.,.
20182019,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,HS,4,N,,67.3,High,60.1,Low,.,,,92.8,Very High,,94.1,Medium,75.8,,,,31.5,9.4,.,29.0,5.9
20182019,004,BALLARD,015,Ballard County,,---District Total---,015,,,WKEC,908,HS,4,N,,67.3,High,60.1,Low,.,,,92.8,Very High,,94.1,Medium,75.8,,,,31.5,9.4,.,29.0,5.9
