SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,LEVEL,FEDERAL CLASSIFICATION,READING_MATH INDICATOR RATE,READING_MATH INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING INDICATOR RATING,GRADUATION RATE INDICATOR,GRADUATION RATING INDICATOR,REASON FOR FEDERAL CLASSIFICATION,FEEDER SCHOOL,OVERALL INDICATOR RATE,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS INDICATOR RATE,ENGLISH LEARNERS PROGRESS INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY INDICATOR RATING,POSTSECONDARY INDICATOR RATE,POSTSECONDARY INDICATOR RATING
20212022,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,A1,ES,"",70.1,4,71.0,4,"","","","",71.1,4,"","",84.5,5,"",""
20212022,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,A1,ES,"",68.2,3,56.8,3,"","","","",63.8,3,"","",77.5,4,"",""
20212022,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,"",ES,"",33.1,2,42.6,2,"","","","",38.9,2,"","",76.6,3,"",""
20212022,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,"",HS,"",41.1,2,32.7,2,100.0,5,"","",48.8,2,"","",61.2,3,64.6,2
20212022,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,"",MS,"",52.1,2,40.1,2,"","","","",46.9,2,"","",64.4,3,"",""
20212022,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,ES,"",33.1,2,42.6,2,"","","","",38.9,2,"","",76.6,3,"",""
20212022,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,HS,"",41.1,2,32.7,2,100.0,5,"","",48.8,2,"","",61.2,3,64.6,2
20212022,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,MS,"",52.1,2,40.1,2,"","","","",46.9,2,"","",64.4,3,"",""
20212022,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,"",ES,"",64.3,3,60.8,3,"","","","",63.2,3,"","",73.8,2,"",""
20212022,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,"",HS,"",70.4,4,48.5,3,90.3,2,"","",73.8,4,"","",57.1,2,104.9,5
20212022,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,"",MS,"",59.7,3,54.1,3,"","","","",57.2,3,"","",64.5,3,"",""
20212022,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,A1,MS,"",59.7,3,54.1,3,"","","","",57.2,3,"","",64.5,3,"",""
20212022,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,A1,HS,"",70.4,4,48.5,3,90.3,2,"","",73.8,4,"","",57.1,2,104.9,5
20212022,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,A1,ES,"",64.3,3,60.8,3,"","","","",63.2,3,"","",73.8,2,"",""
20212022,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,"",ES,"",60.2,3,61.9,3,"","","","",61.5,3,"","",73.7,2,"",""
20212022,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,"",HS,"",70.6,4,57.9,4,93.9,3,"","",73.0,4,"","",67.5,4,88.5,4
20212022,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,"",MS,"",65.9,4,63.2,4,"","","","",64.7,4,"","",68.1,4,"",""
20212022,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,ES,"",60.2,3,61.9,3,"","","","",61.5,3,"","",73.7,2,"",""
20212022,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,HS,"",70.6,4,58.6,4,93.9,3,"","",73.2,4,"","",67.7,4,88.5,4
20212022,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,MS,"",65.9,4,63.2,4,"","","","",64.7,4,"","",68.1,4,"",""
20212022,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,"",ES,"",61.4,3,60.8,3,"","","","",60.3,3,35.0,2,73.1,2,"",""
20212022,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,"",HS,"",59.5,3,47.0,3,89.9,2,"","",62.5,3,"","",63.7,3,76.2,3
20212022,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,"",MS,"",60.7,3,53.7,3,"","","","",57.7,3,"","",68.6,4,"",""
20212022,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,A1,ES,TSI,61.4,3,60.8,3,"","",Disability,"",61.6,3,"","",73.1,2,"",""
20212022,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,A1,ES,TSI,61.4,3,60.8,3,"","",Disability,Bardstown Elementary School,61.6,3,"","",73.1,2,"",""
20212022,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,A1,HS,"",60.3,3,49.2,3,91.5,2,"","",64.2,3,"","",63.7,3,80.0,3
20212022,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,A1,MS,TSI,60.7,3,53.7,3,"","",Disability,"",57.7,3,"","",68.6,4,"",""
20212022,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",ES,"",63.4,3,63.3,3,"","","","",63.9,3,62.9,4,77.5,4,"",""
20212022,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",HS,"",56.7,3,49.9,3,94.6,3,"","",63.6,3,"","",60.3,3,84.0,3
20212022,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",MS,"",64.9,3,60.6,4,"","","","",63.1,4,"","",70.3,4,"",""
20212022,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,A1,ES,"",60.8,3,67.6,4,"","","","",64.4,3,"","",77.5,4,"",""
