End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Proficiency Score,Classification,Classification Code,Rating,Rating Code,Reported Spending per student,Money Difference per school
2012,0,Bath County,25,Crossroads Elementary School,25014,ES,0,55,Needs Improvement,0.0,Low,1.0,6690.0,68600.0
2012,0,Bath County,25,Bath County Middle School,25020,MS,1,53,Needs Improvement,0.0,Low,1.0,5340.0,-60900.0
2012,0,Bath County,25,Owingsville Elementary School,25030,ES,0,60,Needs Improvement,0.0,Low,1.0,6400.0,-71000.0
2012,0,Bath County,25,Bath County High School,25040,HS,2,47,Needs Improvement,0.0,Medium,2.0,7220.0,95500.0
2012,0,Beechwood Independent,26,Beechwood Elementary School,26010,ES,0,74,Distinguished,2.0,Medium,2.0,6400.0,-1300.0
2012,0,Beechwood Independent,26,Beechwood High School,26020,HS,2,84,Distinguished,2.0,High,3.0,6910.0,-1100.0
2012,0,Beechwood Independent,26,Beechwood High School,26020,MS,1,69,Distinguished,2.0,Medium,2.0,6910.0,-1100.0
2012,0,Bell County,31,Bell Central School Center,31012,ES,0,65,Proficient,1.0,Medium,2.0,8500.0,-17800.0
2012,0,Bell County,31,Bell Central School Center,31012,MS,1,56,Needs Improvement,0.0,Medium,2.0,8500.0,-17800.0
2012,0,Bell County,31,Page School Center,31013,MS,1,54,Needs Improvement,0.0,Medium,2.0,7740.0,29300.0
2012,0,Bell County,31,Page School Center,31013,ES,0,48,Needs Improvement,0.0,Low,1.0,7740.0,29300.0
2012,0,Bell County,31,Bell County High School,31040,HS,2,51,Needs Improvement,0.0,Medium,2.0,7820.0,-22000.0
2012,0,Bell County,31,Frakes School Center,31180,ES,0,60,Needs Improvement,0.0,Low,1.0,11350.0,-5600.0
2012,0,Bell County,31,Frakes School Center,31180,MS,1,63,Proficient,1.0,Medium,2.0,11350.0,-5600.0
2012,0,Bell County,31,Lone Jack School Center,31250,MS,1,44,Needs Improvement,0.0,Low,1.0,9420.0,-8900.0
2012,0,Bell County,31,Lone Jack School Center,31250,ES,0,49,Needs Improvement,0.0,Low,1.0,9420.0,-8900.0
2012,0,Bell County,31,Right Fork School Center,31345,MS,1,62,Proficient,1.0,Medium,2.0,8470.0,-6600.0
2012,0,Bell County,31,Right Fork School Center,31345,ES,0,47,Needs Improvement,0.0,Low,1.0,8470.0,-6600.0
2012,0,Bell County,31,Yellow Creek School Center,31390,ES,0,57,Needs Improvement,0.0,Low,1.0,7680.0,27200.0
2012,0,Bell County,31,Yellow Creek School Center,31390,MS,1,59,Proficient,1.0,Medium,2.0,7680.0,27200.0
2012,0,Bellevue Independent,32,Bellevue High School,32010,HS,2,55,Needs Improvement,0.0,Medium,2.0,7150.0,-12000.0
2012,0,Bellevue Independent,32,Bellevue High School,32010,MS,1,38,Needs Improvement,0.0,Low,1.0,7150.0,-12000.0
2012,0,Bellevue Independent,32,Grandview Elementary School,32020,ES,0,59,Needs Improvement,0.0,Low,1.0,6150.0,33900.0
2012,0,Berea Independent,34,Berea Community Elementary School,34010,ES,0,53,Needs Improvement,0.0,Low,1.0,6500.0,50700.0
2012,0,Berea Independent,34,Berea Community Middle School,34015,MS,1,50,Needs Improvement,0.0,Low,1.0,6090.0,24800.0
2012,0,Berea Independent,34,Berea Community High School,34020,HS,2,57,Needs Improvement,0.0,Medium,2.0,6580.0,24000.0
2012,0,Boone County,35,A M Yealey Elementary School,35005,ES,0,62,Needs Improvement,0.0,Low,1.0,7750.0,45400.0
2012,0,Boone County,35,Erpenbeck Elementary School,35006,ES,0,70,Proficient,1.0,Medium,2.0,6820.0,-65200.0
2012,0,Boone County,35,North Pointe Elementary School,35008,ES,0,75,Distinguished,2.0,Medium,2.0,5840.0,-95400.0
2012,0,Boone County,35,Camp Ernst Middle School,35010,MS,1,64,Proficient,1.0,Medium,2.0,6080.0,12900.0
2012,0,Boone County,35,Shirley Mann Elementary School,35011,ES,0,73,Distinguished,2.0,Medium,2.0,6160.0,10200.0
2012,0,Boone County,35,Randall K. Cooper High School,35015,HS,2,65,Distinguished,2.0,Medium,2.0,6710.0,-149900.0
2012,0,Boone County,35,Longbranch Elementary School,35017,ES,0,63,Proficient,1.0,Medium,2.0,5850.0,45400.0
2012,0,Boone County,35,Rector A. Jones Middle School,35020,MS,1,47,Needs Improvement,0.0,Low,1.0,7490.0,-109900.0
2012,0,Boone County,35,Boone County High School,35030,HS,2,58,Needs Improvement,0.0,Medium,2.0,6890.0,98700.0
2012,0,Boone County,35,Burlington Elementary School,35040,ES,0,63,Proficient,1.0,Low,1.0,6790.0,12300.0
2012,0,Boone County,35,Charles H. Kelly Elementary School,35041,ES,0,62,Needs Improvement,0.0,Low,1.0,11800.0,92700.0
2012,0,Boone County,35,Conner Middle School,35043,MS,1,66,Distinguished,2.0,Medium,2.0,5970.0,-42200.0
2012,0,Boone County,35,Conner High School,35045,HS,2,64,Proficient,1.0,Medium,2.0,6680.0,-50400.0
2012,0,Boone County,35,Florence Elementary School,35050,ES,0,55,Needs Improvement,0.0,Low,1.0,7430.0,-68400.0
2012,0,Boone County,35,Chester Goodridge Elementary School,35055,ES,0,62,Needs Improvement,0.0,Low,1.0,6640.0,-34000.0
2012,0,Boone County,35,Hillard Collins Elementary School,35065,ES,0,54,Needs Improvement,0.0,Low,1.0,8580.0,-63600.0
2012,0,Boone County,35,Larry A. Ryle High School,35071,HS,2,68,Distinguished,2.0,Medium,2.0,6320.0,106700.0
2012,0,Boone County,35,Gray Middle School,35075,MS,1,66,Distinguished,2.0,Medium,2.0,6120.0,13400.0
2012,0,Boone County,35,New Haven Elementary School,35080,ES,0,62,Needs Improvement,0.0,Low,1.0,7360.0,85800.0
2012,0,Boone County,35,Ockerman Elementary School,35081,ES,0,61,Needs Improvement,0.0,Low,1.0,7460.0,-71600.0
2012,0,Boone County,35,Stephens Elementary School,35083,ES,0,61,Needs Improvement,0.0,Low,1.0,6620.0,-31300.0
2012,0,Boone County,35,Ockerman Middle School,35085,MS,1,62,Proficient,1.0,Medium,2.0,6080.0,60200.0
2012,0,Bourbon County,41,Bourbon Central Elementary School,41010,ES,0,63,Proficient,1.0,Medium,2.0,7350.0,113300.0
2012,0,Bourbon County,41,Cane Ridge Elementary School,41030,ES,0,53,Needs Improvement,0.0,Low,1.0,7740.0,91200.0
2012,0,Bourbon County,41,North Middletown Elementary School,41090,ES,0,63,Proficient,1.0,Medium,2.0,9720.0,40900.0
2012,0,Bourbon County,41,Bourbon County High School,41110,HS,2,57,Needs Improvement,0.0,Medium,2.0,6820.0,150000.0
2012,0,Bourbon County,41,Bourbon County Middle School,41120,MS,1,57,Needs Improvement,0.0,Medium,2.0,7000.0,120600.0
2012,0,Bowling Green Independent,42,Dishman McGinnis Elementary School,42010,ES,0,52,Needs Improvement,0.0,Low,1.0,7990.0,21400.0
2012,0,Bowling Green Independent,42,Parker-Bennett-Curry School,42057,ES,0,46,Needs Improvement,0.0,Low,1.0,8360.0,24400.0
2012,0,Bowling Green Independent,42,Potter Gray Elementary,42060,ES,0,71,Distinguished,2.0,Medium,2.0,7010.0,25200.0
2012,0,Bowling Green Independent,42,Bowling Green Junior High,42065,MS,1,60,Proficient,1.0,Medium,2.0,6910.0,38200.0
2012,0,Bowling Green Independent,42,Bowling Green High School,42070,HS,2,59,Proficient,1.0,Medium,2.0,8370.0,88800.0
2012,0,Bowling Green Independent,42,T C Cherry Elementary School,42080,ES,0,57,Needs Improvement,0.0,Low,1.0,7890.0,17500.0
2012,0,Bowling Green Independent,42,W R McNeill Elementary School,42090,ES,0,71,Distinguished,2.0,Medium,2.0,7150.0,26800.0
2012,0,Boyd County,45,Boyd County High School,45010,HS,2,53,Needs Improvement,0.0,Medium,2.0,8140.0,76700.0
2012,0,Boyd County,45,Cannonsburg Elementary School,45020,ES,0,50,Needs Improvement,0.0,Low,1.0,6810.0,28300.0
2012,0,Boyd County,45,Boyd County Middle School,45035,MS,1,57,Needs Improvement,0.0,Medium,2.0,7230.0,71200.0
2012,0,Boyd County,45,Summit Elementary School,45080,ES,0,65,Proficient,1.0,Medium,2.0,6780.0,54900.0
2012,0,Boyd County,45,Catlettsburg Elementary School,45095,ES,0,44,Needs Improvement,0.0,Low,1.0,9910.0,28600.0
2012,0,Boyd County,45,Ponderosa Elementary School,45097,ES,0,58,Needs Improvement,0.0,Low,1.0,6220.0,34700.0
2012,0,Boyle County,51,Boyle County Middle School,51003,MS,1,65,Proficient,1.0,Medium,2.0,6110.0,50500.0
2012,0,Boyle County,51,Boyle County High School,51005,HS,2,62,Proficient,1.0,Medium,2.0,6590.0,-38900.0
2012,0,Boyle County,51,Junction City Elementary School,51040,ES,0,70,Proficient,1.0,Medium,2.0,8600.0,-127000.0
2012,0,Boyle County,51,Woodlawn Elementary School,51050,ES,0,67,Proficient,1.0,Medium,2.0,7680.0,50600.0
2012,0,Boyle County,51,Perryville Elementary School,51080,ES,0,72,Distinguished,2.0,Medium,2.0,9010.0,23200.0
2012,0,Bracken County,55,Bracken County High School,55010,HS,2,58,Needs Improvement,0.0,Medium,2.0,7800.0,13000.0
2012,0,Bracken County,55,Taylor Elementary School,55050,ES,0,52,Needs Improvement,0.0,Low,1.0,7280.0,37300.0
2012,0,Bracken County,55,Bracken County Middle School,55060,MS,1,53,Needs Improvement,0.0,Low,1.0,9060.0,45400.0
2012,0,Breathitt County,61,Highland-Turner Elementary School,61030,ES,0,55,Needs Improvement,0.0,Low,1.0,9980.0,-99500.0
2012,0,Breathitt County,61,Highland-Turner Elementary School,61030,MS,1,61,Proficient,1.0,Medium,2.0,9980.0,-99500.0
2012,0,Breathitt County,61,Breathitt County High School,61060,HS,2,42,Needs Improvement,0.0,Low,1.0,8590.0,-19000.0
2012,0,Breathitt County,61,LBJ Elementary School,61150,MS,1,44,Needs Improvement,0.0,Low,1.0,8400.0,-23800.0
2012,0,Breathitt County,61,Sebastian Elementary School,61150,ES,0,49,Needs Improvement,0.0,Low,1.0,8400.0,-23800.0
2012,0,Breathitt County,61,Marie Roberts-Caney Elementary School,61185,ES,0,44,Needs Improvement,0.0,Low,1.0,9160.0,21300.0
2012,0,Breathitt County,61,Marie Roberts-Caney Elementary School,61185,MS,1,44,Needs Improvement,0.0,Low,1.0,9160.0,21300.0
2012,0,Breathitt County,61,Rousseau Elementary School,61270,MS,1,52,Needs Improvement,0.0,Low,1.0,13280.0,-43500.0
2012,0,Breathitt County,61,Rousseau Elementary School,61270,ES,0,38,Needs Improvement,0.0,Very Low,0.0,13280.0,-43500.0
2012,0,Breathitt County,61,Sebastian Middle School,61390,MS,1,50,Needs Improvement,0.0,Low,1.0,8660.0,-15000.0
2012,0,Breckinridge County,65,Breckinridge County High School,65010,HS,2,59,Proficient,1.0,Medium,2.0,6040.0,58000.0
2012,0,Breckinridge County,65,Hardinsburg Elementary School,65020,ES,0,71,Distinguished,2.0,Medium,2.0,8340.0,51100.0
2012,0,Breckinridge County,65,Ben Johnson Elementary School,65030,ES,0,68,Proficient,1.0,Medium,2.0,8200.0,20100.0
2012,0,Breckinridge County,65,Custer Elementary School,65040,ES,0,50,Needs Improvement,0.0,Low,1.0,8150.0,15400.0
2012,0,Breckinridge County,65,Irvington Elementary School,65050,ES,0,48,Needs Improvement,0.0,Low,1.0,8040.0,-54700.0
2012,0,Breckinridge County,65,Breckinridge County Middle School,65100,MS,1,59,Proficient,1.0,Medium,2.0,6880.0,47500.0
2012,0,Bullitt County,71,Bernheim Middle School,71005,MS,1,56,Needs Improvement,0.0,Medium,2.0,5060.0,8800.0
2012,0,Bullitt County,71,Freedom Elementary School,71006,ES,0,65,Proficient,1.0,Medium,2.0,6080.0,137600.0
2012,0,Bullitt County,71,Zoneton Middle School,71007,MS,1,52,Needs Improvement,0.0,Low,1.0,5980.0,11200.0
2012,0,Bullitt County,71,Shepherdsville Elementary,71008,ES,0,53,Needs Improvement,0.0,Low,1.0,6420.0,-56300.0
2012,0,Bullitt County,71,Eastside Middle School,71009,MS,1,62,Proficient,1.0,Medium,2.0,4740.0,10100.0
2012,0,Bullitt County,71,Brooks Elementary School,71010,ES,0,57,Needs Improvement,0.0,Low,1.0,6840.0,600.0
2012,0,Bullitt County,71,Bullitt Central High School,71015,HS,2,48,Needs Improvement,0.0,Medium,2.0,5290.0,-177800.0
2012,0,Bullitt County,71,Bullitt East High School,71016,HS,2,57,Needs Improvement,0.0,Medium,2.0,4740.0,1400.0
2012,0,Bullitt County,71,Bullitt Lick Middle School,71018,MS,1,47,Needs Improvement,0.0,Low,1.0,6480.0,-100500.0
2012,0,Bullitt County,71,Cedar Grove Elementary,71020,ES,0,67,Proficient,1.0,Medium,2.0,6710.0,56500.0
2012,0,Bullitt County,71,Hebron Middle School,71025,MS,1,47,Needs Improvement,0.0,Low,1.0,6180.0,46000.0
2012,0,Bullitt County,71,Lebanon Junction Elementary,71030,ES,0,66,Proficient,1.0,Medium,2.0,6310.0,500.0
2012,0,Bullitt County,71,Maryville Elementary School,71045,ES,0,57,Needs Improvement,0.0,Low,1.0,7140.0,500.0
2012,0,Bullitt County,71,MT. Washington Middle School,71050,MS,1,58,Needs Improvement,0.0,Medium,2.0,5460.0,149300.0
2012,0,Bullitt County,71,MT. Washington Elementary,71055,ES,0,65,Proficient,1.0,Medium,2.0,5940.0,74100.0
2012,0,Bullitt County,71,Crossroads Elementary,71060,ES,0,52,Needs Improvement,0.0,Low,1.0,5690.0,-107400.0
2012,0,Bullitt County,71,Pleasant Grove Elementary School,71065,ES,0,64,Proficient,1.0,Medium,2.0,5350.0,600.0
2012,0,Bullitt County,71,Nichols Elementary,71070,ES,0,60,Needs Improvement,0.0,Low,1.0,8330.0,12100.0
2012,0,Bullitt County,71,North Bullitt High School,71075,HS,2,48,Needs Improvement,0.0,Medium,2.0,5430.0,1400.0
2012,0,Bullitt County,71,Old Mill Elementary School,71078,ES,0,68,Proficient,1.0,Medium,2.0,5880.0,29100.0
2012,0,Bullitt County,71,Overdale Elementary School,71080,ES,0,65,Proficient,1.0,Medium,2.0,6170.0,-81100.0
2012,0,Bullitt County,71,Roby Elementary School,71090,ES,0,52,Needs Improvement,0.0,Low,1.0,6640.0,600.0
2012,0,Burgin Independent,72,Burgin High School,72010,MS,1,52,Needs Improvement,0.0,Low,1.0,6520.0,42100.0
2012,0,Burgin Independent,72,Burgin High School,72010,HS,2,58,Needs Improvement,0.0,Medium,2.0,6520.0,42100.0
2012,0,Burgin Independent,72,Burgin Elementary School,72020,ES,0,64,Proficient,1.0,Medium,2.0,5360.0,42100.0
2012,0,Butler County,75,Butler County High School,75030,HS,2,52,Needs Improvement,0.0,Medium,2.0,7580.0,37600.0
2012,0,Butler County,75,North Butler Elementary,75031,ES,0,53,Needs Improvement,0.0,Low,1.0,8080.0,38200.0
2012,0,Butler County,75,Butler County Middle School,75035,MS,1,45,Needs Improvement,0.0,Low,1.0,7170.0,60600.0
2012,0,Butler County,75,Morgantown Elementary School,75120,ES,0,49,Needs Improvement,0.0,Low,1.0,6540.0,32000.0
2012,0,Caldwell County,81,Caldwell County High School,81010,HS,2,57,Needs Improvement,0.0,Medium,2.0,7000.0,66000.0
2012,0,Caldwell County,81,Caldwell County Middle School,81020,MS,1,60,Proficient,1.0,Medium,2.0,6770.0,50500.0
2012,0,Caldwell County,81,Caldwell County Elementary School,81070,ES,0,58,Needs Improvement,0.0,Low,1.0,6530.0,90400.0
2012,0,Calloway County,85,Calloway County High School,85020,HS,2,65,Distinguished,2.0,Medium,2.0,7520.0,198200.0
2012,0,Calloway County,85,East Calloway Elementary School,85025,ES,0,64,Proficient,1.0,Medium,2.0,8790.0,-52900.0
2012,0,Calloway County,85,North Calloway Elementary School,85035,ES,0,68,Proficient,1.0,Medium,2.0,7590.0,129900.0
2012,0,Calloway County,85,Southwest Calloway Elementary School,85045,ES,0,68,Proficient,1.0,Medium,2.0,8020.0,154300.0
2012,0,Calloway County,85,Calloway County Middle School,85055,MS,1,63,Proficient,1.0,Medium,2.0,6070.0,-88400.0
2012,0,Campbell County,91,Campbell County Middle School,91011,MS,1,58,Needs Improvement,0.0,Medium,2.0,6600.0,3000.0
2012,0,Campbell County,91,John W. Reiley Elementary School,91012,ES,0,70,Distinguished,2.0,Medium,2.0,8360.0,36900.0
2012,0,Campbell County,91,Donald E. Cline Elementary School,91013,ES,0,68,Proficient,1.0,Medium,2.0,9770.0,1000.0
2012,0,Campbell County,91,Campbell Ridge Elementary,91019,ES,0,61,Needs Improvement,0.0,Low,1.0,8000.0,1900.0
2012,0,Campbell County,91,Crossroads Elementary School,91035,ES,0,58,Needs Improvement,0.0,Low,1.0,9900.0,-60500.0
2012,0,Campbell County,91,Grant's Lick Elementary School,91050,ES,0,68,Proficient,1.0,Medium,2.0,10080.0,-13800.0
2012,0,Campbell County,91,Campbell County High School,91100,HS,2,63,Proficient,1.0,Medium,2.0,7040.0,3500.0
2012,0,Campbellsville Independent,92,Campbellsville Elementary School,92010,ES,0,56,Needs Improvement,0.0,Low,1.0,10700.0,109200.0
2012,0,Campbellsville Independent,92,Campbellsville High School,92020,HS,2,52,Needs Improvement,0.0,Medium,2.0,13760.0,27300.0
2012,0,Campbellsville Independent,92,Campbellsville Middle School,92025,MS,1,53,Needs Improvement,0.0,Low,1.0,10950.0,36000.0
2012,0,Carlisle County,95,Carlisle County Middle School,95020,MS,1,53,Needs Improvement,0.0,Low,1.0,5410.0,58400.0
2012,0,Carlisle County,95,Carlisle County High School,95040,HS,2,58,Proficient,1.0,Medium,2.0,6240.0,0.0
2012,0,Carlisle County,95,Carlisle County Elementary School,95060,ES,0,54,Needs Improvement,0.0,Low,1.0,6990.0,0.0
2012,0,Carroll County,101,Cartmell Elementary,101005,ES,0,48,Needs Improvement,0.0,Low,1.0,7550.0,-73700.0
2012,0,Carroll County,101,Carroll County High School,101018,HS,2,53,Needs Improvement,0.0,Medium,2.0,7650.0,-36200.0
2012,0,Carroll County,101,Carroll County Middle School,101019,MS,1,46,Needs Improvement,0.0,Low,1.0,8350.0,22600.0
2012,0,Carter County,105,Carter Elementary School,105050,ES,0,59,Needs Improvement,0.0,Very Low,0.0,,-40200.0
2012,0,Carter County,105,Heritage Elementary School,105052,ES,0,56,Needs Improvement,0.0,Low,1.0,10780.0,69100.0
2012,0,Carter County,105,East Carter County High School,105120,HS,2,58,Proficient,1.0,Very Low,0.0,,-84900.0
2012,0,Carter County,105,East Carter Middle School,105130,MS,1,58,Needs Improvement,0.0,Medium,2.0,7580.0,-116200.0
2012,0,Carter County,105,Olive Hill Elementary School,105250,ES,0,53,Needs Improvement,0.0,Low,1.0,9230.0,64900.0
2012,0,Carter County,105,Prichard Elementary School,105340,ES,0,62,Needs Improvement,0.0,Low,1.0,7910.0,68000.0
2012,0,Carter County,105,Star Elementary School,105450,ES,0,73,Distinguished,2.0,Medium,2.0,11480.0,20000.0
2012,0,Carter County,105,Upper Tygart Elementary School,105490,ES,0,60,Needs Improvement,0.0,Low,1.0,8920.0,-32300.0
2012,0,Carter County,105,West Carter County High School,105500,HS,2,50,Needs Improvement,0.0,Medium,2.0,8180.0,52100.0
2012,0,Carter County,105,West Carter Middle School,105505,MS,1,59,Proficient,1.0,Medium,2.0,7220.0,64900.0
2012,0,Casey County,111,Walnut Hill Elementary School,111015,ES,0,65,Proficient,1.0,Medium,2.0,9050.0,13400.0
2012,0,Casey County,111,Jones Park Elementary,111026,ES,0,58,Needs Improvement,0.0,Low,1.0,8430.0,13000.0
2012,0,Casey County,111,Casey County High School,111045,HS,2,56,Needs Improvement,0.0,Medium,2.0,7980.0,17500.0
2012,0,Casey County,111,Casey County Middle School,111070,MS,1,59,Proficient,1.0,Medium,2.0,7820.0,9000.0
2012,0,Casey County,111,Liberty Elementary School,111190,ES,0,74,Distinguished,2.0,Medium,2.0,7360.0,9000.0
2012,0,Caverna Independent,113,Caverna Elementary School,113025,ES,0,56,Needs Improvement,0.0,Low,1.0,8340.0,77300.0
2012,0,Caverna Independent,113,Caverna Middle School,113026,MS,1,52,Needs Improvement,0.0,Low,1.0,8490.0,21900.0
2012,0,Caverna Independent,113,Caverna High School,113030,HS,2,41,Needs Improvement,0.0,Low,1.0,11670.0,48700.0
2012,0,Christian County,115,Martin Luther King Jr. Elementary School,115017,ES,0,44,Needs Improvement,0.0,Low,1.0,7790.0,-19700.0
2012,0,Christian County,115,Belmont Elementary School,115020,ES,0,52,Needs Improvement,0.0,Low,1.0,7470.0,78700.0
2012,0,Christian County,115,Christian County High School,115030,HS,2,51,Needs Improvement,0.0,Medium,2.0,7220.0,242100.0
2012,0,Christian County,115,Christian County Middle School,115035,MS,1,43,Needs Improvement,0.0,Low,1.0,7140.0,10800.0
2012,0,Christian County,115,Crofton Elementary School,115040,ES,0,58,Needs Improvement,0.0,Low,1.0,8490.0,57600.0
2012,0,Christian County,115,North Drive Middle School,115045,MS,1,42,Needs Improvement,0.0,Low,1.0,9650.0,-14400.0
2012,0,Christian County,115,Hopkinsville High School,115050,HS,2,54,Needs Improvement,0.0,Medium,2.0,6540.0,14400.0
2012,0,Christian County,115,Indian Hills Elementary School,115055,ES,0,43,Needs Improvement,0.0,Low,1.0,8000.0,119000.0
2012,0,Christian County,115,Hopkinsville Middle School,115058,MS,1,55,Needs Improvement,0.0,Medium,2.0,6530.0,127100.0
2012,0,Christian County,115,Holiday Elementary School,115105,ES,0,56,Needs Improvement,0.0,Low,1.0,7100.0,115000.0
2012,0,Christian County,115,Lacy Elementary School,115110,ES,0,53,Needs Improvement,0.0,Low,1.0,7930.0,4500.0
2012,0,Christian County,115,Millbrooke Elementary School,115125,ES,0,58,Needs Improvement,0.0,Low,1.0,6530.0,96000.0
2012,0,Christian County,115,Pembroke Elementary School,115130,ES,0,54,Needs Improvement,0.0,Low,1.0,6760.0,-12500.0
2012,0,Christian County,115,Sinking Fork Elementary School,115150,ES,0,51,Needs Improvement,0.0,Low,1.0,8540.0,78000.0
2012,0,Christian County,115,South Christian Elementary School,115170,ES,0,68,Proficient,1.0,Medium,2.0,7940.0,121000.0
2012,0,Clark County,121,Central Elementary School,121020,ES,0,59,Needs Improvement,0.0,Low,1.0,7440.0,61000.0
2012,0,Clark County,121,George Rogers Clark High School,121030,HS,2,51,Needs Improvement,0.0,Medium,2.0,6120.0,-57200.0
