End Year,End Year Code,District,District Code,School,School Code,Level,Level Code,Proficiency Score,Classification,Classification Code,Rating,Rating Code
2012,0,Clark County,121,George Rogers Clark High School,121030,HS,2,51,Needs Improvement,0.0,,
2012,0,Clark County,121,Hannah McClure Elementary,121050,ES,0,69,Proficient,1.0,,
2012,0,Clark County,121,Pilot View Elementary School,121080,ES,0,82,Distinguished,2.0,,
2012,0,Clark County,121,Providence Elementary,121090,ES,0,74,Distinguished,2.0,,
2012,0,Clark County,121,Shearer Elementary School,121095,ES,0,58,Needs Improvement,0.0,,
2012,0,Clark County,121,Strode Station Elementary,121120,ES,0,62,Needs Improvement,0.0,,
2012,0,Clark County,121,Trapp Elementary School,121100,ES,0,75,Distinguished,2.0,,
2012,0,Clay County,125,Big Creek Elementary,125040,ES,0,43,Needs Improvement,0.0,,
2012,0,Clay County,125,Burning Springs Elementary,125070,ES,0,48,Needs Improvement,0.0,,
2012,0,Clay County,125,Clay County High School,125100,HS,2,44,Needs Improvement,0.0,,
2012,0,Clay County,125,Clay County Middle School,125095,MS,1,40,Needs Improvement,0.0,,
2012,0,Clay County,125,Goose Rock Elementary,125200,ES,0,32,Needs Improvement,0.0,,
2012,0,Clay County,125,Hacker Elementary School,125220,ES,0,55,Needs Improvement,0.0,,
2012,0,Clay County,125,Manchester Elementary School,125500,ES,0,58,Needs Improvement,0.0,,
2012,0,Clay County,125,Oneida Elementary School,125570,ES,0,42,Needs Improvement,0.0,,
2012,0,Clay County,125,Paces Creek Elementary,125580,ES,0,31,Needs Improvement,0.0,,
2012,0,Clinton County,131,Albany Elementary School,131015,ES,0,54,Needs Improvement,0.0,,
2012,0,Clinton County,131,Clinton County High School,131050,HS,2,61,Proficient,1.0,,
2012,0,Clinton County,131,Clinton County Middle School,131045,MS,1,50,Needs Improvement,0.0,,
2012,0,Cloverport Independent,132,Frederick Fraize High School,132010,HS,2,54,Needs Improvement,0.0,,
2012,0,Cloverport Independent,132,Frederick Fraize Middle School,132025,MS,1,57,Needs Improvement,0.0,,
2012,0,Cloverport Independent,132,William H Natcher Elementary School,132020,ES,0,42,Needs Improvement,0.0,,
2012,0,Corbin Independent,133,Corbin Elementary,133017,ES,0,71,Distinguished,2.0,,
2012,0,Corbin Independent,133,Corbin High School,133040,HS,2,66,Distinguished,2.0,,
2012,0,Corbin Independent,133,Corbin Intermediate,133018,ES,0,63,Proficient,1.0,,
2012,0,Corbin Independent,133,Corbin Middle School,133050,MS,1,68,Distinguished,2.0,,
2012,0,Covington Independent,134,Glenn O Swing Elementary,134160,ES,0,49,Needs Improvement,0.0,,
2012,0,Covington Independent,134,Holmes High School,134019,HS,2,36,Needs Improvement,0.0,,
2012,0,Covington Independent,134,Holmes Middle School,134017,MS,1,34,Needs Improvement,0.0,,
2012,0,Covington Independent,134,John G Carlisle Elementary,134110,ES,0,40,Needs Improvement,0.0,,
2012,0,Covington Independent,134,Latonia Elementary School,134115,ES,0,48,Needs Improvement,0.0,,
2012,0,Covington Independent,134,Ninth District Elementary,134150,ES,0,45,Needs Improvement,0.0,,
2012,0,Covington Independent,134,Sixth District Elementary School,134170,ES,0,48,Needs Improvement,0.0,,
2012,0,Crittenden County,135,Crittenden County Elementary School,135100,ES,0,65,Proficient,1.0,,
2012,0,Crittenden County,135,Crittenden County High School,135020,HS,2,54,Needs Improvement,0.0,,
2012,0,Crittenden County,135,Crittenden County Middle School,135025,MS,1,57,Needs Improvement,0.0,,
2012,0,Cumberland County,141,Cumberland County Elementary School,141070,ES,0,55,Needs Improvement,0.0,,
2012,0,Cumberland County,141,Cumberland County High School,141080,HS,2,53,Needs Improvement,0.0,,
2012,0,Cumberland County,141,Cumberland County Middle School,141075,MS,1,56,Needs Improvement,0.0,,
2012,0,Danville Independent,143,Danville High School,143030,HS,2,55,Needs Improvement,0.0,,
2012,0,Danville Independent,143,Hogsett Elementary School,143040,ES,0,58,Needs Improvement,0.0,,
2012,0,Danville Independent,143,Jennie Rogers Elementary School,143110,ES,0,57,Needs Improvement,0.0,,
2012,0,Danville Independent,143,John W. Bate Middle School,143005,MS,1,51,Needs Improvement,0.0,,
2012,0,Danville Independent,143,Toliver Elementary School,143060,ES,0,62,Needs Improvement,0.0,,
2012,0,Daviess County,145,Apollo High School,145005,HS,2,52,Needs Improvement,0.0,,
2012,0,Daviess County,145,Audubon Elementary School,145085,ES,0,68,Proficient,1.0,,
2012,0,Daviess County,145,College View Middle School,145155,MS,1,60,Proficient,1.0,,
2012,0,Daviess County,145,Country Heights Elementary School,145150,ES,0,66,Proficient,1.0,,
2012,0,Daviess County,145,Daviess County High School,145010,HS,2,56,Needs Improvement,0.0,,
2012,0,Daviess County,145,Daviess County Middle School,145020,MS,1,60,Proficient,1.0,,
2012,0,Daviess County,145,Deer Park Elementary School,145040,ES,0,64,Proficient,1.0,,
2012,0,Daviess County,145,East View Elementary School,145007,ES,0,63,Proficient,1.0,,
2012,0,Daviess County,145,F T Burns Elementary School,145145,ES,0,71,Distinguished,2.0,,
2012,0,Daviess County,145,F T Burns Middle School,145008,MS,1,61,Proficient,1.0,,
2012,0,Daviess County,145,Highland Elementary School,145025,ES,0,73,Distinguished,2.0,,
2012,0,Daviess County,145,Meadow Lands Elementary School,145006,ES,0,53,Needs Improvement,0.0,,
2012,0,Daviess County,145,Sorgho Elementary School,145070,ES,0,64,Proficient,1.0,,
2012,0,Daviess County,145,Southern Oaks Elementary School,145011,ES,0,64,Proficient,1.0,,
2012,0,Daviess County,145,Tamarack Elementary School,145095,ES,0,64,Proficient,1.0,,
2012,0,Daviess County,145,West Louisville Elementary School,145130,ES,0,63,Proficient,1.0,,
2012,0,Daviess County,145,Whitesville Elementary School,145140,ES,0,64,Proficient,1.0,,
2012,0,Dawson Springs Independent,146,Dawson Springs Elementary,146017,ES,0,58,Needs Improvement,0.0,,
2012,0,Dawson Springs Independent,146,Dawson Springs Jr/Sr High School,146018,HS,2,53,Needs Improvement,0.0,,
2012,0,Dawson Springs Independent,146,Dawson Springs Jr/Sr High School,146018,MS,1,62,Proficient,1.0,,
2012,0,Dayton Independent,147,Dayton High School,147010,MS,1,46,Needs Improvement,0.0,,
2012,0,Dayton Independent,147,Dayton High School,147010,HS,2,46,Needs Improvement,0.0,,
2012,0,Dayton Independent,147,Lincoln Elementary School,147030,ES,0,60,Needs Improvement,0.0,,
2012,0,East Bernstadt Independent,149,East Bernstadt Elementary School,149010,ES,0,48,Needs Improvement,0.0,,
2012,0,East Bernstadt Independent,149,East Bernstadt Elementary School,149010,MS,1,45,Needs Improvement,0.0,,
2012,0,Edmonson County,151,Edmonson County 5/6 Center,151022,ES,0,52,Needs Improvement,0.0,,
2012,0,Edmonson County,151,Edmonson County High School,151060,HS,2,52,Needs Improvement,0.0,,
2012,0,Edmonson County,151,Edmonson County Middle School,151050,MS,1,68,Distinguished,2.0,,
