District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
55,Bracken County,Bracken County High School,55010,HS,2012,7804.0,324.0,20.0,11.0
55,Bracken County,Taylor Elementary School,55050,ES,2012,7281.0,562.0,37.0,13.0
55,Bracken County,Bracken County Middle School,55060,MS,2012,9060.0,262.0,15.0,15.0
61,Breathitt County,Highland-Turner Elementary School,61030,ES,2012,9978.0,217.0,16.0,9.0
61,Breathitt County,Highland-Turner Elementary School,61030,MS,2012,9978.0,217.0,16.0,9.0
61,Breathitt County,Breathitt County Day Treatment,61033,HS,2012,,30.0,,
61,Breathitt County,Breathitt County High School,61060,MS,2012,8586.0,526.0,28.0,12.0
61,Breathitt County,Breathitt County High School,61060,HS,2012,8586.0,526.0,28.0,12.0
61,Breathitt County,LBJ Elementary School,61150,MS,2012,8398.0,590.0,35.0,14.0
61,Breathitt County,Sebastian Elementary School,61150,ES,2012,8398.0,590.0,35.0,14.0
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,ES,2012,9157.0,334.0,21.0,15.0
61,Breathitt County,Marie Roberts-Caney Elementary School,61185,MS,2012,9157.0,334.0,21.0,15.0
61,Breathitt County,Rousseau Elementary School,61270,MS,2012,13281.0,89.0,7.0,9.0
61,Breathitt County,Rousseau Elementary School,61270,ES,2012,13281.0,89.0,7.0,9.0
61,Breathitt County,Sebastian Middle School,61390,MS,2012,8657.0,318.0,22.0,14.0
65,Breckinridge County,Breckinridge County High School,65010,HS,2012,6041.0,867.0,42.0,11.0
65,Breckinridge County,Hardinsburg Elementary School,65020,ES,2012,8343.0,515.0,37.0,11.0
65,Breckinridge County,Ben Johnson Elementary School,65030,ES,2012,8200.0,196.0,12.0,13.0
65,Breckinridge County,Custer Elementary School,65040,ES,2012,8152.0,202.0,12.0,10.0
65,Breckinridge County,Irvington Elementary School,65050,ES,2012,8037.0,364.0,23.0,8.0
65,Breckinridge County,Breckinridge County Middle School,65100,MS,2012,6880.0,589.0,37.0,10.0
71,Bullitt County,Bernheim Middle School,71005,MS,2012,5065.0,490.0,26.0,11.0
