District Code,District,School,School Code,Level,End Year,Reported Spending per student,Student Count,Educator Count,Years of experience
85,Calloway County,Calloway County High School,85020,HS,2012,7523,954,58,13
85,Calloway County,East Calloway Elementary School,85025,ES,2012,8789,349,23,8
85,Calloway County,North Calloway Elementary School,85035,ES,2012,7586,611,38,10
85,Calloway County,Southwest Calloway Elementary School,85045,ES,2012,8016,481,30,15
85,Calloway County,Calloway County Middle School,85055,MS,2012,6072,742,40,9
91,Campbell County,Campbell County Middle School,91011,MS,2012,6604,1198,68,10
91,Campbell County,John W. Reiley Elementary School,91012,ES,2012,8364,371,24,12
91,Campbell County,Donald E. Cline Elementary School,91013,ES,2012,9770,312,23,10
91,Campbell County,Alexandria Educational Center,91016,HS,2012,,35,,
91,Campbell County,Campbell Ridge Elementary,91019,ES,2012,7996,639,43,10
91,Campbell County,Crossroads Elementary School,91035,ES,2012,9898,509,41,8
91,Campbell County,Grant's Lick Elementary School,91050,ES,2012,10076,242,19,9
91,Campbell County,Campbell County High School,91100,HS,2012,7035,1436,80,10
92,Campbellsville Independent,Campbellsville Elementary School,92010,ES,2012,10697,487,37,16
92,Campbellsville Independent,Campbellsville High School,92020,HS,2012,13764,243,19,12
92,Campbellsville Independent,Campbellsville Middle School,92025,ES,2012,10949,335,25,11
92,Campbellsville Independent,Campbellsville Middle School,92025,MS,2012,10949,335,25,11
95,Carlisle County,Carlisle County Middle School,95020,MS,2012,5411,184,12,10
95,Carlisle County,Carlisle County High School,95040,HS,2012,6238,228,16,9
95,Carlisle County,Carlisle County Elementary School,95060,ES,2012,6987,354,31,9
101,Carroll County,Cartmell Elementary,101005,ES,2012,7553,433,28,7
101,Carroll County,Kathryn Winn Primary,101010,ES,2012,10001,441,32,13
101,Carroll County,Carroll County High School,101018,HS,2012,7653,512,33,9
101,Carroll County,Carroll County Middle School,101019,MS,2012,8347,407,28,11
105,Carter County,Carter Elementary School,105050,ES,2012,,155,12,8
105,Carter County,Heritage Elementary School,105052,ES,2012,10782,383,33,16
105,Carter County,East Carter County High School,105120,HS,2012,736,770,50,10
105,Carter County,East Carter Middle School,105130,MS,2012,7577,590,46,9
105,Carter County,Olive Hill Elementary School,105250,ES,2012,9232,606,42,14
105,Carter County,Prichard Elementary School,105340,ES,2012,7911,673,44,14
105,Carter County,Star Elementary School,105450,ES,2012,11481,121,11,15
105,Carter County,Upper Tygart Elementary School,105490,ES,2012,8925,244,19,10
105,Carter County,West Carter County High School,105500,HS,2012,8181,549,41,13
105,Carter County,West Carter Middle School,105505,MS,2012,7221,467,31,16
111,Casey County,Walnut Hill Elementary School,111015,ES,2012,9049,439,33,13
111,Casey County,Jones Park Elementary,111026,ES,2012,8433,450,32,13
111,Casey County,Casey County High School,111045,HS,2012,7979,680,43,12
111,Casey County,Casey County Middle School,111070,MS,2012,7825,355,22,12
111,Casey County,Liberty Elementary School,111190,ES,2012,7358,366,22,12
113,Caverna Independent,Caverna Elementary School,113025,ES,2012,8336,369,27,13
113,Caverna Independent,Caverna Middle School,113026,MS,2012,8488,157,12,10
113,Caverna Independent,Caverna High School,113030,HS,2012,11674,196,17,13
115,Christian County,Martin Luther King Jr. Elementary School,115017,ES,2012,7787,625,41,8
115,Christian County,Belmont Elementary School,115020,ES,2012,7473,420,26,10
115,Christian County,Christian County High School,115030,HS,2012,7218,1177,80,10
115,Christian County,Christian County Middle School,115035,MS,2012,7142,783,53,9
115,Christian County,Crofton Elementary School,115040,ES,2012,8491,272,18,11
