SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20212022,14,BRECKINRIDGE,65,Breckinridge County,20,Hardinsburg Elementary School,65020,A1,25,11.8
20212022,14,BRECKINRIDGE,65,Breckinridge County,30,Ben Johnson Elementary School,65030,A1,14,8.3
20212022,14,BRECKINRIDGE,65,Breckinridge County,40,Custer Elementary School,65040,A1,12,6.9
20212022,14,BRECKINRIDGE,65,Breckinridge County,50,Irvington Elementary School,65050,A1,22,9.3
20212022,14,BRECKINRIDGE,65,Breckinridge County,100,Breckinridge County Middle School,65100,A1,37,11.1
20212022,15,BULLITT,71,Bullitt County,5,Bernheim Middle School,71005,A1,26,8.5
20212022,15,BULLITT,71,Bullitt County,6,Freedom Elementary School,71006,A1,25,9.0
20212022,15,BULLITT,71,Bullitt County,7,Zoneton Middle School,71007,A1,25,8.6
20212022,15,BULLITT,71,Bullitt County,8,Shepherdsville Elementary,71008,A1,32,9.4
20212022,15,BULLITT,71,Bullitt County,9,Eastside Middle School,71009,A1,35,14.6
20212022,15,BULLITT,71,Bullitt County,10,Brooks Elementary School,71010,A1,24,11.0
20212022,15,BULLITT,71,Bullitt County,15,Bullitt Central High School,71015,A1,78,10.6
20212022,15,BULLITT,71,Bullitt County,16,Bullitt East High School,71016,A1,75,11.3
20212022,15,BULLITT,71,Bullitt County,18,Bullitt Lick Middle School,71018,A1,33,7.1
20212022,15,BULLITT,71,Bullitt County,20,Cedar Grove Elementary,71020,A1,22,14.8
20212022,15,BULLITT,71,Bullitt County,25,Hebron Middle School,71025,A1,27,11.2
20212022,15,BULLITT,71,Bullitt County,30,Lebanon Junction Elementary,71030,A1,21,13.0
20212022,15,BULLITT,71,Bullitt County,32,Spring Meadows,71032,A6,2,12.0
20212022,15,BULLITT,71,Bullitt County,45,Maryville Elementary School,71045,A1,19,10.6
20212022,15,BULLITT,71,Bullitt County,50,MT. Washington Middle School,71050,A1,24,13.5
20212022,15,BULLITT,71,Bullitt County,55,MT. Washington Elementary,71055,A1,28,12.6
20212022,15,BULLITT,71,Bullitt County,60,Crossroads Elementary,71060,A1,24,11.9
20212022,15,BULLITT,71,Bullitt County,65,Pleasant Grove Elementary School,71065,A1,30,13.9
20212022,15,BULLITT,71,Bullitt County,70,Nichols Elementary,71070,A1,10,13.7
20212022,15,BULLITT,71,Bullitt County,75,North Bullitt High School,71075,A1,63,12.2
20212022,15,BULLITT,71,Bullitt County,78,Old Mill Elementary School,71078,A1,23,11.9
20212022,15,BULLITT,71,Bullitt County,80,Overdale Elementary School,71080,A1,21,10.2
20212022,15,BULLITT,71,Bullitt County,90,Roby Elementary School,71090,A1,22,8.8
20212022,15,BULLITT,71,Bullitt County,110,Riverview Opportunity Center,71110,A5,18,11.9
20212022,15,BULLITT,71,Bullitt County,120,Bullitt Alternative Center,71120,A6,6,17.2
20212022,84,MERCER,72,Burgin Independent,30,Burgin Independent School,72030,A1,36,12.2
20212022,16,BUTLER,75,Butler County,30,Butler County High School,75030,A1,39,11.2
20212022,16,BUTLER,75,Butler County,31,North Butler Elementary,75031,A1,25,14.2
20212022,16,BUTLER,75,Butler County,32,Butler County Learning Center,75032,A5,2,21.0
20212022,16,BUTLER,75,Butler County,35,Butler County Middle School,75035,A1,32,10.3
20212022,16,BUTLER,75,Butler County,110,Green River School,75110,A6,2,13.0
20212022,16,BUTLER,75,Butler County,120,Morgantown Elementary School,75120,A1,28,10.9
20212022,17,CALDWELL,81,Caldwell County,10,Caldwell County High School,81010,A1,33,14.5
20212022,17,CALDWELL,81,Caldwell County,20,Caldwell County Middle School,81020,A1,28,13.4
20212022,17,CALDWELL,81,Caldwell County,30,Caldwell County Primary School,81030,A1,22,13.8
20212022,17,CALDWELL,81,Caldwell County,70,Caldwell County Elementary School,81070,A1,25,10.7
20212022,18,CALLOWAY,85,Calloway County,20,Calloway County High School,85020,A1,60,15.4
20212022,18,CALLOWAY,85,Calloway County,25,East Calloway Elementary School,85025,A1,19,14.8
20212022,18,CALLOWAY,85,Calloway County,35,North Calloway Elementary School,85035,A1,29,11.3
20212022,18,CALLOWAY,85,Calloway County,45,Southwest Calloway Elementary School,85045,A1,25,13.2
20212022,18,CALLOWAY,85,Calloway County,55,Calloway County Middle School,85055,A1,45,14.7
20212022,18,CALLOWAY,85,Calloway County,75,Calloway County Preschool Center,85075,A4,6,17.8
20212022,18,CALLOWAY,85,Calloway County,95,Calloway County Day Treatment,85095,A6,6,14.5
20212022,18,CALLOWAY,85,Calloway County,96,Calloway County Alternative Program,85096,A5,5,12.8
20212022,19,CAMPBELL,91,Campbell County,11,Campbell County Middle School,91011,A1,69,9.0
20212022,19,CAMPBELL,91,Campbell County,12,John W. Reiley Elementary School,91012,A1,21,13.6
20212022,19,CAMPBELL,91,Campbell County,13,Donald E. Cline Elementary School,91013,A1,19,12.1
20212022,19,CAMPBELL,91,Campbell County,16,Alexandria Educational Center,91016,A6,4,7.0
20212022,19,CAMPBELL,91,Campbell County,19,Campbell Ridge Elementary,91019,A1,28,15.3
20212022,19,CAMPBELL,91,Campbell County,35,Crossroads Elementary School,91035,A1,31,12.5
20212022,19,CAMPBELL,91,Campbell County,50,Grant's Lick Elementary School,91050,A1,16,14.9
20212022,19,CAMPBELL,91,Campbell County,100,Campbell County High School,91100,A1,83,11.9
20212022,109,TAYLOR,92,Campbellsville Independent,10,Campbellsville Elementary School,92010,A1,41,11.0
20212022,109,TAYLOR,92,Campbellsville Independent,11,Campbellsville Eagle Academy,92011,A5,3,18.7
20212022,109,TAYLOR,92,Campbellsville Independent,20,Campbellsville High School,92020,A1,31,12.6
20212022,109,TAYLOR,92,Campbellsville Independent,25,Campbellsville Middle School,92025,A1,36,11.9
20212022,20,CARLISLE,95,Carlisle County,20,Carlisle County Middle School,95020,A1,13,6.5
20212022,20,CARLISLE,95,Carlisle County,40,Carlisle County High School,95040,A1,19,12.6
20212022,20,CARLISLE,95,Carlisle County,60,Carlisle County Elementary School,95060,A1,24,12.5
20212022,21,CARROLL,101,Carroll County,5,Cartmell Elementary,101005,A1,25,7.5
20212022,21,CARROLL,101,Carroll County,7,Carroll Co Childhood Development Center,101007,A4,3,7.0
20212022,21,CARROLL,101,Carroll County,10,Kathryn Winn Primary,101010,A1,20,7.1
20212022,21,CARROLL,101,Carroll County,18,Carroll County High School,101018,A1,31,9.0
20212022,21,CARROLL,101,Carroll County,19,Carroll County Middle School,101019,A1,34,11.0
20212022,22,CARTER,105,Carter County,40,Carter Virtual Academy,105040,A5,1,12.0
20212022,22,CARTER,105,Carter County,52,Heritage Elementary School,105052,A1,17,7.8
20212022,22,CARTER,105,Carter County,53,Tygart Creek Elementary School,105053,A1,18,9.4
20212022,22,CARTER,105,Carter County,60,Carter City Elementary School,105060,A1,7,12.1
20212022,22,CARTER,105,Carter County,120,East Carter County High School,105120,A1,40,12.4
20212022,22,CARTER,105,Carter County,130,East Carter Middle School,105130,A1,33,12.0
20212022,22,CARTER,105,Carter County,250,Olive Hill Elementary School,105250,A1,19,11.4
20212022,22,CARTER,105,Carter County,340,Prichard Elementary School,105340,A1,28,13.5
20212022,22,CARTER,105,Carter County,450,Star Elementary School,105450,A1,9,16.0
20212022,22,CARTER,105,Carter County,500,West Carter County High School,105500,A1,36,9.8
20212022,22,CARTER,105,Carter County,505,West Carter Middle School,105505,A1,27,13.0
20212022,23,CASEY,111,Casey County,15,Walnut Hill Elementary School,111015,A1,23,12.0
20212022,23,CASEY,111,Casey County,26,Jones Park Elementary,111026,A1,19,14.5
20212022,23,CASEY,111,Casey County,45,Casey County High School,111045,A1,43,7.8
20212022,23,CASEY,111,Casey County,70,Casey County Middle School,111070,A1,31,11.4
20212022,23,CASEY,111,Casey County,190,Liberty Elementary School,111190,A1,23,9.6
20212022,5,BARREN,113,Caverna Independent,25,Caverna Elementary School,113025,A1,12,10.3
20212022,5,BARREN,113,Caverna Independent,26,Caverna Middle School,113026,A1,6,16.0
20212022,5,BARREN,113,Caverna Independent,30,Caverna High School,113030,A1,6,15.0
20212022,24,CHRISTIAN,115,Christian County,12,Christian County Public Schools VLA,115012,A5,17,14.6
20212022,24,CHRISTIAN,115,Christian County,17,Martin Luther King Jr. Elementary School,115017,A1,34,6.9
20212022,24,CHRISTIAN,115,Christian County,23,Cumberland Hall School,115023,A6,3,19.7
20212022,24,CHRISTIAN,115,Christian County,26,Freedom Elementary School,115026,A1,34,7.3
20212022,24,CHRISTIAN,115,Christian County,30,Christian County High School,115030,A1,69,9.3
20212022,24,CHRISTIAN,115,Christian County,35,Christian County Middle School,115035,A1,43,7.7
20212022,24,CHRISTIAN,115,Christian County,40,Crofton Elementary School,115040,A1,21,12.9
20212022,24,CHRISTIAN,115,Christian County,50,Hopkinsville High School,115050,A1,61,6.4
20212022,24,CHRISTIAN,115,Christian County,55,Indian Hills Elementary School,115055,A1,32,11.4
20212022,24,CHRISTIAN,115,Christian County,58,Hopkinsville Middle School,115058,A1,35,10.5
20212022,24,CHRISTIAN,115,Christian County,100,Bluegrass Learning Academy,115100,A5,9,14.1
20212022,24,CHRISTIAN,115,Christian County,125,Millbrooke Elementary School,115125,A1,33,9.1
20212022,24,CHRISTIAN,115,Christian County,130,Pembroke Elementary School,115130,A1,39,11.3
20212022,24,CHRISTIAN,115,Christian County,150,Sinking Fork Elementary School,115150,A1,21,13.8
20212022,24,CHRISTIAN,115,Christian County,170,South Christian Elementary School,115170,A1,35,9.0
20212022,24,CHRISTIAN,115,Christian County,180,Christian County Day Treatment,115180,A6,3,13.0
20212022,24,CHRISTIAN,115,Christian County,975,Gateway Academy to Innovation & Tech.,115975,A2,20,12.0
20212022,25,CLARK,121,Clark County,2,Willis H. Justice Elementary School,121002,A1,24,13.3
20212022,25,CLARK,121,Clark County,4,Strode Station Elementary School,121004,A1,27,13.8
20212022,25,CLARK,121,Clark County,6,Shearer Elementary School,121006,A1,21,11.8
20212022,25,CLARK,121,Clark County,8,William G. Conkwright Elementary,121008,A1,25,7.5
20212022,25,CLARK,121,Clark County,13,Phoenix Academy,121013,A6,11,18.6
20212022,25,CLARK,121,Clark County,17,Clark County Preschool,121017,A4,16,6.2
20212022,25,CLARK,121,Clark County,23,Robert D. Campbell Jr. High,121023,A1,51,9.6
20212022,25,CLARK,121,Clark County,26,Rev. Henry E. Baker Sr. Interm. School,121026,A1,51,10.5
20212022,25,CLARK,121,Clark County,30,George Rogers Clark High School,121030,A1,94,7.9
20212022,26,CLAY,125,Clay County,40,Big Creek Elementary,125040,A1,7,12.1
20212022,26,CLAY,125,Clay County,41,Horse Creek Learning Center,125041,A5,3,10.7
20212022,26,CLAY,125,Clay County,70,Burning Springs Elementary,125070,A1,16,9.2
20212022,26,CLAY,125,Clay County,95,Clay County Middle School,125095,A1,34,14.2
20212022,26,CLAY,125,Clay County,100,Clay County High School,125100,A1,56,12.6
20212022,26,CLAY,125,Clay County,200,Goose Rock Elementary,125200,A1,11,10.7
20212022,26,CLAY,125,Clay County,220,Hacker Elementary School,125220,A1,16,5.6
20212022,26,CLAY,125,Clay County,500,Manchester Elementary School,125500,A1,22,11.1
20212022,26,CLAY,125,Clay County,570,Oneida Elementary School,125570,A1,7,10.7
20212022,26,CLAY,125,Clay County,580,Paces Creek Elementary,125580,A1,14,10.4
20212022,27,CLINTON,131,Clinton County,15,Albany Elementary School,131015,A1,32,11.0
20212022,27,CLINTON,131,Clinton County,16,Foothills Academy,131016,A6,8,23.3
20212022,27,CLINTON,131,Clinton County,20,Clinton County Early Childhood Center,131020,A1,12,12.8
20212022,27,CLINTON,131,Clinton County,45,Clinton County Middle School,131045,A1,28,9.0
20212022,27,CLINTON,131,Clinton County,50,Clinton County High School,131050,A1,29,12.4
20212022,14,BRECKINRIDGE,132,Cloverport Independent,30,Cloverport Independent School,132030,A1,25,10.9
20212022,118,WHITLEY,133,Corbin Independent,12,Corbin Educational Center,133012,A6,6,14.0
20212022,118,WHITLEY,133,Corbin Independent,19,CORBIN ELEMENTARY SCHOOL,133019,A1,20,11.2
20212022,118,WHITLEY,133,Corbin Independent,40,Corbin High School,133040,A1,55,12.9
20212022,118,WHITLEY,133,Corbin Independent,50,Corbin Middle School,133050,A1,40,13.8
20212022,118,WHITLEY,133,Corbin Independent,70,Corbin Primary,133070,A1,36,14.2
20212022,118,WHITLEY,133,Corbin Independent,100,Corbin School of Innovation,133100,A5,8,6.1
20212022,59,KENTON,134,Covington Independent,10,Biggs Early Childhood Education Ctr,134010,A4,8,8.5
20212022,59,KENTON,134,Covington Independent,11,Covington Adult High School,134011,A5,2,16.0
20212022,59,KENTON,134,Covington Independent,13,Transformational Learning Center,134013,A5,7,16.7
20212022,59,KENTON,134,Covington Independent,17,Holmes Middle School,134017,A1,40,7.2
20212022,59,KENTON,134,Covington Independent,19,Holmes High School,134019,A1,57,8.2
20212022,59,KENTON,134,Covington Independent,110,John G Carlisle Elementary,134110,A1,21,7.0
20212022,59,KENTON,134,Covington Independent,115,Latonia Elementary School,134115,A1,19,6.4
20212022,59,KENTON,134,Covington Independent,150,Ninth District Elementary,134150,A1,23,4.5
20212022,59,KENTON,134,Covington Independent,160,Glenn O Swing Elementary,134160,A1,20,8.3
20212022,59,KENTON,134,Covington Independent,170,Sixth District Elementary School,134170,A1,23,11.6
20212022,28,CRITTENDEN,135,Crittenden County,20,Crittenden County High School,135020,A1,32,11.7
20212022,28,CRITTENDEN,135,Crittenden County,25,Crittenden County Middle School,135025,A1,21,11.0
20212022,28,CRITTENDEN,135,Crittenden County,100,Crittenden County Elementary School,135100,A1,36,10.4
20212022,29,CUMBERLAND,141,Cumberland County,70,Cumberland County Elementary School,141070,A1,27,9.7
20212022,29,CUMBERLAND,141,Cumberland County,75,Cumberland County Middle School,141075,A1,15,10.2
20212022,29,CUMBERLAND,141,Cumberland County,80,Cumberland County High School,141080,A1,21,9.7
20212022,11,BOYLE,143,Danville Independent,3,Mary G. Hogsett Primary School,143003,A1,21,9.6
20212022,11,BOYLE,143,Danville Independent,5,John W. Bate Middle School,143005,A1,31,9.9
20212022,11,BOYLE,143,Danville Independent,10,Edna L. Toliver Intermediate School,143010,A1,33,11.0
20212022,11,BOYLE,143,Danville Independent,15,Anchor Academy,143015,A5,3,14.0
20212022,11,BOYLE,143,Danville Independent,30,Danville High School,143030,A1,42,11.7
20212022,11,BOYLE,143,Danville Independent,350,Sunrise Academy,143350,A6,3,15.3
20212022,30,DAVIESS,145,Daviess County,5,Apollo High School,145005,A1,83,13.0
20212022,30,DAVIESS,145,Daviess County,6,Meadow Lands Elementary School,145006,A1,26,13.3
20212022,30,DAVIESS,145,Daviess County,7,East View Elementary School,145007,A1,27,10.7
20212022,30,DAVIESS,145,Daviess County,8,F T Burns Middle School,145008,A1,52,12.3
20212022,30,DAVIESS,145,Daviess County,10,Daviess County High School,145010,A1,96,14.4
20212022,30,DAVIESS,145,Daviess County,11,Southern Oaks Elementary School,145011,A1,26,14.1
20212022,30,DAVIESS,145,Daviess County,15,The Center for Academic Improvement,145015,A5,2,19.0
20212022,30,DAVIESS,145,Daviess County,20,Daviess County Middle School,145020,A1,55,15.5
