SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20222023,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,"",1188,87,13.66
20222023,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,A1,540,38,14.21
20222023,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,A1,588,45,13.07
20222023,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,NKCES,905,A6,60,4,15
20222023,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,"",2288,160,14.3
20222023,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,A1,418,29,14.41
20222023,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,A1,332,20,16.6
20222023,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,A1,527,38,13.87
20222023,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,A1,165,10,16.5
20222023,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,A1,173,15,11.53
20222023,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,A1,224,14,16
20222023,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,A1,449,34,13.21
20222023,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,"",400,39,10.26
20222023,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,NKCES,905,A1,278,24,11.58
20222023,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,NKCES,905,A1,122,15,8.13
20222023,073,MADISON,034,Berea Independent,"",---District Total---,034,"","",SESC,907,"",1120,81,13.83
20222023,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,SESC,907,A1,364,25,14.56
20222023,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,SESC,907,A1,278,22,12.64
20222023,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,SESC,907,A1,478,34,14.06
20222023,008,BOONE,035,Boone County,"",---District Total---,035,"","",NKCES,905,"",17375,1332,13.04
20222023,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,NKCES,905,A1,439,33,13.3
20222023,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,NKCES,905,A1,591,36,16.42
20222023,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,NKCES,905,A1,479,28,17.11
20222023,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,NKCES,905,A1,678,55,12.33
20222023,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,NKCES,905,A1,834,47,17.74
20222023,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051002290,NKCES,905,A1,486,38,12.79
20222023,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,NKCES,905,A1,1024,80,12.8
20222023,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051002245,NKCES,905,A1,626,42,14.9
20222023,008,BOONE,035,Boone County,018,Steeplechase Elementary School,035018,008035018,210051002522,NKCES,905,A1,342,33,10.36
20222023,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,008035020,210051000080,NKCES,905,A1,295,47,6.28
20222023,008,BOONE,035,Boone County,025,Ballyshannon Middle School,035025,008035025,210051002460,NKCES,905,A1,429,46,9.33
20222023,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000081,NKCES,905,A1,1204,86,14
20222023,008,BOONE,035,Boone County,040,Burlington Elementary School,035040,008035040,210051000082,NKCES,905,A1,549,38,14.45
20222023,008,BOONE,035,Boone County,041,Charles H. Kelly Elementary School,035041,008035041,210051001519,NKCES,905,A1,307,21,14.62
20222023,008,BOONE,035,Boone County,043,Conner Middle School,035043,008035043,210051000083,NKCES,905,A1,862,62,13.9
20222023,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000084,NKCES,905,A1,1181,90,13.12
20222023,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000085,NKCES,905,A1,335,40,8.38
20222023,008,BOONE,035,Boone County,055,Chester Goodridge Elementary School,035055,008035055,210051000086,NKCES,905,A1,420,32,13.13
20222023,008,BOONE,035,Boone County,065,Hillard Collins Elementary School,035065,008035065,210051001608,NKCES,905,A1,330,36,9.17
20222023,008,BOONE,035,Boone County,071,Larry A. Ryle High School,035071,008035071,210051000011,NKCES,905,A1,1584,106,14.94
20222023,008,BOONE,035,Boone County,075,Gray Middle School,035075,008035075,210051000638,NKCES,905,A1,909,65,13.98
20222023,008,BOONE,035,Boone County,080,New Haven Elementary School,035080,008035080,210051000088,NKCES,905,A1,601,37,16.24
20222023,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,008035081,210051000089,NKCES,905,A1,568,51,11.14
20222023,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,008035083,210051001695,NKCES,905,A1,482,37,13.03
20222023,008,BOONE,035,Boone County,085,Ockerman Middle School,035085,008035085,210051000090,NKCES,905,A1,566,43,13.16
20222023,008,BOONE,035,Boone County,135,ACCEL Academy,035135,008035135,210051002523,NKCES,905,A5,109,6,18.17
20222023,008,BOONE,035,Boone County,160,Ignite Institute,035160,008035160,"",NKCES,905,A2,974,86,11.33
20222023,008,BOONE,035,Boone County,170,RISE Academy,035170,008035170,210051002266,NKCES,905,A5,171,11,15.55
20222023,009,BOURBON,041,Bourbon County,"",---District Total---,041,"","",CKEC,901,"",1745,166,10.51
20222023,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,009041010,210054001576,CKEC,901,A1,224,26,8.62
20222023,009,BOURBON,041,Bourbon County,011,Bourbon County Preschool Headstart,041011,009041011,210054002054,CKEC,901,A4,112,9,12.44
20222023,009,BOURBON,041,Bourbon County,030,Cane Ridge Elementary School,041030,009041030,210054000024,CKEC,901,A1,336,29,11.59
20222023,009,BOURBON,041,Bourbon County,090,North Middletown Elementary School,041090,009041090,210054000096,CKEC,901,A1,78,8,9.75
20222023,009,BOURBON,041,Bourbon County,110,Bourbon County High School,041110,009041110,210054000098,CKEC,901,A1,559,55,10.16
20222023,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000099,CKEC,901,A1,436,39,11.18
20222023,114,WARREN,042,Bowling Green Independent,"",---District Total---,042,"","",GRREC,902,"",3642,299,12.18
20222023,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,114042010,210057000100,GRREC,902,A1,382,28,13.64
20222023,114,WARREN,042,Bowling Green Independent,011,Childrens Crisis Stabilization Unit,042011,114042011,210057001830,GRREC,902,A6,16,1,16
20222023,114,WARREN,042,Bowling Green Independent,013,Warren Regional Juvenile Detention Ctr,042013,114042013,210057001911,GRREC,902,A6,58,3,19.33
20222023,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,114042057,210057000102,GRREC,902,A1,255,27,9.44
20222023,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,114042060,210057000103,GRREC,902,A1,358,23,15.57
20222023,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000104,GRREC,902,A1,866,70,12.37
20222023,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,GRREC,902,A1,998,88,11.34
20222023,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,114042080,210057000106,GRREC,902,A1,280,27,10.37
20222023,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,114042090,210057000107,GRREC,902,A1,341,26,13.12
20222023,114,WARREN,042,Bowling Green Independent,098,Bowling Green Learning Center,042098,114042098,210057001696,GRREC,902,A5,88,6,14.67
20222023,010,BOYD,045,Boyd County,"",---District Total---,045,"","",KEDC,903,"",2485,216,11.5
20222023,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,KEDC,903,A1,953,68,14.01
20222023,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,010045020,210062000109,KEDC,903,A1,231,20,11.55
20222023,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,010045035,210062000112,KEDC,903,A1,378,44,8.59
20222023,010,BOYD,045,Boyd County,045,Boyd County Central School,045045,010045045,210062002466,KEDC,903,A5,49,4,12.25
20222023,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,010045080,210062000117,KEDC,903,A1,388,29,13.38
20222023,010,BOYD,045,Boyd County,085,Ramey-Estep High School,045085,010045085,210062000640,KEDC,903,A6,102,7,14.57
20222023,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000118,KEDC,903,A1,160,16,10
20222023,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,010045097,210062000030,KEDC,903,A1,183,17,10.76
