SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20192020,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,271,1065,251,1316,7827,1441,10980,14525
20192020,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,1955,937,140,1076,8025,1821,9846,13738
20192020,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,13,,,,,,,
20192020,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,388,1350,140,1490,9037,1824,10833,12193
20192020,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,490,787,94,882,7996,1711,9689,11031
20192020,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,KEDC,903,512,1111,215,1326,8081,1859,9920,11253
20192020,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,KEDC,903,552,481,88,569,9518,2241,11725,18119
20192020,059,KENTON,026,Beechwood Independent,"",---District Total---,026,"","",NKCES,905,1448,240,82,322,8686,2191,10878,12335
20192020,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,NKCES,905,701,409,66,475,9586,1955,11541,12016
20192020,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,NKCES,905,712,105,109,215,8930,2144,11075,11290
20192020,059,KENTON,026,Beechwood Independent,420,Guardian Angel,026420,059026420,210036002409,NKCES,905,35,,,,,,,
20192020,007,BELL,031,Bell County,"",---District Total---,031,"","",SESC,907,2435,1541,199,1740,9126,2678,11804,15003
20192020,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,SESC,907,438,3038.00,295,3333.00,17689,4390,22079.00,27675.00
20192020,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,SESC,907,294,3104.00,312.00,3416.00,17393.00,4582.00,21975.00,29449.00
20192020,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,SESC,907,666,1649.00,250.00,1899.00,17034.00,4635.00,21669.00,27597.00
20192020,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,SESC,907,106,3912.00,413.00,4325.00,20984.00,5114.00,26098.00,34386.00
20192020,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,SESC,907,137,3758.00,361.00,4119.00,19308.00,4732,24040.00,32174
20192020,007,BELL,031,Bell County,340,Bell County Alternative School,031340,007031340,210039000002,SESC,907,44,,,,,,,
20192020,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,SESC,907,165,3742.00,555.00,4297.00,17604.00,5255,22859.00,30940.00
20192020,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,SESC,907,585,1649.00,300.00,1949.00,16050.00,4374,20424.00,27835.00
20192020,019,CAMPBELL,032,Bellevue Independent,"",---District Total---,032,"","",NKCES,905,599,638,1882,2520,11031,2675,13706,17951
