SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20202021,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000099,CKEC,901,A1,619,838,676,1514,8421,1484,9905,13432
20202021,114,WARREN,042,Bowling Green Independent,"",---District Total---,042,"","",GRREC,902,"",4070,640,566,1206,9710,2324,12035,18367
20202021,114,WARREN,042,Bowling Green Independent,010,Dishman McGinnis Elementary School,042010,114042010,210057000100,GRREC,902,A1,373,836,575,1410,10324,1835,12159,18851
20202021,114,WARREN,042,Bowling Green Independent,011,Childrens Crisis Stabilization Unit,042011,114042011,210057001830,GRREC,902,A6,2,,,,,,,
20202021,114,WARREN,042,Bowling Green Independent,013,Warren Regional Juvenile Detention Ctr,042013,114042013,210057001911,GRREC,902,A6,22,,,,,,,
20202021,114,WARREN,042,Bowling Green Independent,020,Virtual Academy,042020,114042020,210057002516,GRREC,902,A5,484,,,,,,,
20202021,114,WARREN,042,Bowling Green Independent,057,Parker-Bennett-Curry School,042057,114042057,210057000102,GRREC,902,A1,311,751,715,1466,10233,2341,12573,19552
20202021,114,WARREN,042,Bowling Green Independent,060,Potter Gray Elementary,042060,114042060,210057000103,GRREC,902,A1,365,405,534,940,8667,1983,10650,16093
20202021,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000104,GRREC,902,A1,791,531,438,969,9162,2084,11245,16932
20202021,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000105,GRREC,902,A1,1047,537,622,1157,9265,2228,11491,17471
20202021,114,WARREN,042,Bowling Green Independent,080,T C Cherry Elementary School,042080,114042080,210057000106,GRREC,902,A1,210,1035,445,1480,9843,1880,11723,18329
20202021,114,WARREN,042,Bowling Green Independent,090,W R McNeill Elementary School,042090,114042090,210057000107,GRREC,902,A1,353,520,497,1017,8853,1681,10534,15822
20202021,114,WARREN,042,Bowling Green Independent,098,Bowling Green Learning Center,042098,114042098,210057001696,GRREC,902,A5,112,,,,,,,
20202021,010,BOYD,045,Boyd County,"",---District Total---,045,"","",KEDC,903,"",2914,1676,731,2407,10525,1711,12236,17250
20202021,010,BOYD,045,Boyd County,010,Boyd County High School,045010,010045010,210062000108,KEDC,903,A1,895,656,637,1293,10656,2583,13239,14532
20202021,010,BOYD,045,Boyd County,020,Cannonsburg Elementary School,045020,010045020,210062000109,KEDC,903,A1,266,1650,692,2342,14131,2365,16496,18838
20202021,010,BOYD,045,Boyd County,035,Boyd County Middle School,045035,010045035,210062000112,KEDC,903,A1,692,1108,547,1655,9831,2036,11867,13522
20202021,010,BOYD,045,Boyd County,045,Boyd County Central School,045045,010045045,210062002466,KEDC,903,A5,25,,,,,,,
20202021,010,BOYD,045,Boyd County,080,Summit Elementary School,045080,010045080,210062000117,KEDC,903,A1,462,1339,706,2045,11491,2098,13589,15634
20202021,010,BOYD,045,Boyd County,085,Ramey-Estep High School,045085,010045085,210062000640,KEDC,903,A6,50,,,,,,,
20202021,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000118,KEDC,903,A1,206,1965,735,2700,14444,2606,17050,19750
20202021,010,BOYD,045,Boyd County,097,Ponderosa Elementary School,045097,010045097,210062000030,KEDC,903,A1,318,1517,763,2280,11062,2262,13324,15604
20202021,010,BOYD,045,Boyd County,120,Boyd Co Career & Tech Educ Ctr Voc Sch,045120,010045120,210062001479,KEDC,903,A2,0,,,,,,,
20202021,010,BOYD,045,Boyd County,198,Boyd Co Early Childhood Academy,045198,010045198,210062001923,KEDC,903,A4,0,,,,,,,
20202021,011,BOYLE,051,Boyle County,"",---District Total---,051,"","",CKEC,901,"",2565,367,399,766,10103,1747,11850,19036
20202021,011,BOYLE,051,Boyle County,003,Boyle County Middle School,051003,011051003,210063000119,CKEC,901,A1,646,142,347,490,9621,2033,11654,17979
20202021,011,BOYLE,051,Boyle County,004,Boyle County Day Treatment,051004,011051004,210063001713,CKEC,901,A6,14,,,,,,,
20202021,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,CKEC,901,A1,811,141,424,565,9934,2428,12360,18686
20202021,011,BOYLE,051,Boyle County,040,Junction City Elementary School,051040,011051040,210063000121,CKEC,901,A1,327,1173,382,1555,12306,1944,14251,20575
20202021,011,BOYLE,051,Boyle County,050,Woodlawn Elementary School,051050,011051050,210063000122,CKEC,901,A1,513,296,440,735,10552,2132,12684,19008
20202021,011,BOYLE,051,Boyle County,080,Perryville Elementary School,051080,011051080,210063000124,CKEC,901,A1,254,716,379,1095,11638,2090,13728,20052
20202021,012,BRACKEN,055,Bracken County,"",---District Total---,055,"","",NKCES,905,"",1139,798,959,1757,8830,1415,10245,15913
20202021,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,NKCES,905,A1,342,541,948,1489,8867,1942,10809,16041
20202021,012,BRACKEN,055,Bracken County,050,Taylor Elementary School,055050,012055050,210066000128,NKCES,905,A1,500,961,945,1906,9572,1173,10745,16685
20202021,012,BRACKEN,055,Bracken County,060,Bracken County Middle School,055060,012055060,210066001560,NKCES,905,A1,297,820,994,1814,7541,1303,8844,14466
20202021,013,BREATHITT,061,Breathitt County,"",---District Total---,061,"","",KVEC,904,"",1751,1236,1013,2249,8315,2252,10567,16606
20202021,013,BREATHITT,061,Breathitt County,030,Highland-Turner Elementary School,061030,013061030,210069001659,KVEC,904,A1,169,930,1084,2015,9761,2420,12180,18025
20202021,013,BREATHITT,061,Breathitt County,031,Breathitt Regional Juvenile Det Ctr,061031,013061031,210069001623,KVEC,904,A6,25,,,,,,,
20202021,013,BREATHITT,061,Breathitt County,033,Breathitt County Day Treatment,061033,013061033,210069001842,KVEC,904,A6,18,,,,,,,
20202021,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,KVEC,904,A1,831,1200,1034,2234,7714,2360,10074,15965
20202021,013,BREATHITT,061,Breathitt County,150,Sebastian Elementary School,061150,013061150,210069000132,KVEC,904,A1,449,1299,924,2223,8222,1997,10219,16135
20202021,013,BREATHITT,061,Breathitt County,185,Marie Roberts-Caney Elementary School,061185,013061185,210069000133,KVEC,904,A1,259,1260,906,2167,8060,1929,9990,15930
20202021,014,BRECKINRIDGE,065,Breckinridge County,"",---District Total---,065,"","",GRREC,902,"",2547,1468,662,2130,8185,1432,9617,17849
20202021,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,GRREC,902,A1,914,838,566,1404,7053,1402,8455,9859
20202021,014,BRECKINRIDGE,065,Breckinridge County,020,Hardinsburg Elementary School,065020,014065020,210072000138,GRREC,902,A1,393,2386,792,3178,9108,1317,10425,13603
20202021,014,BRECKINRIDGE,065,Breckinridge County,030,Ben Johnson Elementary School,065030,014065030,210072000139,GRREC,902,A1,209,1631,787,2417,8604,1412,10016,12433
20202021,014,BRECKINRIDGE,065,Breckinridge County,040,Custer Elementary School,065040,014065040,210072000140,GRREC,902,A1,146,1836,848,2684,11027,1795,12822,15506
