SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,WHITE_MALE_COUNT,WHITE_FEMALE_COUNT,WHITE_TOTAL,BLACK_MALE_COUNT,BLACK_FEMALE_COUNT,BLACK_TOTAL,HISPANIC_MALE_COUNT,HISPANIC_FEMALE_COUNT,HISPANIC_TOTAL,ASIAN_MALE_COUNT,ASIAN_FEMALE_COUNT,ASIAN_TOTAL,AIAN_COUNT,AIAN_FEMALE_COUNT,AIAN_TOTAL,HAWAIIAN_MALE_COUNT,HAWAIIAN_FEMALE_COUNT,HAWAIIAN_TOTAL_COUNT,TWOORMORE_MALE_COUNT,TWOORMORE_FEMALE_COUNT,TWOORMORE_TOTAL,MALE_TOTAL,FEMALE_TOTAL,MEMBERSHIP_TOTAL
20172018,104,RUSSELL,521,Russell County,,---District Total---,,,GRREC,902,1339,1264,2603,14,10,24,143,126,269,14,8,22,1,2,3,2,6,8,19,18,37,1532,1434,2966
20172018,45,GREENUP,522,Russell Independent,50,Russell High School,45522050,210513001272,KEDC,903,318,281,599,1,1,2,5,1,6,7,6,13,0,0,0,0,0,0,6,7,13,337,296,633
20172018,45,GREENUP,522,Russell Independent,60,Russell Middle School,45522060,210513001273,KEDC,903,246,250,496,2,0,2,1,2,3,2,2,4,0,0,0,0,0,0,10,12,22,261,266,527
20172018,45,GREENUP,522,Russell Independent,11,Russell Primary School,45522011,210513001626,KEDC,903,279,208,487,4,2,6,4,4,8,1,5,6,1,1,2,0,0,0,8,3,11,297,223,520
20172018,45,GREENUP,522,Russell Independent,30,Russell-McDowell Intermediate School,45522030,210513001270,KEDC,903,240,226,466,2,2,4,2,3,5,2,6,8,0,1,1,0,0,0,10,13,23,256,251,507
20172018,45,GREENUP,522,Russell Independent,,---District Total---,,,KEDC,903,1083,965,2048,9,5,14,12,10,22,12,19,31,1,2,3,0,0,0,34,35,69,1151,1036,2187
20172018,71,LOGAN,523,Russellville Independent,25,R E Stevenson Elementary School,71523025,210519001274,GRREC,902,110,103,213,54,36,90,23,24,47,1,4,5,1,0,1,0,0,0,33,36,69,222,203,425
20172018,71,LOGAN,523,Russellville Independent,30,Russellville Junior/Senior High School,71523030,210519001275,GRREC,902,143,144,287,61,65,126,30,18,48,4,3,7,1,0,1,0,0,0,21,33,54,260,263,523
20172018,71,LOGAN,523,Russellville Independent,,---District Total---,,,GRREC,902,253,247,500,115,101,216,53,42,95,5,7,12,2,0,2,0,0,0,54,69,123,482,466,948
20172018,100,PULASKI,524,Science Hill Independent,10,Science Hill Elementary School,100524010,210522001277,SESC,907,185,172,357,0,0,0,9,7,16,1,1,2,0,0,0,0,0,0,1,1,2,196,181,377
20172018,100,PULASKI,524,Science Hill Independent,,---District Total---,,,SESC,907,185,172,357,0,0,0,9,7,16,1,1,2,0,0,0,0,0,0,1,1,2,196,181,377
20172018,105,SCOTT,525,Scott County,12,Anne Mason Elementary School,105525012,210526001942,CKEC,901,214,211,425,36,26,62,23,33,56,5,5,10,1,0,1,1,1,2,24,29,53,304,305,609
20172018,105,SCOTT,525,Scott County,10,Eastern Elementary School,105525010,210526001278,CKEC,901,204,194,398,14,10,24,33,30,63,8,5,13,0,0,0,0,1,1,19,6,25,278,246,524
20172018,105,SCOTT,525,Scott County,44,Elkhorn Crossing School,105525044,210526002301,CKEC,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20172018,105,SCOTT,525,Scott County,15,Garth Elementary School,105525015,210526001279,CKEC,901,179,162,341,19,9,28,20,15,35,2,1,3,0,0,0,0,2,2,14,10,24,234,199,433
20172018,105,SCOTT,525,Scott County,18,Georgetown Middle School,105525018,210526001280,CKEC,901,162,151,313,38,26,64,19,31,50,0,2,2,2,3,5,0,0,0,13,18,31,234,231,465
20172018,105,SCOTT,525,Scott County,14,Lemons Mill Elementary School,105525014,210526002349,CKEC,901,286,275,561,18,25,43,46,46,92,1,0,1,0,0,0,0,3,3,18,15,33,369,364,733
20172018,105,SCOTT,525,Scott County,35,Northern Elementary School,105525035,210526001687,CKEC,901,196,190,386,1,1,2,4,4,8,1,0,1,0,0,0,0,1,1,5,7,12,207,203,410
20172018,105,SCOTT,525,Scott County,5,Phoenix Horizon Community,105525005,,CKEC,901,39,26,65,2,9,11,3,3,6,0,0,0,0,1,1,0,0,0,1,2,3,45,41,86
20172018,105,SCOTT,525,Scott County,13,Royal Spring Middle School,105525013,210526002017,CKEC,901,338,362,700,24,35,59,46,40,86,5,11,16,0,0,0,2,2,4,14,17,31,429,467,896
20172018,105,SCOTT,525,Scott County,40,Scott County High School,105525040,210526001283,CKEC,901,685,745,1430,59,52,111,51,68,119,9,13,22,0,0,0,0,1,1,17,20,37,821,899,1720
20172018,105,SCOTT,525,Scott County,60,Scott County Middle School,105525060,210526001285,CKEC,901,357,326,683,5,5,10,37,34,71,1,3,4,0,0,0,0,0,0,7,12,19,407,380,787
20172018,105,SCOTT,525,Scott County,45,Scott County Ninth Grade School,105525045,210526001557,CKEC,901,281,256,537,18,26,44,26,32,58,2,3,5,0,0,0,0,0,0,13,7,20,340,324,664
20172018,105,SCOTT,525,Scott County,70,Southern Elementary School,105525070,210526001286,CKEC,901,202,213,415,41,25,66,23,24,47,3,1,4,0,0,0,0,0,0,17,17,34,286,280,566
20172018,105,SCOTT,525,Scott County,50,Stamping Ground Elementary School,105525050,210526001284,CKEC,901,171,185,356,4,3,7,17,16,33,1,0,1,0,0,0,0,0,0,8,6,14,201,210,411
20172018,105,SCOTT,525,Scott County,80,Western Elementary School,105525080,210526000530,CKEC,901,240,247,487,4,4,8,56,52,108,3,4,7,0,0,0,1,0,1,7,7,14,311,314,625
20172018,105,SCOTT,525,Scott County,,---District Total---,,,CKEC,901,3554,3543,7097,283,256,539,404,428,832,41,48,89,3,4,7,4,11,15,177,173,350,4466,4463,8929
20172018,106,SHELBY,531,Shelby County,120,Clear Creek Elementary,106531120,210532001295,OVEC,906,195,195,390,29,25,54,51,57,108,2,3,5,1,1,2,0,0,0,15,11,26,293,292,585
20172018,106,SHELBY,531,Shelby County,65,Heritage Elementary,106531065,210532001688,OVEC,906,228,191,419,10,5,15,24,15,39,1,0,1,1,0,1,0,0,0,5,9,14,269,220,489
20172018,106,SHELBY,531,Shelby County,40,Martha Layne Collins High School,106531040,210532002253,OVEC,906,403,397,800,70,39,109,119,96,215,5,6,11,2,1,3,0,1,1,23,20,43,622,560,1182
20172018,106,SHELBY,531,Shelby County,14,Painted Stone Elementary,106531014,210532001964,OVEC,906,167,147,314,17,10,27,79,88,167,0,0,0,0,0,0,0,0,0,17,7,24,280,252,532
20172018,106,SHELBY,531,Shelby County,170,Shelby Co Education Center,106531170,210532001690,OVEC,906,6,7,13,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,12,7,19
20172018,106,SHELBY,531,Shelby County,110,Shelby County East Middle School,106531110,210532001294,OVEC,906,239,234,473,25,29,54,78,77,155,2,3,5,1,0,1,0,0,0,19,13,32,364,356,720
20172018,106,SHELBY,531,Shelby County,90,Shelby County High School,106531090,210532001292,OVEC,906,364,345,709,36,34,70,98,82,180,6,3,9,2,4,6,1,0,1,8,18,26,515,486,1001
20172018,106,SHELBY,531,Shelby County,80,Shelby County West Middle School,106531080,210532001291,OVEC,906,290,254,544,29,22,51,83,78,161,6,10,16,2,0,2,0,0,0,17,25,42,427,389,816
20172018,106,SHELBY,531,Shelby County,100,Simpsonville Elementary,106531100,210532001293,OVEC,906,194,191,385,18,14,32,54,41,95,2,2,4,0,0,0,0,0,0,16,11,27,284,259,543
20172018,106,SHELBY,531,Shelby County,15,Southside Elementary,106531015,210532002077,OVEC,906,140,121,261,15,17,32,71,66,137,2,3,5,0,0,0,0,0,0,19,16,35,247,223,470
20172018,106,SHELBY,531,Shelby County,130,Wright Elementary,106531130,210532001434,OVEC,906,122,141,263,22,18,40,76,60,136,0,0,0,0,0,0,1,1,2,22,16,38,243,236,479
20172018,106,SHELBY,531,Shelby County,,---District Total---,,,OVEC,906,2348,2223,4571,273,213,486,735,660,1395,26,30,56,9,6,15,2,2,4,163,146,309,3556,3280,6836
20172018,19,CAMPBELL,533,Silver Grove Independent,12,Silver Grove School,19533012,210537001727,NKCES,905,83,70,153,1,1,2,2,3,5,0,0,0,0,0,0,0,0,0,2,1,3,88,75,163
20172018,19,CAMPBELL,533,Silver Grove Independent,,---District Total---,,,NKCES,905,83,70,153,1,1,2,2,3,5,0,0,0,0,0,0,0,0,0,2,1,3,88,75,163
20172018,107,SIMPSON,535,Simpson County,20,Franklin Elementary School,107535020,210540001299,GRREC,902,84,81,165,13,4,17,8,4,12,1,0,1,0,0,0,0,0,0,6,12,18,112,101,213
20172018,107,SIMPSON,535,Simpson County,40,Franklin-Simpson High School,107535040,210540001301,GRREC,902,349,322,671,52,54,106,19,17,36,3,3,6,1,1,2,0,0,0,10,12,22,434,409,843
20172018,107,SIMPSON,535,Simpson County,7,Franklin-Simpson High School West Campus,107535007,210540001652,GRREC,902,31,22,53,8,4,12,1,1,2,0,0,0,0,0,0,1,0,1,4,2,6,45,29,74
20172018,107,SIMPSON,535,Simpson County,30,Franklin-Simpson Middle School,107535030,210540001300,GRREC,902,238,252,490,31,32,63,24,18,42,3,4,7,2,1,3,0,0,0,22,14,36,320,321,641
20172018,107,SIMPSON,535,Simpson County,45,Lincoln Elementary School,107535045,210540001302,GRREC,902,189,166,355,25,26,51,12,12,24,2,3,5,0,0,0,0,1,1,11,14,25,239,222,461
20172018,107,SIMPSON,535,Simpson County,100,Simpson Elementary School,107535100,210540001435,GRREC,902,263,246,509,39,22,61,16,9,25,6,2,8,0,0,0,0,0,0,27,22,49,351,301,652
20172018,107,SIMPSON,535,Simpson County,,---District Total---,,,GRREC,902,1154,1089,2243,168,142,310,80,61,141,15,12,27,3,2,5,1,1,2,80,76,156,1501,1383,2884
20172018,100,PULASKI,536,Somerset Independent,50,Hopkins Elementary School,100536050,210543001307,SESC,907,252,227,479,10,5,15,33,25,58,6,4,10,1,0,1,0,0,0,12,19,31,314,280,594
20172018,100,PULASKI,536,Somerset Independent,90,Meece Middle School,100536090,210543001311,SESC,907,193,198,391,5,7,12,24,27,51,7,4,11,0,0,0,0,0,0,8,11,19,237,247,484
20172018,100,PULASKI,536,Somerset Independent,70,Somerset High School,100536070,210543001310,SESC,907,249,203,452,11,13,24,19,13,32,11,6,17,0,1,1,0,0,0,7,3,10,297,239,536
20172018,100,PULASKI,536,Somerset Independent,,---District Total---,,,SESC,907,694,628,1322,26,25,51,76,65,141,24,14,38,1,1,2,0,0,0,27,33,60,848,766,1614
20172018,19,CAMPBELL,537,Southgate Independent,10,Southgate Public School,19537010,210546001313,NKCES,905,47,55,102,13,21,34,5,3,8,0,1,1,0,0,0,0,0,0,11,18,29,76,98,174
20172018,19,CAMPBELL,537,Southgate Independent,,---District Total---,,,NKCES,905,47,55,102,13,21,34,5,3,8,0,1,1,0,0,0,0,0,0,11,18,29,76,98,174
20172018,108,SPENCER,541,Spencer County,42,Hillview Academy,108541042,210549002051,OVEC,906,23,11,34,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,25,11,36
20172018,108,SPENCER,541,Spencer County,40,Spencer County Elementary School,108541040,210549001314,OVEC,906,316,282,598,5,4,9,9,11,20,3,2,5,1,0,1,0,0,0,21,10,31,355,309,664
20172018,108,SPENCER,541,Spencer County,50,Spencer County High School,108541050,210549001315,OVEC,906,424,389,813,9,3,12,18,17,35,2,2,4,1,2,3,0,0,0,14,14,28,468,427,895
20172018,108,SPENCER,541,Spencer County,41,Spencer County Middle School,108541041,210549001871,OVEC,906,347,294,641,2,2,4,18,13,31,0,4,4,1,0,1,0,0,0,15,9,24,383,322,705
20172018,108,SPENCER,541,Spencer County,44,Taylorsville Elementary School,108541044,210549002018,OVEC,906,282,256,538,1,2,3,8,12,20,0,0,0,0,0,0,0,0,0,8,17,25,299,287,586
20172018,108,SPENCER,541,Spencer County,,---District Total---,,,OVEC,906,1392,1232,2624,17,11,28,54,53,107,5,8,13,3,2,5,0,0,0,59,50,109,1530,1356,2886
20172018,109,TAYLOR,545,Taylor County,20,Taylor County Elementary School,109545020,210552001317,GRREC,902,273,249,522,7,7,14,10,10,20,6,3,9,0,0,0,1,0,1,14,14,28,311,283,594
20172018,109,TAYLOR,545,Taylor County,30,Taylor County High School,109545030,210552001318,GRREC,902,378,377,755,13,6,19,11,10,21,3,4,7,0,0,0,0,1,1,6,9,15,411,407,818
20172018,109,TAYLOR,545,Taylor County,40,Taylor County Middle School,109545040,210552001319,GRREC,902,294,276,570,5,6,11,8,13,21,0,8,8,0,0,0,1,0,1,15,8,23,323,311,634
20172018,109,TAYLOR,545,Taylor County,5,Taylor County Primary Center,109545005,,GRREC,902,247,223,470,3,4,7,9,10,19,2,3,5,0,1,1,1,0,1,13,13,26,275,254,529
20172018,109,TAYLOR,545,Taylor County,,---District Total---,,,GRREC,902,1192,1125,2317,28,23,51,38,43,81,11,18,29,0,1,1,3,1,4,48,44,92,1320,1255,2575
20172018,110,TODD,551,Todd County,17,Horizons High School,110551017,210555002034,GRREC,902,20,3,23,5,1,6,2,1,3,0,0,0,0,0,0,0,0,0,2,0,2,29,5,34
20172018,110,TODD,551,Todd County,5,North Todd Elementary School,110551005,210555001600,GRREC,902,165,166,331,4,2,6,9,6,15,0,0,0,0,0,0,0,1,1,7,4,11,185,179,364
20172018,110,TODD,551,Todd County,15,South Todd Elementary School,110551015,210555001601,GRREC,902,151,153,304,34,37,71,35,20,55,2,0,2,1,1,2,0,0,0,11,17,28,234,228,462
20172018,110,TODD,551,Todd County,95,Todd County Central High School,110551095,210555001325,GRREC,902,222,207,429,22,25,47,13,16,29,0,0,0,0,0,0,0,0,0,4,8,12,261,256,517
20172018,110,TODD,551,Todd County,80,Todd County Middle School,110551080,210555001324,GRREC,902,169,178,347,25,22,47,24,30,54,0,0,0,1,0,1,0,0,0,11,8,19,230,238,468
