SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,TOTEXP,Teacher Count,AVGEXPERIENCEYEARS
20182019,8,BOONE,35,Boone County,11,Shirley Mann Elementary School,35011,8035011,210051002022,NKCES,905,660,45,14.7
20182019,8,BOONE,35,Boone County,83,Stephens Elementary School,35083,8035083,210051001695,NKCES,905,450,41,11
20182019,8,BOONE,35,Boone County,12,Thornwilde Elementary School,35012,8035012,210051002290,NKCES,905,389,34,11.4
20182019,8,BOONE,35,Boone County,,---District Total---,35,,,NKCES,905,15305,1237,12.4
20182019,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,41010,9041010,210054001576,CKEC,901,238,28,8.5
20182019,9,BOURBON,41,Bourbon County,110,Bourbon County High School,41110,9041110,210054000098,CKEC,901,456,51,8.9
20182019,9,BOURBON,41,Bourbon County,120,Bourbon County Middle School,41120,9041120,210054000099,CKEC,901,534,44,12.1
20182019,9,BOURBON,41,Bourbon County,11,Bourbon County Preschool Headstart,41011,9041011,210054002054,CKEC,901,73,8,9.1
20182019,9,BOURBON,41,Bourbon County,30,Cane Ridge Elementary School,41030,9041030,210054000024,CKEC,901,355,31,11.5
20182019,9,BOURBON,41,Bourbon County,90,North Middletown Elementary School,41090,9041090,210054000096,CKEC,901,61,8,7.6
20182019,9,BOURBON,41,Bourbon County,,---District Total---,41,,,CKEC,901,1681,167,10.1
20182019,114,WARREN,42,Bowling Green Independent,70,Bowling Green High School,42070,114042070,210057000105,GRREC,902,965,80,12.1
20182019,114,WARREN,42,Bowling Green Independent,65,Bowling Green Junior High,42065,114042065,210057000104,GRREC,902,786,62,12.7
20182019,114,WARREN,42,Bowling Green Independent,98,Bowling Green Learning Center,42098,114042098,210057001696,GRREC,902,69,7,9.9
20182019,114,WARREN,42,Bowling Green Independent,11,Childrens Crisis Stabilization Unit,42011,114042011,210057001830,GRREC,902,12,1,12
20182019,114,WARREN,42,Bowling Green Independent,10,Dishman McGinnis Elementary School,42010,114042010,210057000100,GRREC,902,441,34,13
20182019,114,WARREN,42,Bowling Green Independent,57,Parker-Bennett-Curry School,42057,114042057,210057000102,GRREC,902,234,22,10.6
20182019,114,WARREN,42,Bowling Green Independent,60,Potter Gray Elementary,42060,114042060,210057000103,GRREC,902,384,26,14.8
20182019,114,WARREN,42,Bowling Green Independent,80,T C Cherry Elementary School,42080,114042080,210057000106,GRREC,902,323,25,12.9
20182019,114,WARREN,42,Bowling Green Independent,90,W R McNeill Elementary School,42090,114042090,210057000107,GRREC,902,280,24,11.7
20182019,114,WARREN,42,Bowling Green Independent,13,Warren Regional Juvenile Detention Ctr,42013,114042013,210057001911,GRREC,902,25,2,12.5
20182019,114,WARREN,42,Bowling Green Independent,,---District Total---,42,,,GRREC,902,3244,265,12.2
20182019,10,BOYD,45,Boyd County,198,Boyd Co Early Childhood Academy,45198,10045198,210062001923,KEDC,903,78,4,19.5
20182019,10,BOYD,45,Boyd County,15,Boyd Co Early Childhood Learning Ctr Sou,45015,10045015,210062001972,KEDC,903,50,6,8.3
20182019,10,BOYD,45,Boyd County,45,Boyd County Central School,45045,10045045,,KEDC,903,34,3,11.3
20182019,10,BOYD,45,Boyd County,10,Boyd County High School,45010,10045010,210062000108,KEDC,903,876,64,13.7
20182019,10,BOYD,45,Boyd County,35,Boyd County Middle School,45035,10045035,210062000112,KEDC,903,515,46,11.2
20182019,10,BOYD,45,Boyd County,20,Cannonsburg Elementary School,45020,10045020,210062000109,KEDC,903,346,23,15
20182019,10,BOYD,45,Boyd County,95,Catlettsburg Elementary School,45095,10045095,210062000118,KEDC,903,233,20,11.7
20182019,10,BOYD,45,Boyd County,97,Ponderosa Elementary School,45097,10045097,210062000030,KEDC,903,312,23,13.6
20182019,10,BOYD,45,Boyd County,85,Ramey-Estep High School,45085,10045085,210062000640,KEDC,903,127,12,10.6
20182019,10,BOYD,45,Boyd County,80,Summit Elementary School,45080,10045080,210062000117,KEDC,903,423,31,13.6
20182019,10,BOYD,45,Boyd County,,---District Total---,45,,,KEDC,903,2809,224,12.5
20182019,11,BOYLE,51,Boyle County,4,Boyle County Day Treatment,51004,11051004,210063001713,CKEC,901,16,1,16
20182019,11,BOYLE,51,Boyle County,5,Boyle County High School,51005,11051005,210063000120,CKEC,901,683,52,13.1
20182019,11,BOYLE,51,Boyle County,3,Boyle County Middle School,51003,11051003,210063000119,CKEC,901,492,40,12.3
20182019,11,BOYLE,51,Boyle County,40,Junction City Elementary School,51040,11051040,210063000121,CKEC,901,238,24,9.9
20182019,11,BOYLE,51,Boyle County,80,Perryville Elementary School,51080,11051080,210063000124,CKEC,901,236,16,14.8
20182019,11,BOYLE,51,Boyle County,50,Woodlawn Elementary School,51050,11051050,210063000122,CKEC,901,367,33,11.1
20182019,11,BOYLE,51,Boyle County,,---District Total---,51,,,CKEC,901,1967,160,12.3
20182019,12,BRACKEN,55,Bracken County,10,Bracken County High School,55010,12055010,210066000125,NKCES,905,285,23,12.4
20182019,12,BRACKEN,55,Bracken County,60,Bracken County Middle School,55060,12055060,210066001560,NKCES,905,178,18,9.9
20182019,12,BRACKEN,55,Bracken County,50,Taylor Elementary School,55050,12055050,210066000128,NKCES,905,439,30,14.6
20182019,12,BRACKEN,55,Bracken County,,---District Total---,55,,,NKCES,905,857,67,12.8
20182019,13,BREATHITT,61,Breathitt County,33,Breathitt County Day Treatment,61033,13061033,210069001842,KVEC,904,39,2,19.5
20182019,13,BREATHITT,61,Breathitt County,60,Breathitt County High School,61060,13061060,210069000129,KVEC,904,500,41,12.2
20182019,13,BREATHITT,61,Breathitt County,31,Breathitt Regional Juvenile Det Ctr,61031,13061031,210069001623,KVEC,904,21,1,21
20182019,13,BREATHITT,61,Breathitt County,30,Highland-Turner Elementary School,61030,13061030,210069001659,KVEC,904,188,11,17.1
20182019,13,BREATHITT,61,Breathitt County,185,Marie Roberts-Caney Elementary School,61185,13061185,210069000133,KVEC,904,217,16,13.6
20182019,13,BREATHITT,61,Breathitt County,150,Sebastian Elementary School,61150,13061150,210069000132,KVEC,904,451,29,15.6
20182019,13,BREATHITT,61,Breathitt County,,---District Total---,61,,,KVEC,904,1373,98,14
20182019,14,BRECKINRIDGE,65,Breckinridge County,30,Ben Johnson Elementary School,65030,14065030,210072000139,GRREC,902,133,15,8.9
20182019,14,BRECKINRIDGE,65,Breckinridge County,10,Breckinridge County High School,65010,14065010,210072000137,GRREC,902,609,52,11.7
20182019,14,BRECKINRIDGE,65,Breckinridge County,100,Breckinridge County Middle School,65100,14065100,210072001304,GRREC,902,435,35,12.4
20182019,14,BRECKINRIDGE,65,Breckinridge County,40,Custer Elementary School,65040,14065040,210072000140,GRREC,902,116,13,8.9
20182019,14,BRECKINRIDGE,65,Breckinridge County,20,Hardinsburg Elementary School,65020,14065020,210072000138,GRREC,902,316,25,12.6
20182019,14,BRECKINRIDGE,65,Breckinridge County,50,Irvington Elementary School,65050,14065050,210072000141,GRREC,902,289,23,12.6
20182019,14,BRECKINRIDGE,65,Breckinridge County,,---District Total---,65,,,GRREC,902,1870,158,11.8
20182019,15,BULLITT,71,Bullitt County,5,Bernheim Middle School,71005,15071005,210075000414,OVEC,906,246,28,8.8
20182019,15,BULLITT,71,Bullitt County,10,Brooks Elementary School,71010,15071010,210075000144,OVEC,906,248,24,10.3
20182019,15,BULLITT,71,Bullitt County,120,Bullitt Alternative Center,71120,15071120,210075000929,OVEC,906,76,6,12.7
20182019,15,BULLITT,71,Bullitt County,15,Bullitt Central High School,71015,15071015,210075000145,OVEC,906,681,74,9.2
20182019,15,BULLITT,71,Bullitt County,16,Bullitt East High School,71016,15071016,210075001409,OVEC,906,873,75,11.6
