SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,STATE_SCH_ID,NCESID,COOP,COOP_CODE,PERSON_PER_STU_FED,NONPERSON_PER_STU_FED,TOTAL_PER_STU_FED,PERSON_PER_STU_STATELOCAL,NONPERSON_PER_STU_STATELOCAL,TOTAL_PER_STU_STATELOCAL,TOTAL_PER_STU_ALLFUNDS
20182019,8,BOONE,35,Boone County,81,Ockerman Elementary School,8035081,210051000089,NKCES,905,402,156,558,8271,1252,9523,10081
20182019,8,BOONE,35,Boone County,83,Stephens Elementary School,8035083,210051001695,NKCES,905,330,192,522,8796,1065,9861,10383
20182019,8,BOONE,35,Boone County,10,Camp Ernst Middle School,8035010,210051001971,NKCES,905,75,72,147,8735,1055,9790,9937
20182019,8,BOONE,35,Boone County,11,Shirley Mann Elementary School,8035011,210051002022,NKCES,905,97,71,168,7634,988,8622,8790
20182019,8,BOONE,35,Boone County,75,Gray Middle School,8035075,210051000638,NKCES,905,65,70,135,7605,986,8591,8726
20182019,8,BOONE,35,Boone County,15,Randall K. Cooper High School,8035015,210051002206,NKCES,905,68,93,161,7732,1255,8987,9148
20182019,8,BOONE,35,Boone County,17,Longbranch Elementary School,8035017,210051002245,NKCES,905,66,72,138,7430,917,8347,8485
20182019,8,BOONE,35,Boone County,80,New Haven Elementary School,8035080,210051000088,NKCES,905,114,70,184,7347,1008,8355,8539
20182019,8,BOONE,35,Boone County,85,Ockerman Middle School,8035085,210051000090,NKCES,905,184,75,259,8793,1107,9900,10159
20182019,9,BOURBON,41,Bourbon County,30,Cane Ridge Elementary School,9041030,210054000024,CKEC,901,1159,139,1299,8097,1830,9928,12052
20182019,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,9041010,210054001576,CKEC,901,1019,137,1157,7798,2000,9798,11804
20182019,9,BOURBON,41,Bourbon County,110,Bourbon County High School,9041110,210054000098,CKEC,901,518,195,714,8131,2245,10376,12801
20182019,9,BOURBON,41,Bourbon County,120,Bourbon County Middle School,9041120,210054000099,CKEC,901,466,171,637,8195,1804,10000,12190
20182019,9,BOURBON,41,Bourbon County,90,North Middletown Elementary School,9041090,210054000096,CKEC,901,1582,227,1809,8974,2075,11049,13838
20182019,114,WARREN,42,Bowling Green Independent,90,W R McNeill Elementary School,114042090,210057000107,GRREC,902,276,90,366,8434,1653,10087,13424
20182019,114,WARREN,42,Bowling Green Independent,80,T C Cherry Elementary School,114042080,210057000106,GRREC,902,726,302,1028,8964,1792,10756,14826
20182019,114,WARREN,42,Bowling Green Independent,65,Bowling Green Junior High,114042065,210057000104,GRREC,902,500,90,590,8087,1983,10070,13742
20182019,114,WARREN,42,Bowling Green Independent,60,Potter Gray Elementary,114042060,210057000103,GRREC,902,163,79,243,8786,1655,10441,13858
20182019,114,WARREN,42,Bowling Green Independent,57,Parker-Bennett-Curry School,114042057,210057000102,GRREC,902,1190,94,1285,9919,2187,12106,16643
20182019,114,WARREN,42,Bowling Green Independent,10,Dishman McGinnis Elementary School,114042010,210057000100,GRREC,902,806,152,958,8651,1830,10481,14630
20182019,114,WARREN,42,Bowling Green Independent,70,Bowling Green High School,114042070,210057000105,GRREC,902,313,170,483,8632,1637,10269,13873
20182019,10,BOYD,45,Boyd County,80,Summit Elementary School,10045080,210062000117,KEDC,903,638,139,777,9297,1731,11028,11805
20182019,10,BOYD,45,Boyd County,95,Catlettsburg Elementary School,10045095,210062000118,KEDC,903,1879,418,2297,13222,2938,16160,18457
20182019,10,BOYD,45,Boyd County,97,Ponderosa Elementary School,10045097,210062000030,KEDC,903,854,174,1028,9622,1921,11543,12571
20182019,10,BOYD,45,Boyd County,35,Boyd County Middle School,10045035,210062000112,KEDC,903,497,135,632,8722,1756,10478,11110
20182019,10,BOYD,45,Boyd County,10,Boyd County High School,10045010,210062000108,KEDC,903,174,118,292,9496,1882,11378,11670
