SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,TOTAL YEARS EXPERIENCE,EDUCATOR COUNT,AVERAGE YEARS OF EXPERIENCE
20192020,011,BOYLE,051,Boyle County,005,Boyle County High School,051005,011051005,210063000120,CKEC,901,711,54,13.2
20192020,011,BOYLE,051,Boyle County,040,Junction City Elementary School,051040,011051040,210063000121,CKEC,901,270,25,10.8
20192020,011,BOYLE,051,Boyle County,050,Woodlawn Elementary School,051050,011051050,210063000122,CKEC,901,272,31,8.8
20192020,011,BOYLE,051,Boyle County,080,Perryville Elementary School,051080,011051080,210063000124,CKEC,901,238,16,14.9
20192020,012,BRACKEN,055,Bracken County,"",---District Total---,055,"","",NKCES,905,849,66,12.9
20192020,012,BRACKEN,055,Bracken County,010,Bracken County High School,055010,012055010,210066000125,NKCES,905,246,21,11.7
20192020,012,BRACKEN,055,Bracken County,050,Taylor Elementary School,055050,012055050,210066000128,NKCES,905,447,31,14.4
20192020,012,BRACKEN,055,Bracken County,060,Bracken County Middle School,055060,012055060,210066001560,NKCES,905,195,19,10.3
20192020,013,BREATHITT,061,Breathitt County,"",---District Total---,061,"","",KVEC,904,1267,87,14.6
20192020,013,BREATHITT,061,Breathitt County,030,Highland-Turner Elementary School,061030,013061030,210069001659,KVEC,904,165,10,16.5
20192020,013,BREATHITT,061,Breathitt County,031,Breathitt Regional Juvenile Det Ctr,061031,013061031,210069001623,KVEC,904,22,1,22
20192020,013,BREATHITT,061,Breathitt County,033,Breathitt County Day Treatment,061033,013061033,210069001842,KVEC,904,41,2,20.5
20192020,013,BREATHITT,061,Breathitt County,060,Breathitt County High School,061060,013061060,210069000129,KVEC,904,530,41,12.9
20192020,013,BREATHITT,061,Breathitt County,150,Sebastian Elementary School,061150,013061150,210069000132,KVEC,904,335,20,16.8
20192020,013,BREATHITT,061,Breathitt County,185,Marie Roberts-Caney Elementary School,061185,013061185,210069000133,KVEC,904,219,15,14.6
20192020,014,BRECKINRIDGE,065,Breckinridge County,"",---District Total---,065,"","",GRREC,902,1894,154,12.3
20192020,014,BRECKINRIDGE,065,Breckinridge County,010,Breckinridge County High School,065010,014065010,210072000137,GRREC,902,574,45,12.8
20192020,014,BRECKINRIDGE,065,Breckinridge County,020,Hardinsburg Elementary School,065020,014065020,210072000138,GRREC,902,352,26,13.5
20192020,014,BRECKINRIDGE,065,Breckinridge County,030,Ben Johnson Elementary School,065030,014065030,210072000139,GRREC,902,125,14,8.9
20192020,014,BRECKINRIDGE,065,Breckinridge County,040,Custer Elementary School,065040,014065040,210072000140,GRREC,902,115,13,8.8
20192020,014,BRECKINRIDGE,065,Breckinridge County,050,Irvington Elementary School,065050,014065050,210072000141,GRREC,902,264,23,11.5
20192020,014,BRECKINRIDGE,065,Breckinridge County,100,Breckinridge County Middle School,065100,014065100,210072001304,GRREC,902,500,38,13.2
20192020,015,BULLITT,071,Bullitt County,"",---District Total---,071,"","",OVEC,906,7340,691,10.6
20192020,015,BULLITT,071,Bullitt County,005,Bernheim Middle School,071005,015071005,210075000414,OVEC,906,205,27,7.6
20192020,015,BULLITT,071,Bullitt County,006,Freedom Elementary School,071006,015071006,210075001958,OVEC,906,273,25,10.9
20192020,015,BULLITT,071,Bullitt County,007,Zoneton Middle School,071007,015071007,210075001973,OVEC,906,226,28,8.1
20192020,015,BULLITT,071,Bullitt County,008,Shepherdsville Elementary,071008,015071008,210075001974,OVEC,906,233,27,8.6
20192020,015,BULLITT,071,Bullitt County,009,Eastside Middle School,071009,015071009,210075001975,OVEC,906,486,34,14.3
20192020,015,BULLITT,071,Bullitt County,010,Brooks Elementary School,071010,015071010,210075000144,OVEC,906,248,23,10.8
20192020,015,BULLITT,071,Bullitt County,015,Bullitt Central High School,071015,015071015,210075000145,OVEC,906,690,72,9.6
20192020,015,BULLITT,071,Bullitt County,016,Bullitt East High School,071016,015071016,210075001409,OVEC,906,824,73,11.3
20192020,015,BULLITT,071,Bullitt County,018,Bullitt Lick Middle School,071018,015071018,210075001410,OVEC,906,229,33,6.9
20192020,015,BULLITT,071,Bullitt County,020,Cedar Grove Elementary,071020,015071020,210075000146,OVEC,906,315,25,12.6
20192020,015,BULLITT,071,Bullitt County,025,Hebron Middle School,071025,015071025,210075000147,OVEC,906,306,26,11.8
20192020,015,BULLITT,071,Bullitt County,030,Lebanon Junction Elementary,071030,015071030,210075000148,OVEC,906,260,22,11.8
20192020,015,BULLITT,071,Bullitt County,032,Spring Meadows,071032,015071032,210075002169,OVEC,906,51,2,25.5
20192020,015,BULLITT,071,Bullitt County,045,Maryville Elementary School,071045,015071045,210075000149,OVEC,906,179,20,9
20192020,015,BULLITT,071,Bullitt County,050,MT. Washington Middle School,071050,015071050,210075000150,OVEC,906,367,26,14.1
20192020,015,BULLITT,071,Bullitt County,055,MT. Washington Elementary,071055,015071055,210075000151,OVEC,906,323,28,11.5
20192020,015,BULLITT,071,Bullitt County,060,Crossroads Elementary,071060,015071060,210075002286,OVEC,906,233,24,9.7
20192020,015,BULLITT,071,Bullitt County,065,Pleasant Grove Elementary School,071065,015071065,210075001305,OVEC,906,423,29,14.6
20192020,015,BULLITT,071,Bullitt County,070,Nichols Elementary,071070,015071070,210075000153,OVEC,906,104,9,11.6
20192020,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000154,OVEC,906,598,62,9.6
20192020,015,BULLITT,071,Bullitt County,078,Old Mill Elementary School,071078,015071078,210075001578,OVEC,906,256,21,12.2
20192020,015,BULLITT,071,Bullitt County,080,Overdale Elementary School,071080,015071080,210075000155,OVEC,906,166,20,8.3
20192020,015,BULLITT,071,Bullitt County,090,Roby Elementary School,071090,015071090,210075000156,OVEC,906,222,27,8.2
20192020,015,BULLITT,071,Bullitt County,110,Riverview Opportunity Center,071110,015071110,210075000157,OVEC,906,70,6,11.7
20192020,015,BULLITT,071,Bullitt County,120,Bullitt Alternative Center,071120,015071120,210075000929,OVEC,906,83,6,13.8
20192020,084,MERCER,072,Burgin Independent,"",---District Total---,072,"","",CKEC,901,402,35,11.5
20192020,084,MERCER,072,Burgin Independent,030,Burgin Independent School,072030,084072030,210078002407,CKEC,901,402,35,11.5
20192020,016,BUTLER,075,Butler County,"",---District Total---,075,"","",GRREC,902,1555,132,11.8
20192020,016,BUTLER,075,Butler County,030,Butler County High School,075030,016075030,210081000160,GRREC,902,474,40,11.9
20192020,016,BUTLER,075,Butler County,031,North Butler Elementary,075031,016075031,210081001976,GRREC,902,353,29,12.2
