SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,SCHOOL TYPE,MEMBERSHIP,Total Spending per Student - All Fund Sources
20212022,10,BOYD,45,Boyd County,120,Boyd Co Career & Tech Educ Ctr Voc Sch,45120,A2,0,
20212022,10,BOYD,45,Boyd County,198,Boyd Co Early Childhood Academy,45198,A4,0,
20212022,11,BOYLE,51,Boyle County,3,Boyle County Middle School,51003,A1,661,14343
20212022,11,BOYLE,51,Boyle County,4,Boyle County Day Treatment,51004,A6,11,
20212022,11,BOYLE,51,Boyle County,5,Boyle County High School,51005,A1,836,13678
20212022,11,BOYLE,51,Boyle County,40,Junction City Elementary School,51040,A1,351,15630
20212022,11,BOYLE,51,Boyle County,50,Woodlawn Elementary School,51050,A1,556,13242
20212022,11,BOYLE,51,Boyle County,80,Perryville Elementary School,51080,A1,255,15653
20212022,12,BRACKEN,55,Bracken County,10,Bracken County High School,55010,A1,347,12795
20212022,12,BRACKEN,55,Bracken County,50,Taylor Elementary School,55050,A1,483,12659
20212022,12,BRACKEN,55,Bracken County,60,Bracken County Middle School,55060,A1,275,11582
20212022,13,BREATHITT,61,Breathitt County,30,Highland-Turner Elementary School,61030,A1,166,21846
20212022,13,BREATHITT,61,Breathitt County,31,Breathitt Regional School,61031,A6,30,
20212022,13,BREATHITT,61,Breathitt County,33,Breathitt County Day Treatment,61033,A6,24,
20212022,13,BREATHITT,61,Breathitt County,60,Breathitt County High School,61060,A1,773,20775
20212022,13,BREATHITT,61,Breathitt County,150,Sebastian Elementary School,61150,A1,438,21419
20212022,13,BREATHITT,61,Breathitt County,185,Marie Roberts-Caney Elementary School,61185,A1,265,18710
20212022,14,BRECKINRIDGE,65,Breckinridge County,10,Breckinridge County High School,65010,A1,886,12584
20212022,14,BRECKINRIDGE,65,Breckinridge County,20,Hardinsburg Elementary School,65020,A1,418,15749
20212022,14,BRECKINRIDGE,65,Breckinridge County,30,Ben Johnson Elementary School,65030,A1,208,14827
20212022,14,BRECKINRIDGE,65,Breckinridge County,40,Custer Elementary School,65040,A1,142,18289
20212022,14,BRECKINRIDGE,65,Breckinridge County,50,Irvington Elementary School,65050,A1,305,16107
20212022,14,BRECKINRIDGE,65,Breckinridge County,100,Breckinridge County Middle School,65100,A1,599,12739
20212022,15,BULLITT,71,Bullitt County,5,Bernheim Middle School,71005,A1,481,15287
20212022,15,BULLITT,71,Bullitt County,6,Freedom Elementary School,71006,A1,514,16029
20212022,15,BULLITT,71,Bullitt County,7,Zoneton Middle School,71007,A1,406,16973
20212022,15,BULLITT,71,Bullitt County,8,Shepherdsville Elementary,71008,A1,496,17750
20212022,15,BULLITT,71,Bullitt County,9,Eastside Middle School,71009,A1,668,15554
20212022,15,BULLITT,71,Bullitt County,10,Brooks Elementary School,71010,A1,409,18590
20212022,15,BULLITT,71,Bullitt County,15,Bullitt Central High School,71015,A1,1288,17358
20212022,15,BULLITT,71,Bullitt County,16,Bullitt East High School,71016,A1,1467,15700
20212022,15,BULLITT,71,Bullitt County,18,Bullitt Lick Middle School,71018,A1,505,16818
20212022,15,BULLITT,71,Bullitt County,20,Cedar Grove Elementary,71020,A1,360,18250
20212022,15,BULLITT,71,Bullitt County,25,Hebron Middle School,71025,A1,513,17308
20212022,15,BULLITT,71,Bullitt County,30,Lebanon Junction Elementary,71030,A1,379,18072
20212022,15,BULLITT,71,Bullitt County,32,Spring Meadows,71032,A6,17,
20212022,15,BULLITT,71,Bullitt County,45,Maryville Elementary School,71045,A1,293,18571
20212022,15,BULLITT,71,Bullitt County,50,MT. Washington Middle School,71050,A1,490,15954
20212022,15,BULLITT,71,Bullitt County,55,MT. Washington Elementary,71055,A1,566,15638
20212022,15,BULLITT,71,Bullitt County,60,Crossroads Elementary,71060,A1,426,17878
