Fiscal Year,District,Rank,Years,I,II,III
2020 - 2021,051 Boyle County,III,11.00,48307,0,0
2020 - 2021,051 Boyle County,III,12.00,48429,0,0
2020 - 2021,051 Boyle County,III,13.00,48552,0,0
2020 - 2021,051 Boyle County,III,14.00,48675,0,0
2020 - 2021,051 Boyle County,III,15.00,50821,0,0
2020 - 2021,051 Boyle County,III,16.00,50946,0,0
2020 - 2021,051 Boyle County,III,17.00,51069,0,0
2020 - 2021,051 Boyle County,III,18.00,51190,0,0
2020 - 2021,051 Boyle County,III,19.00,51313,0,0
2020 - 2021,051 Boyle County,III,20.00,53908,0,0
2020 - 2021,051 Boyle County,III,21.00,54030,0,0
2020 - 2021,051 Boyle County,III,22.00,54155,0,0
2020 - 2021,051 Boyle County,III,23.00,54284,0,0
2020 - 2021,051 Boyle County,III,24.00,54412,0,0
2020 - 2021,051 Boyle County,III,25.00,54545,0,0
2020 - 2021,051 Boyle County,III,26.00,54678,0,0
2020 - 2021,051 Boyle County,III,27.00,54678,0,0
2020 - 2021,051 Boyle County,III,28.00,54678,0,0
2020 - 2021,051 Boyle County,III,29.00,54678,0,0
2020 - 2021,051 Boyle County,III,30.00,54678,0,0
2020 - 2021,051 Boyle County,III,31.00,54678,0,0
2020 - 2021,051 Boyle County,III,32.00,54678,0,0
2020 - 2021,051 Boyle County,III,33.00,54678,0,0
2020 - 2021,051 Boyle County,III,34.00,54678,0,0
2020 - 2021,051 Boyle County,III,35.00,54678,0,0
2020 - 2021,051 Boyle County,III,36.00,54678,0,0
2020 - 2021,051 Boyle County,III,37.00,54678,0,0
2020 - 2021,051 Boyle County,III,38.00,54678,0,0
2020 - 2021,051 Boyle County,III,39.00,54678,0,0
2020 - 2021,051 Boyle County,III,40.00,54678,0,0
2020 - 2021,051 Boyle County,IV,0.00,30179,0,0
2020 - 2021,051 Boyle County,IV,1.00,30306,0,0
2020 - 2021,051 Boyle County,IV,2.00,30435,0,0
2020 - 2021,051 Boyle County,IV,3.00,30566,0,0
2020 - 2021,051 Boyle County,IV,4.00,32889,0,0
2020 - 2021,051 Boyle County,IV,5.00,33016,0,0
2020 - 2021,051 Boyle County,IV,6.00,33148,0,0
2020 - 2021,051 Boyle County,IV,7.00,33277,0,0
2020 - 2021,051 Boyle County,IV,8.00,33405,0,0
2020 - 2021,051 Boyle County,IV,9.00,33532,0,0
2020 - 2021,051 Boyle County,IV,10.00,36125,0,0
2020 - 2021,051 Boyle County,IV,11.00,36254,0,0
2020 - 2021,051 Boyle County,IV,12.00,36383,0,0
2020 - 2021,051 Boyle County,IV,13.00,36513,0,0
2020 - 2021,051 Boyle County,IV,14.00,36640,0,0
2020 - 2021,051 Boyle County,IV,15.00,38108,0,0
2020 - 2021,051 Boyle County,IV,16.00,38238,0,0
2020 - 2021,051 Boyle County,IV,17.00,38367,0,0
2020 - 2021,051 Boyle County,IV,18.00,38496,0,0
2020 - 2021,051 Boyle County,IV,19.00,38625,0,0
2020 - 2021,051 Boyle County,IV,20.00,40490,0,0
2020 - 2021,051 Boyle County,IV,21.00,40617,0,0
2020 - 2021,051 Boyle County,IV,22.00,40746,0,0
2020 - 2021,051 Boyle County,IV,23.00,40874,0,0
2020 - 2021,051 Boyle County,IV,24.00,41004,0,0
2020 - 2021,051 Boyle County,IV,25.00,41132,0,0
2020 - 2021,051 Boyle County,IV,26.00,41262,0,0
2020 - 2021,051 Boyle County,IV,27.00,41262,0,0
2020 - 2021,051 Boyle County,IV,28.00,41262,0,0
2020 - 2021,051 Boyle County,IV,29.00,41262,0,0
2020 - 2021,051 Boyle County,IV,30.00,41262,0,0
2020 - 2021,051 Boyle County,IV,31.00,41262,0,0
2020 - 2021,051 Boyle County,IV,32.00,41262,0,0
2020 - 2021,051 Boyle County,IV,33.00,41262,0,0
2020 - 2021,051 Boyle County,IV,34.00,41262,0,0
2020 - 2021,051 Boyle County,IV,35.00,41262,0,0
2020 - 2021,051 Boyle County,IV,36.00,41262,0,0
2020 - 2021,051 Boyle County,IV,37.00,41262,0,0
2020 - 2021,051 Boyle County,IV,38.00,41262,0,0
2020 - 2021,051 Boyle County,IV,39.00,41262,0,0
2020 - 2021,051 Boyle County,IV,40.00,41262,0,0
2020 - 2021,051 Boyle County,V,0.00,27897,0,0
2020 - 2021,051 Boyle County,V,1.00,27897,0,0
2020 - 2021,051 Boyle County,V,2.00,27897,0,0
2020 - 2021,051 Boyle County,V,3.00,27897,0,0
2020 - 2021,051 Boyle County,V,4.00,27897,0,0
2020 - 2021,051 Boyle County,V,5.00,27897,0,0
2020 - 2021,051 Boyle County,V,6.00,27897,0,0
2020 - 2021,051 Boyle County,V,7.00,27897,0,0
2020 - 2021,051 Boyle County,V,8.00,27897,0,0
2020 - 2021,051 Boyle County,V,9.00,27897,0,0
2020 - 2021,051 Boyle County,V,10.00,27897,0,0
2020 - 2021,051 Boyle County,V,11.00,27897,0,0
2020 - 2021,051 Boyle County,V,12.00,27897,0,0
2020 - 2021,051 Boyle County,V,13.00,27897,0,0
2020 - 2021,051 Boyle County,V,14.00,27897,0,0
2020 - 2021,051 Boyle County,V,15.00,27897,0,0
2020 - 2021,051 Boyle County,V,16.00,27897,0,0
2020 - 2021,051 Boyle County,V,17.00,27897,0,0
2020 - 2021,051 Boyle County,V,18.00,27897,0,0
2020 - 2021,051 Boyle County,V,19.00,27897,0,0
2020 - 2021,051 Boyle County,V,20.00,27897,0,0
2020 - 2021,051 Boyle County,V,21.00,27897,0,0
2020 - 2021,051 Boyle County,V,22.00,27897,0,0
2020 - 2021,051 Boyle County,V,23.00,27897,0,0
2020 - 2021,051 Boyle County,V,24.00,27897,0,0
2020 - 2021,051 Boyle County,V,25.00,27897,0,0
2020 - 2021,051 Boyle County,V,26.00,27897,0,0
2020 - 2021,051 Boyle County,V,27.00,27897,0,0
2020 - 2021,051 Boyle County,V,28.00,27897,0,0
2020 - 2021,051 Boyle County,V,29.00,27897,0,0
2020 - 2021,051 Boyle County,V,30.00,27897,0,0
2020 - 2021,051 Boyle County,V,31.00,27897,0,0
2020 - 2021,051 Boyle County,V,32.00,27897,0,0
2020 - 2021,051 Boyle County,V,33.00,27897,0,0
2020 - 2021,051 Boyle County,V,34.00,27897,0,0
2020 - 2021,051 Boyle County,V,35.00,27897,0,0
2020 - 2021,051 Boyle County,V,36.00,27897,0,0
2020 - 2021,051 Boyle County,V,37.00,27897,0,0
2020 - 2021,051 Boyle County,V,38.00,27897,0,0
2020 - 2021,051 Boyle County,V,39.00,27897,0,0
2020 - 2021,051 Boyle County,V,40.00,27897,0,0
2020 - 2021,055 Bracken County,I,0.00,44081,0,0
2020 - 2021,055 Bracken County,I,1.00,44181,0,0
2020 - 2021,055 Bracken County,I,2.00,44594,0,0
2020 - 2021,055 Bracken County,I,3.00,44700,0,0
2020 - 2021,055 Bracken County,I,4.00,48138,0,0
2020 - 2021,055 Bracken County,I,5.00,48236,0,0
2020 - 2021,055 Bracken County,I,6.00,48341,0,0
2020 - 2021,055 Bracken County,I,7.00,48413,0,0
2020 - 2021,055 Bracken County,I,8.00,48533,0,0
2020 - 2021,055 Bracken County,I,9.00,48639,0,0
2020 - 2021,055 Bracken County,I,10.00,53421,0,0
2020 - 2021,055 Bracken County,I,11.00,53547,0,0
2020 - 2021,055 Bracken County,I,12.00,53711,0,0
2020 - 2021,055 Bracken County,I,13.00,53938,0,0
2020 - 2021,055 Bracken County,I,14.00,54174,0,0
2020 - 2021,055 Bracken County,I,15.00,56169,0,0
2020 - 2021,055 Bracken County,I,16.00,56669,0,0
2020 - 2021,055 Bracken County,I,17.00,57169,0,0
2020 - 2021,055 Bracken County,I,18.00,57669,0,0
2020 - 2021,055 Bracken County,I,19.00,58169,0,0
2020 - 2021,055 Bracken County,I,20.00,58669,0,0
2020 - 2021,055 Bracken County,I,21.00,59169,0,0
2020 - 2021,055 Bracken County,I,22.00,59669,0,0
2020 - 2021,055 Bracken County,I,23.00,60169,0,0
2020 - 2021,055 Bracken County,I,24.00,60669,0,0
2020 - 2021,055 Bracken County,I,25.00,61169,0,0
2020 - 2021,055 Bracken County,I,26.00,61369,0,0
2020 - 2021,055 Bracken County,I,27.00,61569,0,0
2020 - 2021,055 Bracken County,I,28.00,61769,0,0
2020 - 2021,055 Bracken County,I,29.00,61969,0,0
2020 - 2021,055 Bracken County,I,30.00,62000,0,0
2020 - 2021,055 Bracken County,I,31.00,62000,0,0
2020 - 2021,055 Bracken County,I,32.00,62000,0,0
2020 - 2021,055 Bracken County,I,33.00,62000,0,0
2020 - 2021,055 Bracken County,I,34.00,62000,0,0
2020 - 2021,055 Bracken County,I,35.00,62000,0,0
2020 - 2021,055 Bracken County,I,36.00,62000,0,0
2020 - 2021,055 Bracken County,I,37.00,62000,0,0
2020 - 2021,055 Bracken County,I,38.00,62000,0,0
2020 - 2021,055 Bracken County,I,39.00,62000,0,0
2020 - 2021,055 Bracken County,I,40.00,62000,0,0
2020 - 2021,055 Bracken County,II,0.00,39953,0,0
2020 - 2021,055 Bracken County,II,1.00,40064,0,0
2020 - 2021,055 Bracken County,II,2.00,40153,0,0
2020 - 2021,055 Bracken County,II,3.00,40270,0,0
2020 - 2021,055 Bracken County,II,4.00,44151,0,0
2020 - 2021,055 Bracken County,II,5.00,44239,0,0
2020 - 2021,055 Bracken County,II,6.00,44345,0,0
2020 - 2021,055 Bracken County,II,7.00,44461,0,0
2020 - 2021,055 Bracken County,II,8.00,44567,0,0
2020 - 2021,055 Bracken County,II,9.00,44684,0,0
2020 - 2021,055 Bracken County,II,10.00,49296,0,0
2020 - 2021,055 Bracken County,II,11.00,49429,0,0
2020 - 2021,055 Bracken County,II,12.00,49595,0,0
2020 - 2021,055 Bracken County,II,13.00,49803,0,0
2020 - 2021,055 Bracken County,II,14.00,50025,0,0
2020 - 2021,055 Bracken County,II,15.00,51903,0,0
2020 - 2021,055 Bracken County,II,16.00,52203,0,0
2020 - 2021,055 Bracken County,II,17.00,52503,0,0
2020 - 2021,055 Bracken County,II,18.00,52803,0,0
2020 - 2021,055 Bracken County,II,19.00,53103,0,0
2020 - 2021,055 Bracken County,II,20.00,53403,0,0
2020 - 2021,055 Bracken County,II,21.00,53703,0,0
2020 - 2021,055 Bracken County,II,22.00,54003,0,0
2020 - 2021,055 Bracken County,II,23.00,54303,0,0
2020 - 2021,055 Bracken County,II,24.00,54603,0,0
2020 - 2021,055 Bracken County,II,25.00,54903,0,0
2020 - 2021,055 Bracken County,II,26.00,55103,0,0
2020 - 2021,055 Bracken County,II,27.00,55303,0,0
2020 - 2021,055 Bracken County,II,28.00,55503,0,0
2020 - 2021,055 Bracken County,II,29.00,55703,0,0
2020 - 2021,055 Bracken County,II,30.00,56000,0,0
2020 - 2021,055 Bracken County,II,31.00,56000,0,0
2020 - 2021,055 Bracken County,II,32.00,56000,0,0
2020 - 2021,055 Bracken County,II,33.00,56000,0,0
2020 - 2021,055 Bracken County,II,34.00,56000,0,0
2020 - 2021,055 Bracken County,II,35.00,56000,0,0
2020 - 2021,055 Bracken County,II,36.00,56000,0,0
2020 - 2021,055 Bracken County,II,37.00,56000,0,0
2020 - 2021,055 Bracken County,II,38.00,56000,0,0
2020 - 2021,055 Bracken County,II,39.00,56000,0,0
2020 - 2021,055 Bracken County,II,40.00,56000,0,0
2020 - 2021,055 Bracken County,III,0.00,35825,0,0
2020 - 2021,055 Bracken County,III,1.00,35945,0,0
2020 - 2021,055 Bracken County,III,2.00,36064,0,0
2020 - 2021,055 Bracken County,III,3.00,36107,0,0
2020 - 2021,055 Bracken County,III,4.00,39953,0,0
2020 - 2021,055 Bracken County,III,5.00,40064,0,0
2020 - 2021,055 Bracken County,III,6.00,40153,0,0
2020 - 2021,055 Bracken County,III,7.00,40254,0,0
2020 - 2021,055 Bracken County,III,8.00,40375,0,0
2020 - 2021,055 Bracken County,III,9.00,40494,0,0
2020 - 2021,055 Bracken County,III,10.00,45022,0,0
2020 - 2021,055 Bracken County,III,11.00,45297,0,0
2020 - 2021,055 Bracken County,III,12.00,45447,0,0
2020 - 2021,055 Bracken County,III,13.00,45641,0,0
2020 - 2021,055 Bracken County,III,14.00,45837,0,0
2020 - 2021,055 Bracken County,III,15.00,47627,0,0
2020 - 2021,055 Bracken County,III,16.00,47627,0,0
2020 - 2021,055 Bracken County,III,17.00,47627,0,0
2020 - 2021,055 Bracken County,III,18.00,47627,0,0
2020 - 2021,055 Bracken County,III,19.00,47627,0,0
2020 - 2021,055 Bracken County,III,20.00,48758,0,0
2020 - 2021,055 Bracken County,III,21.00,48758,0,0
2020 - 2021,055 Bracken County,III,22.00,48758,0,0
2020 - 2021,055 Bracken County,III,23.00,48758,0,0
2020 - 2021,055 Bracken County,III,24.00,48758,0,0
2020 - 2021,055 Bracken County,III,25.00,48969,0,0
2020 - 2021,055 Bracken County,III,26.00,49014,0,0
2020 - 2021,055 Bracken County,III,27.00,49056,0,0
2020 - 2021,055 Bracken County,III,28.00,49102,0,0
2020 - 2021,055 Bracken County,III,29.00,49142,0,0
2020 - 2021,055 Bracken County,III,30.00,49186,0,0
2020 - 2021,055 Bracken County,III,31.00,49186,0,0
2020 - 2021,055 Bracken County,III,32.00,49186,0,0
2020 - 2021,055 Bracken County,III,33.00,49186,0,0
2020 - 2021,055 Bracken County,III,34.00,49186,0,0
2020 - 2021,055 Bracken County,III,35.00,49186,0,0
2020 - 2021,055 Bracken County,III,36.00,49186,0,0
2020 - 2021,055 Bracken County,III,37.00,49186,0,0
2020 - 2021,055 Bracken County,III,38.00,49186,0,0
2020 - 2021,055 Bracken County,III,39.00,49186,0,0
2020 - 2021,055 Bracken County,III,40.00,49186,0,0
2020 - 2021,055 Bracken County,IV,0.00,31651,0,0
2020 - 2021,055 Bracken County,IV,1.00,31651,0,0
2020 - 2021,055 Bracken County,IV,2.00,31651,0,0
2020 - 2021,055 Bracken County,IV,3.00,31651,0,0
2020 - 2021,055 Bracken County,IV,4.00,31651,0,0
2020 - 2021,055 Bracken County,IV,5.00,31651,0,0
2020 - 2021,055 Bracken County,IV,6.00,31651,0,0
2020 - 2021,055 Bracken County,IV,7.00,31651,0,0
2020 - 2021,055 Bracken County,IV,8.00,31651,0,0
2020 - 2021,055 Bracken County,IV,9.00,31651,0,0
2020 - 2021,055 Bracken County,IV,10.00,31651,0,0
2020 - 2021,055 Bracken County,IV,11.00,31651,0,0
2020 - 2021,055 Bracken County,IV,12.00,31651,0,0
2020 - 2021,055 Bracken County,IV,13.00,31651,0,0
2020 - 2021,055 Bracken County,IV,14.00,31651,0,0
2020 - 2021,055 Bracken County,IV,15.00,31651,0,0
2020 - 2021,055 Bracken County,IV,16.00,31651,0,0
2020 - 2021,055 Bracken County,IV,17.00,31651,0,0
2020 - 2021,055 Bracken County,IV,18.00,31651,0,0
2020 - 2021,055 Bracken County,IV,19.00,31651,0,0
2020 - 2021,055 Bracken County,IV,20.00,31651,0,0
2020 - 2021,055 Bracken County,IV,21.00,31651,0,0
2020 - 2021,055 Bracken County,IV,22.00,31651,0,0
2020 - 2021,055 Bracken County,IV,23.00,31651,0,0
2020 - 2021,055 Bracken County,IV,24.00,31651,0,0
2020 - 2021,055 Bracken County,IV,25.00,31651,0,0
2020 - 2021,055 Bracken County,IV,26.00,31651,0,0
2020 - 2021,055 Bracken County,IV,27.00,31651,0,0
2020 - 2021,055 Bracken County,IV,28.00,31651,0,0
2020 - 2021,055 Bracken County,IV,29.00,31651,0,0
2020 - 2021,055 Bracken County,IV,30.00,31651,0,0
2020 - 2021,055 Bracken County,IV,31.00,31651,0,0
2020 - 2021,055 Bracken County,IV,32.00,31651,0,0
2020 - 2021,055 Bracken County,IV,33.00,31651,0,0
2020 - 2021,055 Bracken County,IV,34.00,31651,0,0
2020 - 2021,055 Bracken County,IV,35.00,31651,0,0
2020 - 2021,055 Bracken County,IV,36.00,31651,0,0
2020 - 2021,055 Bracken County,IV,37.00,31651,0,0
2020 - 2021,055 Bracken County,IV,38.00,31651,0,0
2020 - 2021,055 Bracken County,IV,39.00,31651,0,0
2020 - 2021,055 Bracken County,IV,40.00,31651,0,0
2020 - 2021,055 Bracken County,V,0.00,29577,0,0
2020 - 2021,055 Bracken County,V,1.00,29577,0,0
2020 - 2021,055 Bracken County,V,2.00,29577,0,0
2020 - 2021,055 Bracken County,V,3.00,29577,0,0
2020 - 2021,055 Bracken County,V,4.00,29577,0,0
2020 - 2021,055 Bracken County,V,5.00,29577,0,0
2020 - 2021,055 Bracken County,V,6.00,29577,0,0
2020 - 2021,055 Bracken County,V,7.00,29577,0,0
2020 - 2021,055 Bracken County,V,8.00,29577,0,0
2020 - 2021,055 Bracken County,V,9.00,29577,0,0
2020 - 2021,055 Bracken County,V,10.00,29577,0,0
2020 - 2021,055 Bracken County,V,11.00,29577,0,0
2020 - 2021,055 Bracken County,V,12.00,29577,0,0
2020 - 2021,055 Bracken County,V,13.00,29577,0,0
2020 - 2021,055 Bracken County,V,14.00,29577,0,0
2020 - 2021,055 Bracken County,V,15.00,29577,0,0
2020 - 2021,055 Bracken County,V,16.00,29577,0,0
2020 - 2021,055 Bracken County,V,17.00,29577,0,0
2020 - 2021,055 Bracken County,V,18.00,29577,0,0
2020 - 2021,055 Bracken County,V,19.00,29577,0,0
2020 - 2021,055 Bracken County,V,20.00,29577,0,0
2020 - 2021,055 Bracken County,V,21.00,29577,0,0
2020 - 2021,055 Bracken County,V,22.00,29577,0,0
2020 - 2021,055 Bracken County,V,23.00,29577,0,0
2020 - 2021,055 Bracken County,V,24.00,29577,0,0
2020 - 2021,055 Bracken County,V,25.00,29577,0,0
2020 - 2021,055 Bracken County,V,26.00,29577,0,0
2020 - 2021,055 Bracken County,V,27.00,29577,0,0
2020 - 2021,055 Bracken County,V,28.00,29577,0,0
2020 - 2021,055 Bracken County,V,29.00,29577,0,0
2020 - 2021,055 Bracken County,V,30.00,29577,0,0
2020 - 2021,055 Bracken County,V,31.00,29577,0,0
2020 - 2021,055 Bracken County,V,32.00,29577,0,0
2020 - 2021,055 Bracken County,V,33.00,29577,0,0
2020 - 2021,055 Bracken County,V,34.00,29577,0,0
2020 - 2021,055 Bracken County,V,35.00,29577,0,0
2020 - 2021,055 Bracken County,V,36.00,29577,0,0
2020 - 2021,055 Bracken County,V,37.00,29577,0,0
2020 - 2021,055 Bracken County,V,38.00,29577,0,0
2020 - 2021,055 Bracken County,V,39.00,29577,0,0
2020 - 2021,055 Bracken County,V,40.00,29577,0,0
2020 - 2021,061 Breathitt County,I,0.00,46176,0,0
2020 - 2021,061 Breathitt County,I,1.00,46176,0,0
2020 - 2021,061 Breathitt County,I,2.00,46176,0,0
2020 - 2021,061 Breathitt County,I,3.00,46176,0,0
2020 - 2021,061 Breathitt County,I,4.00,50532,0,0
2020 - 2021,061 Breathitt County,I,5.00,50532,0,0
2020 - 2021,061 Breathitt County,I,6.00,50532,0,0
2020 - 2021,061 Breathitt County,I,7.00,50532,0,0
2020 - 2021,061 Breathitt County,I,8.00,50532,0,0
2020 - 2021,061 Breathitt County,I,9.00,50532,0,0
2020 - 2021,061 Breathitt County,I,10.00,56333,0,0
2020 - 2021,061 Breathitt County,I,11.00,56333,0,0
2020 - 2021,061 Breathitt County,I,12.00,56333,0,0
2020 - 2021,061 Breathitt County,I,13.00,56333,0,0
2020 - 2021,061 Breathitt County,I,14.00,56333,0,0
2020 - 2021,061 Breathitt County,I,15.00,58044,0,0
2020 - 2021,061 Breathitt County,I,16.00,58044,0,0
2020 - 2021,061 Breathitt County,I,17.00,58044,0,0
2020 - 2021,061 Breathitt County,I,18.00,58044,0,0
2020 - 2021,061 Breathitt County,I,19.00,58044,0,0
2020 - 2021,061 Breathitt County,I,20.00,58887,0,0
2020 - 2021,061 Breathitt County,I,21.00,58887,0,0
2020 - 2021,061 Breathitt County,I,22.00,58887,0,0
2020 - 2021,061 Breathitt County,I,23.00,58887,0,0
2020 - 2021,061 Breathitt County,I,24.00,58887,0,0
2020 - 2021,061 Breathitt County,I,25.00,61030,0,0
2020 - 2021,061 Breathitt County,I,26.00,61030,0,0
2020 - 2021,061 Breathitt County,I,27.00,61030,0,0
2020 - 2021,061 Breathitt County,I,28.00,61030,0,0
2020 - 2021,061 Breathitt County,I,29.00,61030,0,0
2020 - 2021,061 Breathitt County,I,30.00,61030,0,0
2020 - 2021,061 Breathitt County,I,31.00,61030,0,0
2020 - 2021,061 Breathitt County,I,32.00,61030,0,0
2020 - 2021,061 Breathitt County,I,33.00,61030,0,0
2020 - 2021,061 Breathitt County,I,34.00,61030,0,0
2020 - 2021,061 Breathitt County,I,35.00,61030,0,0
2020 - 2021,061 Breathitt County,I,36.00,61030,0,0
2020 - 2021,061 Breathitt County,I,37.00,61030,0,0
2020 - 2021,061 Breathitt County,I,38.00,61030,0,0
2020 - 2021,061 Breathitt County,I,39.00,61030,0,0
2020 - 2021,061 Breathitt County,I,40.00,61030,0,0
2020 - 2021,061 Breathitt County,II,0.00,41819,0,0
2020 - 2021,061 Breathitt County,II,1.00,41819,0,0
2020 - 2021,061 Breathitt County,II,2.00,41819,0,0
2020 - 2021,061 Breathitt County,II,3.00,41819,0,0
2020 - 2021,061 Breathitt County,II,4.00,46176,0,0
2020 - 2021,061 Breathitt County,II,5.00,46176,0,0
2020 - 2021,061 Breathitt County,II,6.00,46176,0,0
2020 - 2021,061 Breathitt County,II,7.00,46176,0,0
2020 - 2021,061 Breathitt County,II,8.00,46176,0,0
2020 - 2021,061 Breathitt County,II,9.00,46176,0,0
2020 - 2021,061 Breathitt County,II,10.00,51821,0,0
2020 - 2021,061 Breathitt County,II,11.00,51821,0,0
2020 - 2021,061 Breathitt County,II,12.00,51821,0,0
2020 - 2021,061 Breathitt County,II,13.00,51821,0,0
2020 - 2021,061 Breathitt County,II,14.00,51821,0,0
2020 - 2021,061 Breathitt County,II,15.00,53548,0,0
2020 - 2021,061 Breathitt County,II,16.00,53548,0,0
2020 - 2021,061 Breathitt County,II,17.00,53548,0,0
2020 - 2021,061 Breathitt County,II,18.00,53548,0,0
2020 - 2021,061 Breathitt County,II,19.00,53548,0,0
2020 - 2021,061 Breathitt County,II,20.00,54396,0,0
2020 - 2021,061 Breathitt County,II,21.00,54396,0,0
2020 - 2021,061 Breathitt County,II,22.00,54396,0,0
2020 - 2021,061 Breathitt County,II,23.00,54396,0,0
2020 - 2021,061 Breathitt County,II,24.00,54396,0,0
2020 - 2021,061 Breathitt County,II,25.00,56537,0,0
2020 - 2021,061 Breathitt County,II,26.00,56537,0,0
2020 - 2021,061 Breathitt County,II,27.00,56537,0,0
2020 - 2021,061 Breathitt County,II,28.00,56537,0,0
2020 - 2021,061 Breathitt County,II,29.00,56537,0,0
2020 - 2021,061 Breathitt County,II,30.00,56537,0,0
2020 - 2021,061 Breathitt County,II,31.00,56537,0,0
2020 - 2021,061 Breathitt County,II,32.00,56537,0,0
2020 - 2021,061 Breathitt County,II,33.00,56537,0,0
2020 - 2021,061 Breathitt County,II,34.00,56537,0,0
2020 - 2021,061 Breathitt County,II,35.00,56537,0,0
2020 - 2021,061 Breathitt County,II,36.00,56537,0,0
2020 - 2021,061 Breathitt County,II,37.00,56537,0,0
2020 - 2021,061 Breathitt County,II,38.00,56537,0,0
2020 - 2021,061 Breathitt County,II,39.00,56537,0,0
2020 - 2021,061 Breathitt County,II,40.00,56537,0,0
2020 - 2021,061 Breathitt County,III,0.00,37422,0,0
2020 - 2021,061 Breathitt County,III,1.00,37422,0,0
2020 - 2021,061 Breathitt County,III,2.00,37422,0,0
2020 - 2021,061 Breathitt County,III,3.00,37422,0,0
2020 - 2021,061 Breathitt County,III,4.00,41819,0,0
2020 - 2021,061 Breathitt County,III,5.00,41819,0,0
2020 - 2021,061 Breathitt County,III,6.00,41819,0,0
2020 - 2021,061 Breathitt County,III,7.00,41819,0,0
2020 - 2021,061 Breathitt County,III,8.00,41819,0,0
2020 - 2021,061 Breathitt County,III,9.00,41819,0,0
2020 - 2021,061 Breathitt County,III,10.00,47401,0,0
2020 - 2021,061 Breathitt County,III,11.00,47401,0,0
2020 - 2021,061 Breathitt County,III,12.00,47401,0,0
2020 - 2021,061 Breathitt County,III,13.00,47401,0,0
2020 - 2021,061 Breathitt County,III,14.00,47401,0,0
2020 - 2021,061 Breathitt County,III,15.00,49080,0,0
2020 - 2021,061 Breathitt County,III,16.00,49080,0,0
2020 - 2021,061 Breathitt County,III,17.00,49080,0,0
2020 - 2021,061 Breathitt County,III,18.00,49080,0,0
2020 - 2021,061 Breathitt County,III,19.00,49080,0,0
2020 - 2021,061 Breathitt County,III,20.00,49882,0,0
2020 - 2021,061 Breathitt County,III,21.00,49882,0,0
2020 - 2021,061 Breathitt County,III,22.00,49882,0,0
2020 - 2021,061 Breathitt County,III,23.00,49882,0,0
2020 - 2021,061 Breathitt County,III,24.00,49882,0,0
2020 - 2021,061 Breathitt County,III,25.00,52028,0,0
2020 - 2021,061 Breathitt County,III,26.00,52028,0,0
2020 - 2021,061 Breathitt County,III,27.00,52028,0,0
2020 - 2021,061 Breathitt County,III,28.00,52028,0,0
2020 - 2021,061 Breathitt County,III,29.00,52028,0,0
2020 - 2021,061 Breathitt County,III,30.00,52028,0,0
2020 - 2021,061 Breathitt County,III,31.00,52028,0,0
2020 - 2021,061 Breathitt County,III,32.00,52028,0,0
2020 - 2021,061 Breathitt County,III,33.00,52028,0,0
2020 - 2021,061 Breathitt County,III,34.00,52028,0,0
2020 - 2021,061 Breathitt County,III,35.00,52028,0,0
2020 - 2021,061 Breathitt County,III,36.00,52028,0,0
2020 - 2021,061 Breathitt County,III,37.00,52028,0,0
2020 - 2021,061 Breathitt County,III,38.00,52028,0,0
2020 - 2021,061 Breathitt County,III,39.00,52028,0,0
2020 - 2021,061 Breathitt County,III,40.00,52028,0,0
2020 - 2021,061 Breathitt County,IV,0.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,1.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,2.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,3.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,4.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,5.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,6.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,7.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,8.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,9.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,10.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,11.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,12.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,13.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,14.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,15.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,16.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,17.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,18.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,19.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,20.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,21.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,22.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,23.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,24.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,25.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,26.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,27.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,28.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,29.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,30.00,32855,0,0
2020 - 2021,061 Breathitt County,IV,31.00,32855,0,0
