Fiscal Year,001 Adair County,Rank,Years,,I,II,III
2023 - 2024,075 Butler County,I,1,,"49,398.00",0.00,0.00
2023 - 2024,075 Butler County,I,2,,"49,797.00",0.00,0.00
2023 - 2024,075 Butler County,I,3,,"50,192.00",0.00,0.00
2023 - 2024,075 Butler County,I,4,,"52,854.00",0.00,0.00
2023 - 2024,075 Butler County,I,5,,"53,449.00",0.00,0.00
2023 - 2024,075 Butler County,I,6,,"53,834.00",0.00,0.00
2023 - 2024,075 Butler County,I,7,,"54,354.00",0.00,0.00
2023 - 2024,075 Butler County,I,8,,"54,651.00",0.00,0.00
2023 - 2024,075 Butler County,I,9,,"55,035.00",0.00,0.00
2023 - 2024,075 Butler County,I,10,,"59,414.00",0.00,0.00
2023 - 2024,075 Butler County,I,11,,"60,017.00",0.00,0.00
2023 - 2024,075 Butler County,I,12,,"60,420.00",0.00,0.00
2023 - 2024,075 Butler County,I,13,,"60,747.00",0.00,0.00
2023 - 2024,075 Butler County,I,14,,"61,015.00",0.00,0.00
2023 - 2024,075 Butler County,I,15,,"62,590.00",0.00,0.00
2023 - 2024,075 Butler County,I,16,,"62,743.00",0.00,0.00
2023 - 2024,075 Butler County,I,17,,"62,978.00",0.00,0.00
2023 - 2024,075 Butler County,I,18,,"63,140.00",0.00,0.00
2023 - 2024,075 Butler County,I,19,,"63,341.00",0.00,0.00
2023 - 2024,075 Butler County,I,20,,"64,486.00",0.00,0.00
2023 - 2024,075 Butler County,I,21,,"64,680.00",0.00,0.00
2023 - 2024,075 Butler County,I,22,,"64,886.00",0.00,0.00
2023 - 2024,075 Butler County,I,23,,"65,100.00",0.00,0.00
2023 - 2024,075 Butler County,I,24,,"65,319.00",0.00,0.00
2023 - 2024,075 Butler County,I,25,,"65,599.00",0.00,0.00
2023 - 2024,075 Butler County,I,26,,"65,908.00",0.00,0.00
2023 - 2024,075 Butler County,I,27,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,28,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,29,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,30,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,31,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,32,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,33,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,34,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,35,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,36,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,37,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,38,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,39,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,I,40,,"66,213.00",0.00,0.00
2023 - 2024,075 Butler County,II,0,,"44,228.00",0.00,0.00
2023 - 2024,075 Butler County,II,1,,"44,671.00",0.00,0.00
2023 - 2024,075 Butler County,II,2,,"45,085.00",0.00,0.00
2023 - 2024,075 Butler County,II,3,,"45,641.00",0.00,0.00
2023 - 2024,075 Butler County,II,4,,"49,068.00",0.00,0.00
2023 - 2024,075 Butler County,II,5,,"49,768.00",0.00,0.00
2023 - 2024,075 Butler County,II,6,,"49,967.00",0.00,0.00
2023 - 2024,075 Butler County,II,7,,"50,360.00",0.00,0.00
2023 - 2024,075 Butler County,II,8,,"50,856.00",0.00,0.00
2023 - 2024,075 Butler County,II,9,,"51,251.00",0.00,0.00
2023 - 2024,075 Butler County,II,10,,"54,843.00",0.00,0.00
2023 - 2024,075 Butler County,II,11,,"55,439.00",0.00,0.00
2023 - 2024,075 Butler County,II,12,,"55,897.00",0.00,0.00
2023 - 2024,075 Butler County,II,13,,"56,437.00",0.00,0.00
2023 - 2024,075 Butler County,II,14,,"56,752.00",0.00,0.00
2023 - 2024,075 Butler County,II,15,,"57,547.00",0.00,0.00
2023 - 2024,075 Butler County,II,16,,"57,746.00",0.00,0.00
2023 - 2024,075 Butler County,II,17,,"57,939.00",0.00,0.00
2023 - 2024,075 Butler County,II,18,,"58,143.00",0.00,0.00
2023 - 2024,075 Butler County,II,19,,"58,483.00",0.00,0.00
2023 - 2024,075 Butler County,II,20,,"59,439.00",0.00,0.00
2023 - 2024,075 Butler County,II,21,,"59,633.00",0.00,0.00
2023 - 2024,075 Butler County,II,22,,"59,837.00",0.00,0.00
2023 - 2024,075 Butler County,II,23,,"60,051.00",0.00,0.00
2023 - 2024,075 Butler County,II,24,,"60,269.00",0.00,0.00
2023 - 2024,075 Butler County,II,25,,"60,554.00",0.00,0.00
2023 - 2024,075 Butler County,II,26,,"60,885.00",0.00,0.00
2023 - 2024,075 Butler County,II,27,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,28,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,29,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,30,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,31,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,32,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,33,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,34,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,35,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,36,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,37,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,38,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,39,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,II,40,,"61,154.00",0.00,0.00
2023 - 2024,075 Butler County,III,0,,"39,985.00",0.00,0.00
2023 - 2024,075 Butler County,III,1,,"40,964.00",0.00,0.00
2023 - 2024,075 Butler County,III,2,,"41,567.00",0.00,0.00
2023 - 2024,075 Butler County,III,3,,"42,141.00",0.00,0.00
2023 - 2024,075 Butler County,III,4,,"44,830.00",0.00,0.00
2023 - 2024,075 Butler County,III,5,,"45,018.00",0.00,0.00
2023 - 2024,075 Butler County,III,6,,"45,413.00",0.00,0.00
2023 - 2024,075 Butler County,III,7,,"45,607.00",0.00,0.00
2023 - 2024,075 Butler County,III,8,,"45,807.00",0.00,0.00
2023 - 2024,075 Butler County,III,9,,"46,000.00",0.00,0.00
2023 - 2024,075 Butler County,III,10,,"50,000.00",0.00,0.00
2023 - 2024,075 Butler County,III,11,,"50,585.00",0.00,0.00
2023 - 2024,075 Butler County,III,12,,"51,196.00",0.00,0.00
2023 - 2024,075 Butler County,III,13,,"51,740.00",0.00,0.00
2023 - 2024,075 Butler County,III,14,,"51,990.00",0.00,0.00
2023 - 2024,075 Butler County,III,15,,"53,011.00",0.00,0.00
2023 - 2024,075 Butler County,III,16,,"53,214.00",0.00,0.00
2023 - 2024,075 Butler County,III,17,,"53,412.00",0.00,0.00
2023 - 2024,075 Butler County,III,18,,"53,604.00",0.00,0.00
2023 - 2024,075 Butler County,III,19,,"53,801.00",0.00,0.00
2023 - 2024,075 Butler County,III,20,,"54,338.00",0.00,0.00
2023 - 2024,075 Butler County,III,21,,"54,531.00",0.00,0.00
2023 - 2024,075 Butler County,III,22,,"54,736.00",0.00,0.00
2023 - 2024,075 Butler County,III,23,,"54,950.00",0.00,0.00
2023 - 2024,075 Butler County,III,24,,"55,170.00",0.00,0.00
2023 - 2024,075 Butler County,III,25,,"55,452.00",0.00,0.00
2023 - 2024,075 Butler County,III,26,,"55,747.00",0.00,0.00
2023 - 2024,075 Butler County,III,27,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,28,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,29,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,30,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,31,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,32,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,33,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,34,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,35,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,36,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,37,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,38,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,39,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,III,40,,"56,039.00",0.00,0.00
2023 - 2024,075 Butler County,IV,0,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,1,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,2,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,3,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,4,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,5,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,6,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,7,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,8,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,9,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,10,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,11,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,12,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,13,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,14,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,15,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,16,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,17,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,18,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,19,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,20,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,21,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,22,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,23,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,24,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,25,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,26,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,27,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,28,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,29,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,30,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,31,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,32,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,33,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,34,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,35,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,36,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,37,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,38,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,39,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,IV,40,,"34,622.00",0.00,0.00
2023 - 2024,075 Butler County,V,0,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,1,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,2,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,3,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,4,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,5,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,6,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,7,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,8,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,9,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,10,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,11,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,12,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,13,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,14,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,15,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,16,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,17,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,18,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,19,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,20,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,21,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,22,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,23,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,24,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,25,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,26,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,27,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,28,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,29,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,30,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,31,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,32,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,33,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,34,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,35,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,36,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,37,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,38,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,39,,"32,348.00",0.00,0.00
2023 - 2024,075 Butler County,V,40,,"32,348.00",0.00,0.00
Fiscal Year,081 Caldwell County,Rank,Years,,I,II,III
2023 - 2024,081 Caldwell County,I,0,,"46,185.41",0.00,0.00
2023 - 2024,081 Caldwell County,I,1,,"46,185.41",0.00,0.00
2023 - 2024,081 Caldwell County,I,2,,"46,185.41",0.00,0.00
2023 - 2024,081 Caldwell County,I,3,,"46,185.41",0.00,0.00
2023 - 2024,081 Caldwell County,I,4,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,5,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,6,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,7,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,8,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,9,,"51,358.67",0.00,0.00
2023 - 2024,081 Caldwell County,I,10,,"56,995.73",0.00,0.00
2023 - 2024,081 Caldwell County,I,11,,"56,995.73",0.00,0.00
2023 - 2024,081 Caldwell County,I,12,,"56,995.73",0.00,0.00
2023 - 2024,081 Caldwell County,I,13,,"56,995.73",0.00,0.00
2023 - 2024,081 Caldwell County,I,14,,"56,995.73",0.00,0.00
2023 - 2024,081 Caldwell County,I,15,,"58,667.02",0.00,0.00
2023 - 2024,081 Caldwell County,I,16,,"58,667.02",0.00,0.00
2023 - 2024,081 Caldwell County,I,17,,"58,667.02",0.00,0.00
2023 - 2024,081 Caldwell County,I,18,,"58,667.02",0.00,0.00
2023 - 2024,081 Caldwell County,I,19,,"58,667.02",0.00,0.00
2023 - 2024,081 Caldwell County,I,20,,"60,494.28",0.00,0.00
2023 - 2024,081 Caldwell County,I,21,,"60,494.28",0.00,0.00
2023 - 2024,081 Caldwell County,I,22,,"60,494.28",0.00,0.00
2023 - 2024,081 Caldwell County,I,23,,"60,494.28",0.00,0.00
2023 - 2024,081 Caldwell County,I,24,,"60,494.28",0.00,0.00
2023 - 2024,081 Caldwell County,I,25,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,26,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,27,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,28,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,29,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,30,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,31,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,32,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,33,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,34,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,35,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,36,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,37,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,38,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,39,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,I,40,,"61,517.91",0.00,0.00
2023 - 2024,081 Caldwell County,II,0,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,II,1,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,II,2,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,II,3,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,II,4,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,5,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,6,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,7,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,8,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,9,,"47,014.93",0.00,0.00
2023 - 2024,081 Caldwell County,II,10,,"52,623.38",0.00,0.00
2023 - 2024,081 Caldwell County,II,11,,"52,623.38",0.00,0.00
2023 - 2024,081 Caldwell County,II,12,,"52,623.38",0.00,0.00
2023 - 2024,081 Caldwell County,II,13,,"52,623.38",0.00,0.00
2023 - 2024,081 Caldwell County,II,14,,"52,623.38",0.00,0.00
2023 - 2024,081 Caldwell County,II,15,,"54,298.76",0.00,0.00
2023 - 2024,081 Caldwell County,II,16,,"54,298.76",0.00,0.00
2023 - 2024,081 Caldwell County,II,17,,"54,298.76",0.00,0.00
2023 - 2024,081 Caldwell County,II,18,,"54,298.76",0.00,0.00
2023 - 2024,081 Caldwell County,II,19,,"54,298.76",0.00,0.00
2023 - 2024,081 Caldwell County,II,20,,"56,126.04",0.00,0.00
2023 - 2024,081 Caldwell County,II,21,,"56,126.04",0.00,0.00
2023 - 2024,081 Caldwell County,II,22,,"56,126.04",0.00,0.00
2023 - 2024,081 Caldwell County,II,23,,"56,126.04",0.00,0.00
2023 - 2024,081 Caldwell County,II,24,,"56,126.04",0.00,0.00
2023 - 2024,081 Caldwell County,II,25,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,26,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,27,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,28,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,29,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,30,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,31,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,32,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,33,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,34,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,35,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,36,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,37,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,38,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,39,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,II,40,,"57,149.64",0.00,0.00
2023 - 2024,081 Caldwell County,III,0,,"38,300.91",0.00,0.00
2023 - 2024,081 Caldwell County,III,1,,"38,300.91",0.00,0.00
2023 - 2024,081 Caldwell County,III,2,,"38,300.91",0.00,0.00
2023 - 2024,081 Caldwell County,III,3,,"38,300.91",0.00,0.00
2023 - 2024,081 Caldwell County,III,4,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,5,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,6,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,7,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,8,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,9,,"42,669.14",0.00,0.00
2023 - 2024,081 Caldwell County,III,10,,"45,703.23",0.00,0.00
2023 - 2024,081 Caldwell County,III,11,,"45,703.23",0.00,0.00
2023 - 2024,081 Caldwell County,III,12,,"45,703.23",0.00,0.00
2023 - 2024,081 Caldwell County,III,13,,"45,703.23",0.00,0.00
2023 - 2024,081 Caldwell County,III,14,,"45,703.23",0.00,0.00
2023 - 2024,081 Caldwell County,III,15,,"49,029.47",0.00,0.00
2023 - 2024,081 Caldwell County,III,16,,"49,029.47",0.00,0.00
2023 - 2024,081 Caldwell County,III,17,,"49,029.47",0.00,0.00
2023 - 2024,081 Caldwell County,III,18,,"49,029.47",0.00,0.00
2023 - 2024,081 Caldwell County,III,19,,"49,029.47",0.00,0.00
2023 - 2024,081 Caldwell County,III,20,,"50,729.39",0.00,0.00
2023 - 2024,081 Caldwell County,III,21,,"50,729.39",0.00,0.00
2023 - 2024,081 Caldwell County,III,22,,"50,729.39",0.00,0.00
2023 - 2024,081 Caldwell County,III,23,,"50,729.39",0.00,0.00
2023 - 2024,081 Caldwell County,III,24,,"50,729.39",0.00,0.00
2023 - 2024,081 Caldwell County,III,25,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,26,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,27,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,28,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,29,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,30,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,31,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,32,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,33,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,34,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,35,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,36,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,37,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,38,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,39,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,III,40,,"51,752.99",0.00,0.00
2023 - 2024,081 Caldwell County,IV,0,,"30,328.52",0.00,0.00
2023 - 2024,081 Caldwell County,IV,1,,"30,328.52",0.00,0.00
2023 - 2024,081 Caldwell County,IV,2,,"30,328.52",0.00,0.00
2023 - 2024,081 Caldwell County,IV,3,,"30,328.52",0.00,0.00
2023 - 2024,081 Caldwell County,IV,4,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,5,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,6,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,7,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,8,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,9,,"33,309.49",0.00,0.00
2023 - 2024,081 Caldwell County,IV,10,,"36,351.73",0.00,0.00
2023 - 2024,081 Caldwell County,IV,11,,"36,351.73",0.00,0.00
2023 - 2024,081 Caldwell County,IV,12,,"36,351.73",0.00,0.00
2023 - 2024,081 Caldwell County,IV,13,,"36,351.73",0.00,0.00
2023 - 2024,081 Caldwell County,IV,14,,"36,351.73",0.00,0.00
2023 - 2024,081 Caldwell County,IV,15,,"37,240.51",0.00,0.00
2023 - 2024,081 Caldwell County,IV,16,,"37,240.51",0.00,0.00
2023 - 2024,081 Caldwell County,IV,17,,"37,240.51",0.00,0.00
2023 - 2024,081 Caldwell County,IV,18,,"37,240.51",0.00,0.00
2023 - 2024,081 Caldwell County,IV,19,,"37,240.51",0.00,0.00
2023 - 2024,081 Caldwell County,IV,20,,"38,507.26",0.00,0.00
2023 - 2024,081 Caldwell County,IV,21,,"38,507.26",0.00,0.00
2023 - 2024,081 Caldwell County,IV,22,,"38,507.26",0.00,0.00
2023 - 2024,081 Caldwell County,IV,23,,"38,507.26",0.00,0.00
2023 - 2024,081 Caldwell County,IV,24,,"38,507.26",0.00,0.00
2023 - 2024,081 Caldwell County,IV,25,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,26,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,27,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,28,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,29,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,30,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,31,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,32,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,33,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,34,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,35,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,36,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,37,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,38,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,39,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,IV,40,,"39,839.40",0.00,0.00
2023 - 2024,081 Caldwell County,V,0,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,1,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,2,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,3,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,4,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,5,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,6,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,7,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,8,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,9,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,10,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,11,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,12,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,13,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,14,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,15,,"27,670.39",0.00,0.00
2023 - 2024,081 Caldwell County,V,16,,"27,670.39",0.00,0.00
