Fiscal Year,District,Rank,Years,,I,II,III
2010 - 2011,001 Adair County,II,23,,47898,0,0
2010 - 2011,001 Adair County,II,24,,47898,0,0
2010 - 2011,001 Adair County,II,25,,47898,0,0
2010 - 2011,001 Adair County,II,26,,47898,0,0
2010 - 2011,001 Adair County,II,27,,47898,0,0
2010 - 2011,001 Adair County,II,28,,47898,0,0
2010 - 2011,001 Adair County,II,29,,47898,0,0
2010 - 2011,001 Adair County,II,30,,47898,0,0
2010 - 2011,001 Adair County,II,31,,47898,0,0
2010 - 2011,001 Adair County,II,32,,47898,0,0
2010 - 2011,001 Adair County,II,33,,47898,0,0
2010 - 2011,001 Adair County,II,34,,47898,0,0
2010 - 2011,001 Adair County,II,35,,47898,0,0
2010 - 2011,001 Adair County,II,36,,47898,0,0
2010 - 2011,001 Adair County,II,37,,47898,0,0
2010 - 2011,001 Adair County,II,38,,47898,0,0
2010 - 2011,001 Adair County,II,39,,47898,0,0
2010 - 2011,001 Adair County,II,40,,47898,0,0
2010 - 2011,001 Adair County,III,0,,33301,0,0
2010 - 2011,001 Adair County,III,1,,33301,0,0
2010 - 2011,001 Adair County,III,2,,33301,0,0
2010 - 2011,001 Adair County,III,3,,33301,0,0
2010 - 2011,001 Adair County,III,4,,37103,0,0
2010 - 2011,001 Adair County,III,5,,37103,0,0
2010 - 2011,001 Adair County,III,6,,37103,0,0
2010 - 2011,001 Adair County,III,7,,37103,0,0
2010 - 2011,001 Adair County,III,8,,37103,0,0
2010 - 2011,001 Adair County,III,9,,37103,0,0
2010 - 2011,001 Adair County,III,10,,41931,0,0
2010 - 2011,001 Adair County,III,11,,41931,0,0
2010 - 2011,001 Adair County,III,12,,41931,0,0
2010 - 2011,001 Adair County,III,13,,41931,0,0
2010 - 2011,001 Adair County,III,14,,41931,0,0
2010 - 2011,001 Adair County,III,15,,43385,0,0
2010 - 2011,001 Adair County,III,16,,43385,0,0
2010 - 2011,001 Adair County,III,17,,43385,0,0
2010 - 2011,001 Adair County,III,18,,43385,0,0
2010 - 2011,001 Adair County,III,19,,43385,0,0
2010 - 2011,001 Adair County,III,20,,47898,0,0
2010 - 2011,001 Adair County,III,21,,47898,0,0
2010 - 2011,001 Adair County,III,22,,47898,0,0
2010 - 2011,001 Adair County,III,23,,47898,0,0
2010 - 2011,001 Adair County,III,24,,47898,0,0
2010 - 2011,001 Adair County,III,25,,47898,0,0
2010 - 2011,001 Adair County,III,26,,47898,0,0
2010 - 2011,001 Adair County,III,27,,47898,0,0
2010 - 2011,001 Adair County,III,28,,47898,0,0
2010 - 2011,001 Adair County,III,29,,47898,0,0
2010 - 2011,001 Adair County,III,30,,47898,0,0
2010 - 2011,001 Adair County,III,31,,47898,0,0
2010 - 2011,001 Adair County,III,32,,47898,0,0
2010 - 2011,001 Adair County,III,33,,47898,0,0
2010 - 2011,001 Adair County,III,34,,47898,0,0
2010 - 2011,001 Adair County,III,35,,47898,0,0
2010 - 2011,001 Adair County,III,36,,47898,0,0
2010 - 2011,001 Adair County,III,37,,47898,0,0
2010 - 2011,001 Adair County,III,38,,47898,0,0
2010 - 2011,001 Adair County,III,39,,47898,0,0
2010 - 2011,001 Adair County,III,40,,47898,0,0
2010 - 2011,001 Adair County,IV,0,,29505,0,0
2010 - 2011,001 Adair County,IV,1,,29505,0,0
2010 - 2011,001 Adair County,IV,2,,29505,0,0
2010 - 2011,001 Adair County,IV,3,,29505,0,0
2010 - 2011,001 Adair County,IV,4,,29505,0,0
2010 - 2011,001 Adair County,IV,5,,29505,0,0
2010 - 2011,001 Adair County,IV,6,,29505,0,0
2010 - 2011,001 Adair County,IV,7,,29505,0,0
2010 - 2011,001 Adair County,IV,8,,29505,0,0
2010 - 2011,001 Adair County,IV,9,,29505,0,0
2010 - 2011,001 Adair County,IV,10,,29505,0,0
2010 - 2011,001 Adair County,IV,11,,29505,0,0
2010 - 2011,001 Adair County,IV,12,,29505,0,0
2010 - 2011,001 Adair County,IV,13,,29505,0,0
2010 - 2011,001 Adair County,IV,14,,29505,0,0
2010 - 2011,001 Adair County,IV,15,,29505,0,0
2010 - 2011,001 Adair County,IV,16,,29505,0,0
2010 - 2011,001 Adair County,IV,17,,29505,0,0
2010 - 2011,001 Adair County,IV,18,,29505,0,0
2010 - 2011,001 Adair County,IV,19,,29505,0,0
2010 - 2011,001 Adair County,IV,20,,29505,0,0
2010 - 2011,001 Adair County,IV,21,,29505,0,0
2010 - 2011,001 Adair County,IV,22,,29505,0,0
2010 - 2011,001 Adair County,IV,23,,29505,0,0
2010 - 2011,001 Adair County,IV,24,,29505,0,0
2010 - 2011,001 Adair County,IV,25,,29505,0,0
2010 - 2011,001 Adair County,IV,26,,29505,0,0
2010 - 2011,001 Adair County,IV,27,,29505,0,0
2010 - 2011,001 Adair County,IV,28,,29505,0,0
2010 - 2011,001 Adair County,IV,29,,29505,0,0
2010 - 2011,001 Adair County,IV,30,,29505,0,0
2010 - 2011,001 Adair County,IV,31,,29505,0,0
2010 - 2011,001 Adair County,IV,32,,29505,0,0
2010 - 2011,001 Adair County,IV,33,,29505,0,0
2010 - 2011,001 Adair County,IV,34,,29505,0,0
2010 - 2011,001 Adair County,IV,35,,29505,0,0
2010 - 2011,001 Adair County,IV,36,,29505,0,0
2010 - 2011,001 Adair County,IV,37,,29505,0,0
2010 - 2011,001 Adair County,IV,38,,29505,0,0
2010 - 2011,001 Adair County,IV,39,,29505,0,0
2010 - 2011,001 Adair County,IV,40,,29505,0,0
2010 - 2011,001 Adair County,V,0,,27432,0,0
2010 - 2011,001 Adair County,V,1,,27432,0,0
2010 - 2011,001 Adair County,V,2,,27432,0,0
2010 - 2011,001 Adair County,V,3,,27432,0,0
2010 - 2011,001 Adair County,V,4,,27432,0,0
2010 - 2011,001 Adair County,V,5,,27432,0,0
2010 - 2011,001 Adair County,V,6,,27432,0,0
2010 - 2011,001 Adair County,V,7,,27432,0,0
2010 - 2011,001 Adair County,V,8,,27432,0,0
2010 - 2011,001 Adair County,V,9,,27432,0,0
2010 - 2011,001 Adair County,V,10,,27432,0,0
2010 - 2011,001 Adair County,V,11,,27432,0,0
2010 - 2011,001 Adair County,V,12,,27432,0,0
2010 - 2011,001 Adair County,V,13,,27432,0,0
2010 - 2011,001 Adair County,V,14,,27432,0,0
2010 - 2011,001 Adair County,V,15,,27432,0,0
2010 - 2011,001 Adair County,V,16,,27432,0,0
2010 - 2011,001 Adair County,V,17,,27432,0,0
2010 - 2011,001 Adair County,V,18,,27432,0,0
2010 - 2011,001 Adair County,V,19,,27432,0,0
2010 - 2011,001 Adair County,V,20,,27432,0,0
2010 - 2011,001 Adair County,V,21,,27432,0,0
2010 - 2011,001 Adair County,V,22,,27432,0,0
2010 - 2011,001 Adair County,V,23,,27432,0,0
2010 - 2011,001 Adair County,V,24,,27432,0,0
2010 - 2011,001 Adair County,V,25,,27432,0,0
2010 - 2011,001 Adair County,V,26,,27432,0,0
2010 - 2011,001 Adair County,V,27,,27432,0,0
2010 - 2011,001 Adair County,V,28,,27432,0,0
2010 - 2011,001 Adair County,V,29,,27432,0,0
2010 - 2011,001 Adair County,V,30,,27432,0,0
2010 - 2011,001 Adair County,V,31,,27432,0,0
2010 - 2011,001 Adair County,V,32,,27432,0,0
2010 - 2011,001 Adair County,V,33,,27432,0,0
2010 - 2011,001 Adair County,V,34,,27432,0,0
2010 - 2011,001 Adair County,V,35,,27432,0,0
2010 - 2011,001 Adair County,V,36,,27432,0,0
2010 - 2011,001 Adair County,V,37,,27432,0,0
2010 - 2011,001 Adair County,V,38,,27432,0,0
2010 - 2011,001 Adair County,V,39,,27432,0,0
2010 - 2011,001 Adair County,V,40,,27432,0,0
2010 - 2011,005 Allen County,I,0,,43007,45101,0
2010 - 2011,005 Allen County,I,1,,43090,45186,0
2010 - 2011,005 Allen County,I,2,,43180,45278,0
2010 - 2011,005 Allen County,I,3,,43261,45360,0
2010 - 2011,005 Allen County,I,4,,47309,49408,0
2010 - 2011,005 Allen County,I,5,,47392,49493,0
2010 - 2011,005 Allen County,I,6,,47478,49581,0
2010 - 2011,005 Allen County,I,7,,47561,49664,0
2010 - 2011,005 Allen County,I,8,,47646,49751,0
2010 - 2011,005 Allen County,I,9,,47730,49837,0
2010 - 2011,005 Allen County,I,10,,53060,55163,0
2010 - 2011,005 Allen County,I,11,,53144,55250,0
2010 - 2011,005 Allen County,I,12,,53228,55333,0
2010 - 2011,005 Allen County,I,13,,53310,55418,0
2010 - 2011,005 Allen County,I,14,,53392,55503,0
2010 - 2011,005 Allen County,I,15,,54572,56681,0
2010 - 2011,005 Allen County,I,16,,54655,56766,0
2010 - 2011,005 Allen County,I,17,,54743,56852,0
2010 - 2011,005 Allen County,I,18,,54826,56941,0
2010 - 2011,005 Allen County,I,19,,54913,57028,0
2010 - 2011,005 Allen County,I,20,,55761,57878,0
2010 - 2011,005 Allen County,I,21,,55848,57965,0
2010 - 2011,005 Allen County,I,22,,55935,58053,0
2010 - 2011,005 Allen County,I,23,,56021,58141,0
2010 - 2011,005 Allen County,I,24,,56106,58229,0
2010 - 2011,005 Allen County,I,25,,56766,58889,0
2010 - 2011,005 Allen County,I,26,,56882,59004,0
2010 - 2011,005 Allen County,I,27,,56996,59117,0
2010 - 2011,005 Allen County,I,28,,57109,59235,0
2010 - 2011,005 Allen County,I,29,,57225,59349,0
2010 - 2011,005 Allen County,I,30,,58942,61067,0
2010 - 2011,005 Allen County,I,31,,58942,61067,0
2010 - 2011,005 Allen County,I,32,,58942,61067,0
2010 - 2011,005 Allen County,I,33,,58942,61067,0
2010 - 2011,005 Allen County,I,34,,58942,61067,0
2010 - 2011,005 Allen County,I,35,,58942,61067,0
2010 - 2011,005 Allen County,I,36,,58942,61067,0
2010 - 2011,005 Allen County,I,37,,58942,61067,0
2010 - 2011,005 Allen County,I,38,,58942,61067,0
2010 - 2011,005 Allen County,I,39,,58942,61067,0
2010 - 2011,005 Allen County,I,40,,58942,61067,0
2010 - 2011,005 Allen County,II,0,,39286,0,0
2010 - 2011,005 Allen County,II,1,,39370,0,0
2010 - 2011,005 Allen County,II,2,,39451,0,0
2010 - 2011,005 Allen County,II,3,,39534,0,0
2010 - 2011,005 Allen County,II,4,,42946,0,0
2010 - 2011,005 Allen County,II,5,,43031,0,0
2010 - 2011,005 Allen County,II,6,,43113,0,0
2010 - 2011,005 Allen County,II,7,,43198,0,0
2010 - 2011,005 Allen County,II,8,,43284,0,0
2010 - 2011,005 Allen County,II,9,,43367,0,0
2010 - 2011,005 Allen County,II,10,,49098,0,0
2010 - 2011,005 Allen County,II,11,,49183,0,0
2010 - 2011,005 Allen County,II,12,,49266,0,0
2010 - 2011,005 Allen County,II,13,,49350,0,0
2010 - 2011,005 Allen County,II,14,,49435,0,0
2010 - 2011,005 Allen County,II,15,,50630,0,0
2010 - 2011,005 Allen County,II,16,,50715,0,0
2010 - 2011,005 Allen County,II,17,,50799,0,0
2010 - 2011,005 Allen County,II,18,,50881,0,0
2010 - 2011,005 Allen County,II,19,,50967,0,0
2010 - 2011,005 Allen County,II,20,,52582,0,0
2010 - 2011,005 Allen County,II,21,,52670,0,0
2010 - 2011,005 Allen County,II,22,,52755,0,0
2010 - 2011,005 Allen County,II,23,,52841,0,0
2010 - 2011,005 Allen County,II,24,,52928,0,0
2010 - 2011,005 Allen County,II,25,,53586,0,0
2010 - 2011,005 Allen County,II,26,,53701,0,0
2010 - 2011,005 Allen County,II,27,,53815,0,0
2010 - 2011,005 Allen County,II,28,,53930,0,0
2010 - 2011,005 Allen County,II,29,,54045,0,0
2010 - 2011,005 Allen County,II,30,,55763,0,0
2010 - 2011,005 Allen County,II,31,,55763,0,0
2010 - 2011,005 Allen County,II,32,,55763,0,0
2010 - 2011,005 Allen County,II,33,,55763,0,0
2010 - 2011,005 Allen County,II,34,,55763,0,0
2010 - 2011,005 Allen County,II,35,,55763,0,0
2010 - 2011,005 Allen County,II,36,,55763,0,0
2010 - 2011,005 Allen County,II,37,,55763,0,0
2010 - 2011,005 Allen County,II,38,,55763,0,0
2010 - 2011,005 Allen County,II,39,,55763,0,0
2010 - 2011,005 Allen County,II,40,,55763,0,0
2010 - 2011,005 Allen County,III,0,,35194,0,0
2010 - 2011,005 Allen County,III,1,,35274,0,0
2010 - 2011,005 Allen County,III,2,,35355,0,0
2010 - 2011,005 Allen County,III,3,,35435,0,0
2010 - 2011,005 Allen County,III,4,,39053,0,0
2010 - 2011,005 Allen County,III,5,,39136,0,0
2010 - 2011,005 Allen County,III,6,,39215,0,0
2010 - 2011,005 Allen County,III,7,,39297,0,0
2010 - 2011,005 Allen County,III,8,,39379,0,0
2010 - 2011,005 Allen County,III,9,,39462,0,0
2010 - 2011,005 Allen County,III,10,,44980,0,0
2010 - 2011,005 Allen County,III,11,,45065,0,0
2010 - 2011,005 Allen County,III,12,,45146,0,0
2010 - 2011,005 Allen County,III,13,,45232,0,0
2010 - 2011,005 Allen County,III,14,,45319,0,0
2010 - 2011,005 Allen County,III,15,,46511,0,0
2010 - 2011,005 Allen County,III,16,,46596,0,0
2010 - 2011,005 Allen County,III,17,,46683,0,0
2010 - 2011,005 Allen County,III,18,,46767,0,0
2010 - 2011,005 Allen County,III,19,,46850,0,0
2010 - 2011,005 Allen County,III,20,,49231,0,0
2010 - 2011,005 Allen County,III,21,,49315,0,0
2010 - 2011,005 Allen County,III,22,,49401,0,0
2010 - 2011,005 Allen County,III,23,,49484,0,0
2010 - 2011,005 Allen County,III,24,,49567,0,0
2010 - 2011,005 Allen County,III,25,,50225,0,0
2010 - 2011,005 Allen County,III,26,,50341,0,0
2010 - 2011,005 Allen County,III,27,,50454,0,0
2010 - 2011,005 Allen County,III,28,,50568,0,0
2010 - 2011,005 Allen County,III,29,,50683,0,0
2010 - 2011,005 Allen County,III,30,,52401,0,0
2010 - 2011,005 Allen County,III,31,,52401,0,0
2010 - 2011,005 Allen County,III,32,,52401,0,0
2010 - 2011,005 Allen County,III,33,,52401,0,0
2010 - 2011,005 Allen County,III,34,,52401,0,0
2010 - 2011,005 Allen County,III,35,,52401,0,0
2010 - 2011,005 Allen County,III,36,,52401,0,0
2010 - 2011,005 Allen County,III,37,,52401,0,0
2010 - 2011,005 Allen County,III,38,,52401,0,0
2010 - 2011,005 Allen County,III,39,,52401,0,0
2010 - 2011,005 Allen County,III,40,,52401,0,0
2010 - 2011,005 Allen County,IV,0,,30352,0,0
2010 - 2011,005 Allen County,IV,1,,30352,0,0
2010 - 2011,005 Allen County,IV,2,,30352,0,0
2010 - 2011,005 Allen County,IV,3,,30352,0,0
2010 - 2011,005 Allen County,IV,4,,30352,0,0
2010 - 2011,005 Allen County,IV,5,,30352,0,0
2010 - 2011,005 Allen County,IV,6,,30352,0,0
2010 - 2011,005 Allen County,IV,7,,30352,0,0
2010 - 2011,005 Allen County,IV,8,,30352,0,0
2010 - 2011,005 Allen County,IV,9,,30352,0,0
2010 - 2011,005 Allen County,IV,10,,30352,0,0
2010 - 2011,005 Allen County,IV,11,,30352,0,0
2010 - 2011,005 Allen County,IV,12,,30352,0,0
2010 - 2011,005 Allen County,IV,13,,30352,0,0
2010 - 2011,005 Allen County,IV,14,,30352,0,0
2010 - 2011,005 Allen County,IV,15,,30352,0,0
2010 - 2011,005 Allen County,IV,16,,30352,0,0
2010 - 2011,005 Allen County,IV,17,,30352,0,0
2010 - 2011,005 Allen County,IV,18,,30352,0,0
2010 - 2011,005 Allen County,IV,19,,30352,0,0
2010 - 2011,005 Allen County,IV,20,,30352,0,0
2010 - 2011,005 Allen County,IV,21,,30352,0,0
2010 - 2011,005 Allen County,IV,22,,30352,0,0
2010 - 2011,005 Allen County,IV,23,,30352,0,0
2010 - 2011,005 Allen County,IV,24,,30352,0,0
2010 - 2011,005 Allen County,IV,25,,30352,0,0
2010 - 2011,005 Allen County,IV,26,,30352,0,0
2010 - 2011,005 Allen County,IV,27,,30352,0,0
2010 - 2011,005 Allen County,IV,28,,30352,0,0
2010 - 2011,005 Allen County,IV,29,,30352,0,0
2010 - 2011,005 Allen County,IV,30,,30352,0,0
2010 - 2011,005 Allen County,IV,31,,30352,0,0
2010 - 2011,005 Allen County,IV,32,,30352,0,0
2010 - 2011,005 Allen County,IV,33,,30352,0,0
2010 - 2011,005 Allen County,IV,34,,30352,0,0
2010 - 2011,005 Allen County,IV,35,,30352,0,0
2010 - 2011,005 Allen County,IV,36,,30352,0,0
2010 - 2011,005 Allen County,IV,37,,30352,0,0
2010 - 2011,005 Allen County,IV,38,,30352,0,0
2010 - 2011,005 Allen County,IV,39,,30352,0,0
2010 - 2011,005 Allen County,IV,40,,30352,0,0
2010 - 2011,005 Allen County,V,0,,29028,0,0
2010 - 2011,005 Allen County,V,1,,29028,0,0
2010 - 2011,005 Allen County,V,2,,29028,0,0
2010 - 2011,005 Allen County,V,3,,29028,0,0
2010 - 2011,005 Allen County,V,4,,29028,0,0
2010 - 2011,005 Allen County,V,5,,29028,0,0
2010 - 2011,005 Allen County,V,6,,29028,0,0
2010 - 2011,005 Allen County,V,7,,29028,0,0
2010 - 2011,005 Allen County,V,8,,29028,0,0
2010 - 2011,005 Allen County,V,9,,29028,0,0
2010 - 2011,005 Allen County,V,10,,29028,0,0
2010 - 2011,005 Allen County,V,11,,29028,0,0
2010 - 2011,005 Allen County,V,12,,29028,0,0
2010 - 2011,005 Allen County,V,13,,29028,0,0
2010 - 2011,005 Allen County,V,14,,29028,0,0
2010 - 2011,005 Allen County,V,15,,29028,0,0
2010 - 2011,005 Allen County,V,16,,29028,0,0
2010 - 2011,005 Allen County,V,17,,29028,0,0
2010 - 2011,005 Allen County,V,18,,29028,0,0
2010 - 2011,005 Allen County,V,19,,29028,0,0
2010 - 2011,005 Allen County,V,20,,29028,0,0
2010 - 2011,005 Allen County,V,21,,29028,0,0
2010 - 2011,005 Allen County,V,22,,29028,0,0
2010 - 2011,005 Allen County,V,23,,29028,0,0
2010 - 2011,005 Allen County,V,24,,29028,0,0
2010 - 2011,005 Allen County,V,25,,29028,0,0
2010 - 2011,005 Allen County,V,26,,29028,0,0
2010 - 2011,005 Allen County,V,27,,29028,0,0
2010 - 2011,005 Allen County,V,28,,29028,0,0
2010 - 2011,005 Allen County,V,29,,29028,0,0
2010 - 2011,005 Allen County,V,30,,29028,0,0
2010 - 2011,005 Allen County,V,31,,29028,0,0
2010 - 2011,005 Allen County,V,32,,29028,0,0
2010 - 2011,005 Allen County,V,33,,29028,0,0
2010 - 2011,005 Allen County,V,34,,29028,0,0
2010 - 2011,005 Allen County,V,35,,29028,0,0
2010 - 2011,005 Allen County,V,36,,29028,0,0
2010 - 2011,005 Allen County,V,37,,29028,0,0
2010 - 2011,005 Allen County,V,38,,29028,0,0
2010 - 2011,005 Allen County,V,39,,29028,0,0
2010 - 2011,005 Allen County,V,40,,29028,0,0
2010 - 2011,006 Anchorage Independent,I,0,,44544,46550,0
2010 - 2011,006 Anchorage Independent,I,1,,45469,47476,0
2010 - 2011,006 Anchorage Independent,I,2,,46397,49329,0
2010 - 2011,006 Anchorage Independent,I,3,,47322,50266,0
2010 - 2011,006 Anchorage Independent,I,4,,48249,51218,0
2010 - 2011,006 Anchorage Independent,I,5,,49175,52169,0
2010 - 2011,006 Anchorage Independent,I,6,,50107,53121,0
2010 - 2011,006 Anchorage Independent,I,7,,51060,54072,0
2010 - 2011,006 Anchorage Independent,I,8,,51853,55024,0
2010 - 2011,006 Anchorage Independent,I,9,,52805,55976,0
2010 - 2011,006 Anchorage Independent,I,10,,53755,56927,0
2010 - 2011,006 Anchorage Independent,I,11,,56451,57881,0
2010 - 2011,006 Anchorage Independent,I,12,,57720,58832,0
2010 - 2011,006 Anchorage Independent,I,13,,58989,59783,0
2010 - 2011,006 Anchorage Independent,I,14,,60259,60734,0
2010 - 2011,006 Anchorage Independent,I,15,,61528,61687,0
2010 - 2011,006 Anchorage Independent,I,16,,62796,62955,0
2010 - 2011,006 Anchorage Independent,I,17,,64065,64382,0
2010 - 2011,006 Anchorage Independent,I,18,,65334,65811,0
2010 - 2011,006 Anchorage Independent,I,19,,65969,66445,0
2010 - 2011,006 Anchorage Independent,I,20,,67238,67715,0
2010 - 2011,006 Anchorage Independent,I,21,,67396,68348,0
2010 - 2011,006 Anchorage Independent,I,22,,67554,68981,0
2010 - 2011,006 Anchorage Independent,I,23,,67634,69616,0
2010 - 2011,006 Anchorage Independent,I,24,,67715,70252,0
2010 - 2011,006 Anchorage Independent,I,25,,68363,71203,0
2010 - 2011,006 Anchorage Independent,I,26,,68508,72154,0
2010 - 2011,006 Anchorage Independent,I,27,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,28,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,29,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,30,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,31,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,32,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,33,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,34,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,35,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,36,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,37,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,38,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,39,,69774,72947,0
2010 - 2011,006 Anchorage Independent,I,40,,69774,72947,0
2010 - 2011,006 Anchorage Independent,II,0,,39661,41146,0
2010 - 2011,006 Anchorage Independent,II,1,,40433,41762,0
2010 - 2011,006 Anchorage Independent,II,2,,41206,42381,0
2010 - 2011,006 Anchorage Independent,II,3,,41978,42997,0
2010 - 2011,006 Anchorage Independent,II,4,,43060,43615,0
2010 - 2011,006 Anchorage Independent,II,5,,43986,44851,0
2010 - 2011,006 Anchorage Independent,II,6,,44760,46086,0
2010 - 2011,006 Anchorage Independent,II,7,,45685,47322,0
2010 - 2011,006 Anchorage Independent,II,8,,46767,48557,0
2010 - 2011,006 Anchorage Independent,II,9,,48003,49792,0
2010 - 2011,006 Anchorage Independent,II,10,,49238,51060,0
2010 - 2011,006 Anchorage Independent,II,11,,51756,53280,0
2010 - 2011,006 Anchorage Independent,II,12,,53342,54548,0
2010 - 2011,006 Anchorage Independent,II,13,,54612,55817,0
2010 - 2011,006 Anchorage Independent,II,14,,55882,57088,0
2010 - 2011,006 Anchorage Independent,II,15,,57148,58356,0
2010 - 2011,006 Anchorage Independent,II,16,,59054,61211,0
2010 - 2011,006 Anchorage Independent,II,17,,61274,62796,0
2010 - 2011,006 Anchorage Independent,II,18,,61591,62955,0
2010 - 2011,006 Anchorage Independent,II,19,,61908,63113,0
2010 - 2011,006 Anchorage Independent,II,20,,62544,63748,0
2010 - 2011,006 Anchorage Independent,II,21,,62860,64065,0
2010 - 2011,006 Anchorage Independent,II,22,,63018,64382,0
2010 - 2011,006 Anchorage Independent,II,23,,63176,64699,0
2010 - 2011,006 Anchorage Independent,II,24,,63336,64860,0
2010 - 2011,006 Anchorage Independent,II,25,,63653,65017,0
2010 - 2011,006 Anchorage Independent,II,26,,63812,65334,0
2010 - 2011,006 Anchorage Independent,II,27,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,28,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,29,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,30,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,31,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,32,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,33,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,34,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,35,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,36,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,37,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,38,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,39,,65017,66603,0
2010 - 2011,006 Anchorage Independent,II,40,,65017,66603,0
2010 - 2011,006 Anchorage Independent,III,0,,35277,36511,0
2010 - 2011,006 Anchorage Independent,III,1,,35895,37283,0
2010 - 2011,006 Anchorage Independent,III,2,,36511,38054,0
2010 - 2011,006 Anchorage Independent,III,3,,37130,38828,0
