Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
055,BRACKEN CO,26408.00,9.23,+,28845.00,3.08,+,29733.00,0.03,-,29723.00,0.40,+,29843.00,1.39,+,30258.00,2.99,+,31162.00,2.81,+,32038.00,7.05,+,34296.00,3.33,+,35437.00,1.69,+,36036.00,3.05,+,37136.46,0.95,+,37490.65,0.39,-,37344.40,4.21,+,38917.81,2.42,+,39859.00,4.95,+,41830.56,0.41,+,42000.52,8.50,+,45569.57,1.63,+,46312.34,2.23,+,47345.10,2.78,-,46029.82,1.80,+,46856.58,0.83,-,46465.85,2.53,+,47642.90,0.33,-,47484.54,2.96,+,48891.59,2.05,-,47890.88,0.40,-,47699.86,3.68,+,49454.77,0.75,-,49086.07,2.57,+,50349.11,2.57,-,49055.65,2.46,+,50261.59,1.34,+,50936.98,,,,,,,
061,BREATHITT CO,24965.00,14.88,+,28680.00,8.30,+,31059.00,1.17,+,31421.00,4.26,+,32760.00,2.21,+,33484.00,2.07,+,34177.00,3.27,+,35295.00,3.55,-,34085.00,3.80,+,35380.00,0.36,+,35506.00,3.20,+,36643.07,4.11,+,38147.56,3.47,+,39471.82,3.16,+,40720.16,2.92,+,41911.09,2.63,+,43013.45,2.14,+,43932.78,9.68,+,48185.48,0.58,+,48463.87,1.66,+,49268.26,1.77,+,50142.30,2.76,+,51526.25,0.16,+,51607.46,1.72,+,52492.54,0.79,+,52909.15,0.81,+,53339.06,0.05,-,53314.80,0.51,-,53044.30,0.33,-,52867.03,1.06,+,53429.59,0.90,-,52951.15,2.96,-,51384.03,0.44,+,51611.00,3.65,+,53495.44,,,,,,,
065,BRECKINRIDGE CO,25732.00,8.88,+,28017.00,7.82,+,30207.00,0.79,+,30447.00,4.53,+,31827.00,1.38,+,32265.00,2.87,+,33191.00,2.64,+,34067.00,0.30,+,34170.00,4.31,+,35642.00,2.89,+,36673.00,3.60,+,37994.31,2.10,+,38793.08,1.58,+,39407.93,3.77,+,40893.93,2.78,+,42029.67,2.15,+,42932.45,1.30,+,43492.28,7.13,+,46593.26,0.87,+,46999.32,0.32,-,46850.49,2.49,-,45682.75,1.54,+,46386.47,0.65,+,46685.72,1.30,+,47294.49,2.16,+,48313.81,2.98,+,49752.48,1.70,+,50599.64,1.79,+,51502.96,1.00,-,50987.36,1.70,+,51852.70,1.56,+,52663.71,0.59,-,52351.63,6.11,+,55548.38,1.04,-,54972.20,,,,,,,
071,BULLITT CO,25783.00,11.12,+,28649.00,4.56,+,29955.00,0.17,+,30007.00,4.99,+,31504.00,9.60,+,34529.00,0.08,+,34556.00,3.25,+,35679.00,0.69,-,35434.00,8.66,+,38504.00,2.81,+,39586.00,1.50,+,40178.05,1.67,+,40849.01,1.80,+,41583.41,3.77,+,43149.40,3.38,+,44607.95,1.24,+,45161.24,1.34,+,45767.69,8.50,+,49655.81,0.60,+,49955.05,1.08,+,50494.42,1.29,-,49842.52,0.22,+,49953.90,0.12,-,49895.77,1.04,+,50414.44,2.56,+,51706.80,1.43,+,52446.03,1.27,+,53114.55,2.47,+,54428.11,0.54,+,54721.30,0.57,+,55031.03,3.23,+,56807.76,2.35,+,58140.08,3.04,+,59909.42,1.84,+,61010.02,,,,,,,
072,BURGIN,24439.00,9.36,+,26727.00,7.53,+,28739.00,1.92,+,29292.00,1.61,-,28827.00,1.02,-,28536.00,0.75,-,28323.00,3.57,+,29333.00,0.78,+,29562.00,3.92,-,28448.00,1.88,+,28982.00,0.06,+,29000.08,0.24,+,29071.12,4.89,+,30493.92,2.69,+,31312.77,3.88,+,32526.36,3.27,+,33590.04,7.37,+,36066.44,13.46,+,40921.10,0.75,+,41227.25,1.31,+,41766.82,2.32,+,42737.41,1.54,+,43394.87,1.20,+,43914.92,1.08,+,44390.37,1.53,-,43710.86,2.70,+,44890.87,0.79,+,45247.61,2.89,+,46554.26,0.10,+,46600.84,1.16,+,47139.71,4.80,+,49402.35,1.62,+,50200.89,4.45,+,52437.25,1.81,+,53387.32,,,,,,,
075,BUTLER CO,23868.00,16.05,+,27699.00,4.25,+,28877.00,0.94,+,29149.00,0.47,+,29287.00,4.10,+,30488.00,1.80,+,31037.00,3.21,+,32033.00,4.10,+,33345.00,3.40,+,34480.00,3.10,+,35549.00,4.21,+,37043.86,2.24,+,37875.04,3.64,+,39252.96,4.91,+,41181.30,2.54,+,42227.08,2.57,+,43312.59,2.07,+,44211.22,6.49,+,47082.32,1.71,+,47885.26,1.60,+,48651.58,2.15,-,47606.14,0.70,+,47937.13,0.66,+,48251.53,1.06,-,47738.04,0.88,+,48156.08,1.21,+,48738.37,2.03,-,47750.97,1.44,+,48438.54,0.76,-,48069.76,1.92,+,48990.71,0.11,-,48937.48,0.93,-,48480.37,6.03,+,51402.87,4.29,+,53606.37,,,,,,,
081,CALDWELL CO,25941.00,9.14,+,28311.00,5.82,+,29960.00,0.35,-,29856.00,2.41,+,30577.00,1.36,-,30166.00,0.13,-,30126.00,3.15,+,31075.00,1.17,+,31438.00,5.23,+,33083.00,4.53,+,34580.00,3.73,+,35869.32,3.85,+,37251.87,1.72,+,37891.31,3.89,+,39365.50,2.98,+,40537.13,2.66,+,41613.74,2.57,+,42684.02,8.39,+,46263.74,0.01,-,46257.13,1.93,+,47147.60,1.62,-,46381.89,0.34,-,46222.41,0.34,+,46380.49,0.74,+,46721.91,0.58,-,46450.66,1.56,+,47176.80,0.14,+,47241.48,0.81,+,47624.12,1.71,+,48438.77,1.38,+,49106.85,2.94,+,50550.45,0.04,-,50528.07,2.63,+,51855.26,1.98,+,52883.20,,,,,,,
085,CALLOWAY CO,25843.00,12.14,+,28981.00,5.43,+,30556.00,1.45,+,30998.00,1.66,+,31512.00,2.48,+,32292.00,2.92,+,33236.00,1.59,+,33765.00,4.19,+,35180.00,2.38,+,36018.00,2.24,+,36823.00,2.20,+,37633.08,3.88,+,39092.40,2.12,+,39922.80,2.22,+,40807.30,2.60,+,41867.65,2.10,+,42746.18,1.72,+,43482.49,7.40,+,46699.98,2.76,+,47988.32,1.33,+,48624.62,0.73,-,48270.44,0.77,-,47899.84,0.82,+,48292.82,2.76,+,49625.30,2.83,+,51027.53,2.31,+,52204.85,0.60,-,51890.34,0.69,+,52248.04,0.22,+,52361.32,2.24,+,53532.34,2.99,+,55132.62,0.39,-,54918.62,1.72,+,55860.79,1.54,+,56723.78,,,,,,,
091,CAMPBELL CO,26782.00,9.36,+,29289.00,5.40,+,30871.00,0.46,+,31013.00,0.30,+,31105.00,2.17,+,31779.00,0.95,+,32081.00,0.90,+,32370.00,1.61,-,31857.00,2.78,+,32744.00,3.41,+,33861.00,3.56,+,35067.06,1.13,+,35463.79,3.60,+,36740.75,1.97,+,37465.17,4.50,+,39151.98,4.05,+,40735.70,5.81,+,43103.55,7.67,+,46409.10,1.33,+,47026.43,0.82,+,47412.33,0.31,-,47264.90,1.24,+,47852.91,1.11,+,48383.18,1.93,+,49318.01,1.04,+,49829.99,2.19,+,50918.84,0.51,-,50656.69,3.00,+,52176.53,1.94,+,53186.60,2.14,+,54324.92,0.74,+,54725.44,1.47,+,55529.31,1.06,+,56116.51,5.29,+,59082.83,,,,,,,
092,CAMPBELLSVILLE,24523.00,9.93,+,26959.00,7.63,+,29015.00,0.47,+,29150.00,1.66,+,29633.00,3.51,+,30672.00,1.07,+,31001.00,5.56,+,32724.00,3.58,+,33894.00,0.80,+,34165.00,1.18,+,34567.00,1.92,+,35229.18,5.48,+,37159.05,0.96,+,37514.75,1.77,+,38178.38,2.66,+,39193.69,2.82,+,40298.67,3.62,+,41758.65,8.78,+,45423.58,2.61,+,46609.83,2.11,+,47592.32,4.47,-,45465.69,1.94,+,46349.97,1.17,+,46892.59,2.02,-,45944.17,3.09,+,47364.49,2.78,+,48679.93,0.98,+,49156.47,2.48,+,50374.33,0.06,-,50342.28,0.44,-,50123.09,2.97,+,51613.45,0.03,+,51630.24,0.96,+,52125.98,2.04,+,53191.72,,,,,,,
