Dist No,District name,1989-90,% CHG,,1990-91,% CHG,,1991-92,% CHG,,1992-93,% CHG,,1993-94,% CHG,,1994-95,% CHG,,1995-96,% CHG,,1996-97,% CHG,,1997-98,% CHG,,1998-99,% CHG,,1999-00,% CHG,,2000-01,% CHG,,2001-02,% CHG,,2002-03,% CHG,,2003-04,% CHG,,2004-05,% CHG,,2005-06,% CHG,,2006-07,% CHG,,2007-08,% CHG,,2008-09,% CHG,,2009-10,% CHG,,2010-11,% CHG,,2011-12,% CHG,,2012-13,% CHG,,2013-14,% CHG,,2014-15,% CHG,,2015-16,% CHG,,2016-17,% CHG,,2017-18,% CHG,,2018-19,% CHG,,2019-20,% CHG,,2020-21,% CHG,,2021-22,% CHG,,2022-23,% CHG,,2023-24,,,,,,,
191,GALLATIN CO,23302.00,9.35,+,25480.00,4.62,+,26657.00,2.03,-,26127.00,4.39,+,27275.00,3.25,+,28162.00,2.40,+,28839.00,3.65,+,29891.00,1.21,+,30252.00,1.15,+,30600.00,1.25,+,30983.00,2.98,+,31905.64,5.93,+,33796.56,2.48,+,34635.77,2.77,+,35594.66,2.13,+,36352.20,4.87,+,38123.44,2.54,+,39093.57,9.79,+,42920.92,3.59,+,44463.36,1.21,+,44999.35,0.13,-,44940.38,0.62,+,45219.14,0.34,-,45065.37,1.75,+,45853.02,1.64,+,46606.23,2.54,+,47788.85,1.41,-,47116.56,0.29,+,47252.31,0.15,-,47182.57,0.56,+,47447.43,2.53,+,48647.35,1.37,+,49314.73,3.24,+,50914.96,3.88,+,52892.87,,,,,,,
195,GARRARD CO,25154.00,7.26,+,26979.00,6.29,+,28676.00,2.11,+,29282.00,0.95,+,29559.00,1.98,+,30144.00,3.38,+,31164.00,4.25,+,32487.00,1.80,+,33071.00,2.31,+,33834.00,0.61,+,34041.00,1.73,+,34630.18,2.21,+,35394.03,3.52,+,36639.65,4.02,+,38111.04,3.93,+,39608.96,4.46,+,41375.25,0.13,-,41322.01,9.04,+,45056.13,2.95,+,46387.24,1.67,+,47163.76,0.74,-,46816.90,0.51,+,47056.24,1.27,-,46458.93,0.89,+,46873.20,1.13,+,47404.30,1.06,+,47907.71,0.30,-,47764.35,0.22,+,47871.13,1.82,+,48741.00,1.03,-,48239.27,2.42,+,49407.62,0.39,-,49216.46,1.84,+,50122.07,3.13,+,51689.12,,,,,,,
197,GLASGOW,26656.00,11.00,+,29587.00,6.90,+,31628.00,0.04,-,31616.00,2.10,+,32281.00,2.23,+,33002.00,1.51,+,33499.00,3.36,+,34626.00,2.24,+,35400.00,3.02,+,36469.00,3.05,+,37580.00,1.98,+,38325.88,2.38,+,39239.54,3.19,+,40489.69,3.40,+,41866.07,2.42,+,42880.70,4.83,+,44953.59,1.65,+,45695.75,8.09,+,49393.79,1.44,+,50107.12,1.56,+,50886.69,1.94,-,49898.33,0.21,-,49791.09,1.04,+,50308.31,0.71,+,50664.00,0.33,+,50829.74,2.24,+,51970.03,0.70,-,51605.27,1.10,+,52170.40,0.74,+,52558.98,0.69,+,52919.66,1.94,+,53947.44,1.68,+,54855.12,0.20,-,54742.92,6.71,+,58415.84,,,,,,,
201,GRANT CO,24156.00,10.85,+,26778.00,4.35,+,27942.00,3.34,+,28876.00,1.81,+,29399.00,2.78,+,30217.00,1.52,-,29764.00,5.66,+,31448.00,3.13,+,32432.00,0.03,-,32421.00,1.91,+,33039.00,3.39,+,34159.97,6.03,+,36219.85,1.30,+,36689.92,2.52,+,37612.68,4.41,+,39271.17,1.90,+,40018.41,4.41,+,41783.84,9.40,+,45710.34,1.77,+,46518.84,0.81,+,46894.27,1.18,-,46339.31,0.48,-,46116.05,1.66,+,46882.54,0.31,+,47028.50,0.87,+,47436.38,2.22,+,48491.07,0.88,-,48062.40,0.67,-,47737.99,0.93,+,48181.45,1.33,-,47538.25,0.94,+,47983.58,0.17,-,47900.92,0.42,+,48101.43,1.70,+,48920.74,,,,,,,
205,GRAVES CO,25895.00,9.39,+,28326.00,5.49,+,29880.00,0.83,-,29634.00,2.10,+,30256.00,1.44,+,30691.00,3.77,+,31848.00,3.15,+,32851.00,1.97,+,33497.00,3.42,+,34642.00,1.14,+,35037.00,2.82,+,36023.83,3.25,+,37193.86,0.65,+,37437.30,3.75,+,38842.99,2.68,+,39883.51,2.72,+,40967.41,4.21,+,42693.57,8.67,+,46396.03,1.31,+,47004.14,1.47,+,47697.38,1.46,-,46999.73,1.58,+,47743.67,0.15,-,47670.77,0.20,-,47575.48,2.22,+,48630.89,1.78,+,49494.40,0.60,-,49197.11,0.64,+,49510.31,0.44,+,49728.54,1.17,-,49146.35,3.02,+,50631.15,2.04,+,51663.45,2.69,+,53051.31,1.00,+,53581.76,,,,,,,
211,GRAYSON CO,24971.00,10.57,+,27610.00,7.32,+,29630.00,0.15,-,29587.00,2.83,+,30425.00,1.31,+,30823.00,5.30,+,32456.00,1.57,+,32965.00,1.83,+,33569.00,2.59,+,34439.00,2.70,+,35368.00,1.77,+,35994.60,2.02,+,36722.93,1.63,+,37321.26,2.77,+,38356.89,2.89,+,39466.79,3.79,+,40963.96,2.64,+,42044.50,7.77,+,45313.43,0.08,+,45349.10,0.03,+,45364.15,0.06,+,45391.67,3.13,+,46810.72,0.45,+,47022.09,0.11,-,46969.59,1.59,+,47716.27,3.28,+,49281.10,0.14,+,49349.90,0.01,+,49356.57,0.67,-,49023.99,0.78,-,48641.49,0.44,-,48426.56,1.91,+,49352.40,1.13,+,49908.38,4.35,+,52078.35,,,,,,,
215,GREEN CO,25304.00,11.50,+,28214.00,4.85,+,29583.00,1.05,-,29275.00,0.14,-,29235.00,1.91,+,29794.00,3.41,+,30809.00,3.59,+,31914.00,1.62,+,32431.00,3.22,+,33475.00,0.57,-,33285.00,0.94,+,33598.60,2.19,+,34335.98,4.07,+,35734.90,3.76,+,37077.80,3.71,+,38453.89,1.35,+,38974.52,2.15,+,39814.05,9.33,+,43529.88,2.94,+,44810.94,1.02,+,45268.49,1.97,+,46158.95,1.68,+,46932.55,0.40,-,46746.73,0.40,+,46935.00,0.54,+,47188.15,0.20,+,47282.68,0.08,+,47319.24,0.35,-,47154.95,1.52,+,47871.81,0.66,+,48189.07,2.19,+,49245.07,1.10,+,49786.81,3.10,+,51332.59,2.19,+,52457.46,,,,,,,
221,GREENUP CO,24765.00,11.15,+,27527.00,7.09,+,29479.00,0.88,+,29738.00,3.87,+,30889.00,2.26,+,31587.00,1.83,+,32165.00,0.64,+,32371.00,2.65,+,33228.00,3.48,+,34385.00,1.88,+,35033.00,2.32,+,35845.41,1.44,+,36362.13,2.17,+,37149.84,2.57,+,38106.29,0.59,+,38329.58,0.48,+,38511.97,1.70,+,39168.51,9.82,+,43012.91,1.52,+,43665.26,2.19,+,44621.71,0.07,+,44651.62,0.03,+,44664.25,0.09,-,44621.90,0.08,-,44586.26,2.78,+,45827.68,0.84,+,46211.28,2.32,+,47281.11,1.13,-,46746.24,0.82,+,47129.99,0.86,-,46722.92,0.41,+,46914.37,2.01,+,47855.96,2.54,+,49069.48,0.81,+,49468.81,,,,,,,
225,HANCOCK CO,26999.00,9.33,+,29519.00,8.08,+,31905.00,2.83,-,31026.00,3.31,+,32053.00,0.55,-,31877.00,0.72,-,31648.00,1.77,+,32208.00,1.90,+,32819.00,2.87,+,33760.00,2.98,+,34766.00,2.53,+,35645.05,3.63,+,36938.11,3.54,+,38245.29,4.25,+,39870.44,3.52,+,41273.26,6.13,+,43804.62,1.90,+,44639.06,6.04,+,47334.70,1.09,+,47851.47,2.17,+,48889.32,2.83,-,47504.42,0.14,+,47570.42,0.81,+,47956.32,0.08,+,47995.05,1.27,+,48606.27,2.85,+,49991.06,0.51,+,50244.21,2.51,+,51507.23,0.00,+,51507.85,2.49,+,52790.71,3.54,+,54658.37,0.41,-,54435.48,3.46,+,56321.62,2.46,+,57707.94,,,,,,,
231,HARDIN CO,25750.00,10.00,+,28325.00,5.64,+,29922.00,0.30,+,30011.00,2.25,+,30687.00,3.04,+,31621.00,1.71,+,32163.00,3.40,+,33256.00,1.96,+,33908.00,2.95,+,34908.00,4.82,+,36591.00,2.57,+,37531.50,3.13,+,38706.84,1.95,+,39460.44,4.73,+,41327.93,1.54,+,41963.21,3.78,+,43550.91,2.58,+,44674.72,8.68,+,48554.51,2.02,+,49535.16,0.77,+,49917.27,1.61,-,49112.24,0.07,+,49145.45,1.83,+,50047.03,1.41,+,50751.05,13.99,+,57852.96,9.55,-,52328.97,0.32,+,52495.94,0.54,+,52778.56,0.84,+,53222.73,1.26,+,53895.54,1.25,+,54571.72,1.87,+,55590.10,1.28,+,56302.57,1.99,+,57420.77,,,,,,,
235,HARLAN CO,24868.00,12.33,+,27935.00,8.57,+,30329.00,1.12,+,30669.00,1.84,+,31233.00,2.63,+,32053.00,1.28,-,31649.00,2.20,+,32345.00,1.93,+,32968.00,3.84,+,34233.00,2.67,+,35146.00,1.99,+,35844.84,4.56,+,37478.32,3.02,+,38609.86,2.80,+,39689.23,3.57,+,41105.28,4.21,+,42835.18,0.88,+,43210.87,9.11,+,47148.57,2.25,+,48207.29,1.79,+,49072.16,1.23,-,48466.47,1.76,-,47614.66,0.69,+,47941.65,1.39,-,47275.37,0.71,-,46939.94,1.52,+,47652.79,0.38,-,47471.91,0.67,-,47152.81,0.70,+,47484.66,0.40,-,47292.38,0.10,-,47245.33,2.96,+,48642.23,3.81,+,50493.52,0.90,-,50039.66,,,,,,,
236,HARLAN,23874.00,14.32,+,27292.00,8.54,+,29624.00,2.14,+,30258.00,0.45,+,30393.00,4.02,+,31615.00,4.11,+,32915.00,1.56,+,33427.00,0.31,+,33531.00,0.47,-,33375.00,2.89,+,34339.00,5.44,+,36205.77,0.41,+,36354.55,2.88,+,37400.71,2.69,+,38407.16,4.59,+,40170.65,2.11,+,41020.16,4.49,+,42861.98,3.19,+,44227.38,2.36,+,45271.30,1.31,+,45862.75,2.09,-,44903.62,2.08,+,45839.41,0.56,+,46095.01,0.37,+,46265.92,4.11,+,48165.20,3.20,+,49708.75,2.75,-,48342.15,2.59,-,47088.46,0.15,-,47016.74,1.52,-,46304.13,4.21,+,48254.56,0.55,+,48521.50,1.14,-,47969.41,1.57,+,48720.25,,,,,,,
241,HARRISON CO,24360.00,10.86,+,27006.00,7.96,+,29155.00,3.51,+,30177.00,1.72,+,30697.00,2.32,+,31410.00,2.15,+,32085.00,2.42,+,32863.00,1.00,+,33190.00,2.62,+,34061.00,1.99,+,34739.00,1.27,+,35181.07,1.84,+,35827.87,3.90,+,37225.96,4.37,+,38852.42,2.65,+,39882.94,3.78,+,41392.34,1.38,+,41963.14,8.92,+,45704.24,1.08,+,46196.85,0.99,+,46654.93,0.75,-,46307.09,1.21,+,46867.02,1.15,-,46327.20,0.77,+,46685.53,1.31,+,47296.53,2.28,+,48373.84,0.06,-,48347.03,2.89,+,49742.49,0.06,+,49772.14,2.18,+,50856.42,0.30,+,51008.42,1.48,+,51761.39,6.16,+,54948.56,0.80,+,55385.60,,,,,,,
242,HARRODSBURG,25953.00,7.09,+,27794.00,6.35,+,29558.00,0.47,-,29419.00,0.04,+,29431.00,2.78,+,30249.00,0.28,+,30334.00,0.22,+,30400.00,3.41,+,31436.00,0.67,-,31227.00,3.29,+,32255.00,3.72,+,33456.21,6.15,+,35512.58,5.83,+,37581.74,4.00,+,39085.10,4.73,+,40933.13,0.60,+,41178.85,,,Merged with Mercer County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,
245,HART CO,24670.00,9.98,+,27131.00,8.09,+,29325.00,0.74,-,29109.00,1.12,+,29436.00,4.67,+,30811.00,0.18,-,30757.00,4.09,+,32014.00,1.00,+,32335.00,5.26,+,34037.00,4.75,+,35655.00,1.97,+,36359.04,1.88,-,35673.91,2.28,+,36488.99,0.59,+,36705.44,4.66,+,38414.96,1.38,+,38943.94,2.00,+,39721.98,10.48,+,43884.82,2.39,+,44935.25,0.32,+,45081.19,1.62,+,45813.07,2.48,+,46951.48,0.85,-,46553.92,1.82,+,47398.92,2.09,+,48389.26,2.19,+,49448.75,0.95,+,49916.63,0.28,+,50055.74,1.45,-,49395.27,1.24,-,48782.39,2.00,+,49758.90,0.89,+,50200.41,1.37,+,50888.11,0.37,+,51075.97,,,,,,,
246,HAZARD,23597.00,13.85,+,26864.00,8.78,+,29222.00,5.61,+,30861.00,1.48,+,31318.00,2.41,+,32074.00,3.26,+,33120.00,5.72,+,35016.00,1.88,+,35673.00,3.61,+,36959.00,2.18,+,37764.00,2.19,+,38589.60,0.25,+,38686.05,3.70,+,40118.00,2.02,+,40929.42,2.87,+,42104.56,2.47,+,43143.58,2.62,+,44272.14,23.05,+,48877.76,0.51,+,49126.55,0.19,-,49032.14,3.66,-,47238.30,0.69,+,47563.35,1.49,-,46854.97,1.48,+,47546.41,0.36,-,47376.71,4.07,+,49305.34,0.57,+,49584.48,0.32,-,49427.56,0.24,+,50780.50,0.20,+,50882.60,1.02,+,51403.37,0.14,+,51474.19,2.49,+,52753.68,0.38,+,52951.93,,,,,,,
251,HENDERSON CO,26464.00,9.87,+,29076.00,4.34,+,30337.00,1.00,+,30641.00,0.25,+,30717.00,4.06,+,31964.00,1.49,+,32440.00,3.28,+,33503.00,1.81,+,34110.00,0.39,-,33978.00,1.91,+,34626.00,2.89,+,35628.27,3.71,+,36950.41,2.58,+,37902.84,5.83,+,40113.92,2.47,+,41103.46,3.41,+,42506.77,0.02,+,42513.25,5.68,+,46787.27,1.27,-,46191.86,1.61,+,46933.78,1.09,-,46423.58,1.93,-,45525.56,1.42,+,46171.97,0.24,-,46061.34,1.36,+,46687.39,3.28,+,48219.47,0.94,+,48671.78,0.52,-,48420.80,0.77,+,49307.07,1.70,+,50142.84,2.21,+,51249.94,1.89,+,52220.95,4.81,-,54733.31,1.80,-,55718.91,,,,,,,
255,HENRY CO,24487.00,10.53,+,27065.00,9.98,+,29765.00,0.22,+,29831.00,1.07,+,30150.00,4.41,+,31481.00,1.00,+,31796.00,3.88,+,33030.00,4.34,+,34464.00,4.02,+,35848.00,2.58,+,36772.00,0.67,+,37019.10,3.32,+,38249.06,3.31,+,39513.44,3.06,+,40721.56,3.25,+,42044.14,3.37,+,43463.02,0.32,+,43603.44,9.48,+,46544.42,0.41,+,46734.41,0.20,+,46830.14,4.59,-,44682.63,2.06,+,45601.17,1.15,+,46127.75,0.19,+,46216.13,2.25,+,47253.94,2.97,+,48659.44,1.01,-,48169.66,1.51,-,47441.66,1.56,+,48049.12,2.04,+,49029.75,1.26,+,49647.46,2.70,+,50986.27,0.35,-,51164.29,3.28,-,52841.36,,,,,,,
261,HICKMAN CO,24700.00,8.87,+,26891.00,9.72,+,29505.00,2.97,+,30382.00,1.18,+,30739.00,0.69,+,30951.00,2.09,+,31599.00,1.60,+,32104.00,5.34,+,33819.00,3.47,+,34992.00,2.40,+,35833.00,2.52,+,36734.36,2.51,+,37657.65,0.16,+,37719.04,2.55,+,38679.65,0.23,-,38588.77,3.01,+,39748.75,2.26,+,40648.96,2.50,+,44693.41,0.34,-,44539.33,1.15,+,45050.33,2.44,-,43950.98,2.47,+,45034.40,1.75,+,45822.66,0.08,+,45858.99,0.84,+,46245.44,3.25,+,47750.24,0.17,-,47667.99,0.39,-,47483.55,1.13,-,46701.17,4.61,+,48856.08,1.54,+,49609.96,0.48,-,49372.19,0.04,+,49351.56,3.15,+,50905.96,,,,,,,
265,HOPKINS CO,25739.00,11.33,+,28656.00,5.18,+,30141.00,0.53,+,30302.00,0.57,+,30476.00,3.49,+,31540.00,0.85,+,31809.00,2.26,+,32529.00,1.96,+,33166.00,1.53,+,33672.00,2.00,+,34345.00,3.02,+,35382.26,2.23,+,36172.27,3.02,+,37262.92,2.19,+,38077.18,3.28,+,39327.68,1.85,+,40056.57,1.09,+,40491.30,8.70,+,44186.31,0.21,+,44280.59,0.73,+,44602.65,1.94,-,43735.33,0.60,+,43998.04,1.32,+,44579.20,1.72,+,45343.78,1.91,+,46209.23,1.00,+,46672.46,0.43,-,46469.44,0.68,+,46783.69,6.00,+,46944.64,1.78,+,47779.33,2.21,+,48834.74,0.82,-,48433.67,3.93,+,50336.85,3.24,+,51969.42,,,,,,,
271,JACKSON CO,23511.00,15.02,+,27043.00,5.40,+,28502.00,1.01,+,28789.00,7.46,+,30936.00,3.01,+,31866.00,2.87,+,32781.00,0.72,+,33017.00,0.06,-,32998.00,3.75,+,34235.00,3.52,+,35439.00,1.64,+,36021.66,1.91,+,36709.63,4.00,+,38178.83,4.53,+,39908.67,2.67,+,40974.15,3.51,+,42412.84,2.10,+,43302.63,17.18,+,47447.01,1.40,+,48113.14,0.21,-,48011.86,2.33,+,49129.51,0.81,-,48733.39,0.15,-,48658.93,1.04,+,49165.10,0.80,-,48773.10,1.22,+,49369.53,0.27,+,49502.27,0.05,+,49524.93,0.71,+,49591.60,0.76,+,49969.80,0.78,-,49582.20,0.85,-,49160.32,5.92,+,52071.11,0.98,+,51560.30,,,,,,,
272,JACKSON,24177.00,10.27,+,26660.00,0.01,-,26658.00,1.12,-,26362.00,6.76,+,28143.00,6.10,+,29860.00,1.28,+,30243.00,14.49,+,34625.00,9.57,-,31601.00,10.11,+,34795.00,1.62,+,35360.00,6.56,-,33038.65,5.37,+,34812.16,0.65,+,35039.83,2.94,+,36070.43,4.62,+,37738.22,7.96,+,40742.79,7.21,+,43681.25,10.13,+,47687.29,4.09,+,49638.27,1.53,-,48876.80,2.01,-,47893.95,1.57,+,48645.94,0.72,+,48997.38,0.44,-,48781.92,1.64,+,49582.85,2.17,+,50660.05,1.48,-,49909.87,0.15,+,49985.75,28.60,-,49874.71,3.41,-,48175.80,6.62,+,51366.49,7.10,+,55014.73,2.94,+,53399.52,1.49,+,54195.51,,,,,,,
275,JEFFERSON CO,29267.00,9.24,+,31971.00,5.06,+,33589.00,0.10,-,33557.00,2.10,+,34261.00,3.30,+,35391.00,1.14,+,35795.00,1.82,+,36448.00,1.96,+,37162.00,4.52,+,38843.00,3.78,+,40311.00,3.98,+,41914.06,5.10,+,44051.58,3.74,+,45700.63,2.35,+,46775.97,2.53,+,47959.00,3.00,+,49398.62,3.82,+,51286.72,23.97,+,54150.41,1.73,+,55086.98,1.09,+,55688.85,0.79,+,56128.55,6.00,+,59496.43,0.89,+,60028.85,0.19,-,59913.77,0.66,+,60307.48,2.71,-,61943.64,0.45,+,62225.18,1.88,+,63392.27,24.96,+,64279.38,1.22,+,65062.19,0.24,+,65215.74,0.76,+,65710.43,5.22,-,69140.18,5.59,-,73008.33,,,,,,,
276,JENKINS,23805.00,17.20,+,27899.00,9.46,+,30537.00,3.11,+,31488.00,1.78,+,32049.00,2.69,-,31209.00,0.43,+,31344.00,3.66,+,32490.00,0.86,+,32768.00,4.17,+,34135.00,1.90,+,34782.00,0.99,+,35126.42,0.31,-,35016.09,1.23,+,35445.57,4.06,+,36886.39,5.55,+,38932.63,1.30,-,38428.17,0.40,+,38580.12,16.98,+,42577.85,2.44,+,43618.82,1.34,+,44201.24,1.97,-,43328.40,0.77,-,42996.70,2.06,-,42109.61,2.74,+,43261.44,2.81,+,44475.48,2.31,+,45501.01,0.84,+,45885.41,3.71,+,47588.23,2.33,-,47571.59,0.01,+,47574.78,4.03,+,49493.35,2.13,-,48438.61,0.41,+,48242.14,0.52,+,48492.10,,,,,,,
281,JESSAMINE CO,24407.00,13.52,+,27706.00,5.25,+,29160.00,0.39,-,29046.00,2.48,+,29765.00,1.99,+,30358.00,1.28,+,30747.00,3.24,+,31743.00,2.36,+,32493.00,1.71,+,33050.00,2.90,+,34008.00,1.72,+,34592.00,4.73,+,36226.65,2.14,+,37000.42,3.04,+,38127.01,2.85,+,39215.12,1.96,+,39982.94,1.58,+,40615.68,13.48,+,43779.55,1.53,+,44449.25,1.90,+,45295.14,1.61,-,44567.47,2.43,+,45650.71,1.03,+,46119.48,1.12,-,45603.99,1.81,+,46428.76,3.69,+,48141.62,0.15,-,48070.07,0.00,+,48071.22,7.64,+,48697.94,3.42,+,50361.91,3.72,+,52235.10,2.33,+,53449.83,3.84,-,55504.03,6.54,-,59131.70,,,,,,,
285,JOHNSON CO,24442.00,12.05,+,27386.00,7.73,+,29502.00,1.16,+,29843.00,0.58,-,29672.00,4.24,+,30930.00,3.56,+,32030.00,3.37,+,33110.00,4.14,+,34482.00,2.99,+,35512.00,2.04,+,36236.00,2.89,+,37282.26,2.74,+,38305.25,1.35,+,38822.07,4.51,+,40573.36,3.30,+,41910.46,3.71,+,43465.18,1.77,+,44234.71,18.30,+,48047.65,0.55,-,47785.15,2.58,+,49018.99,0.65,+,49336.81,0.81,-,48938.85,0.99,+,49424.86,0.08,+,49464.59,1.41,+,50164.31,2.78,+,51557.00,0.72,-,51187.22,0.16,+,51270.21,7.45,+,51742.74,1.61,+,52573.61,0.36,+,52764.97,0.85,-,52317.54,2.04,+,53385.09,0.38,+,53179.99,,,,,,,
291,KENTON CO,26109.00,9.95,+,28707.00,5.62,+,30321.00,4.04,+,31545.00,2.60,+,32365.00,3.36,+,33454.00,0.63,+,33665.00,1.43,+,34146.00,2.29,+,34927.00,1.69,+,35516.00,1.77,+,36146.00,3.89,+,37552.85,5.03,+,39440.99,3.03,+,40637.83,3.00,+,41856.92,3.74,+,43423.61,2.72,+,44605.40,1.32,+,45195.12,9.25,+,48327.02,1.94,+,49263.59,0.16,+,49342.04,1.05,-,48823.44,1.00,+,49312.46,2.53,+,50562.33,1.93,+,51540.71,1.78,+,52456.55,1.68,-,53337.19,1.31,+,54034.46,1.22,+,54693.25,8.58,+,55090.01,1.77,+,56062.48,1.00,+,56621.25,0.97,+,57168.22,4.69,-,59847.10,2.97,-,61625.97,,,,,,,
295,KNOTT CO,24029.00,16.22,+,27927.00,6.52,+,29749.00,0.92,-,29477.00,0.61,+,29656.00,5.22,+,31203.00,2.81,+,32079.00,6.08,+,34028.00,2.96,+,35035.00,2.32,+,35847.00,4.24,+,37368.00,4.87,+,39187.99,4.39,+,40908.32,3.41,+,42301.68,1.38,+,42885.36,4.54,+,44830.22,1.79,+,45633.49,3.91,+,47419.58,13.59,+,51336.80,0.54,+,51612.65,1.30,-,50940.10,2.72,-,49556.30,1.33,+,50217.83,0.89,-,49773.38,0.58,-,49484.39,0.95,+,49956.91,1.94,+,50927.64,0.23,-,50809.32,0.06,+,50838.36,2.16,-,50000.39,0.26,+,50128.26,0.40,-,49927.55,1.95,+,50899.40,1.12,+,51470.34,4.30,-,53683.51,,,,,,,
301,KNOX CO,25523.00,15.23,+,29410.00,4.31,+,30677.00,2.43,+,31423.00,0.60,+,31611.00,2.67,+,32456.00,1.29,+,32875.00,4.51,+,34358.00,2.26,+,35136.00,1.79,+,35766.00,0.77,-,35492.00,2.70,+,36451.44,2.45,+,37344.18,1.87,+,38041.04,2.96,+,39167.72,1.84,+,39886.68,2.55,+,40905.10,2.94,+,42108.63,1.72,+,46602.89,2.34,+,47693.07,0.52,+,47939.94,1.93,-,47016.32,1.36,-,46377.17,0.34,+,46537.11,0.29,-,46402.99,1.11,+,46918.42,1.94,+,47830.60,0.05,+,47854.28,3.21,+,49390.73,10.64,+,49739.55,0.29,-,49595.02,1.68,+,50428.78,1.10,-,49874.96,3.41,+,51574.34,0.84,+,51142.71,,,,,,,
305,LARUE CO,26364.00,10.72,+,29191.00,4.91,+,30624.00,2.04,-,30012.00,1.87,+,30572.00,1.10,+,30907.00,0.90,-,30630.00,3.10,+,31579.00,1.50,+,32054.00,1.09,+,32402.00,5.39,+,34149.00,4.67,+,35742.37,4.78,+,37452.57,3.67,+,38827.69,4.41,+,40540.02,1.01,+,40948.25,6.70,+,43693.15,2.64,+,44844.88,16.10,+,48889.69,1.68,+,49713.42,1.37,+,50392.87,1.50,-,49636.11,1.08,+,50173.87,0.46,+,50407.11,0.29,-,50259.69,2.49,+,51513.55,3.96,+,53551.74,0.22,+,53671.70,0.46,+,53917.57,4.65,+,54646.02,0.17,+,54737.14,2.41,+,56054.33,1.33,-,55306.97,2.27,+,56560.81,2.82,+,58157.10,,,,,,,
311,LAUREL CO,24607.00,10.07,+,27086.00,10.77,+,30002.00,2.10,+,30631.00,1.30,+,31030.00,2.89,+,31926.00,4.12,+,33242.00,4.37,+,34695.00,3.25,+,35824.00,2.05,+,36560.00,1.13,+,36972.00,2.57,+,37922.69,1.19,+,38373.65,2.68,+,39400.26,2.85,+,40524.82,3.14,+,41797.75,3.26,+,43158.82,4.19,+,44966.06,8.14,+,48493.57,0.93,-,48044.79,2.78,+,49380.22,0.71,-,49027.56,0.24,-,48910.56,0.56,+,49184.94,0.22,-,49077.54,0.99,+,49564.74,1.94,+,50525.98,0.85,+,50954.03,0.67,+,51293.60,7.74,+,51408.40,0.31,-,51248.10,1.39,+,51961.15,1.55,+,52765.58,6.79,-,56346.47,0.89,-,56845.60,,,,,,,
315,LAWRENCE CO,23834.00,12.81,+,26888.00,6.07,+,28519.00,0.95,+,28791.00,2.06,+,29385.00,1.79,+,29911.00,0.60,+,30090.00,2.80,+,30934.00,3.42,+,31992.00,3.60,+,33143.00,2.61,+,34008.00,1.92,+,34661.63,2.00,+,35356.43,3.14,+,36465.16,3.20,+,37630.29,5.38,+,39655.82,3.77,+,41152.13,0.27,+,41262.33,0.58,+,45227.79,1.48,+,45896.13,0.60,-,45618.95,1.60,-,44889.91,1.00,-,44442.28,0.32,-,44298.64,1.47,+,44948.74,1.31,+,45537.78,1.93,+,46414.45,0.70,+,46737.77,0.21,+,46836.52,6.75,+,47321.88,1.48,+,48022.80,0.51,+,48266.51,0.51,+,48513.03,1.97,+,49469.16,0.52,-,49724.80,,,,,,,
321,LEE CO,23934.00,14.88,+,27496.00,5.27,+,28944.00,1.27,+,29313.00,1.27,+,29684.00,3.39,+,30691.00,2.98,+,31607.00,4.32,+,32972.00,1.26,+,33388.00,0.39,+,33519.00,2.02,+,34197.00,1.96,+,34866.78,2.44,+,35715.79,2.69,+,36677.80,4.33,+,38266.77,3.88,+,39751.66,4.75,+,41639.52,2.78,+,42798.33,13.11,+,46671.70,2.17,+,47683.16,0.77,+,48049.06,0.98,-,47576.53,0.47,-,47354.77,1.08,+,47864.65,1.25,+,48462.69,2.16,+,49508.48,1.89,+,50444.15,0.22,+,50553.82,0.30,-,50400.92,1.33,-,49995.71,1.21,-,49390.73,1.71,-,48543.96,3.83,-,46683.44,5.20,+,49111.15,0.16,+,49034.34,,,,,,,
325,LESLIE CO,24504.00,14.12,+,27963.00,5.31,+,29447.00,2.13,+,30073.00,1.22,-,29712.00,4.26,+,30978.00,0.95,-,30685.00,6.21,+,32589.00,4.46,+,34044.00,3.15,+,35115.00,2.83,+,36109.00,3.08,+,37222.23,3.36,+,38471.94,3.96,+,39996.71,2.94,+,41170.94,3.14,+,42462.75,2.11,+,43359.91,2.93,+,44632.07,13.94,+,48763.12,0.06,+,48791.02,2.35,+,49936.93,3.05,-,48416.06,1.11,-,47878.96,0.43,+,48082.97,0.03,+,48099.03,3.30,+,49685.64,0.81,+,50088.45,1.20,-,49485.49,0.13,+,49551.57,0.64,+,49728.85,0.59,-,49434.77,1.03,+,49946.02,2.10,-,48897.47,0.48,+,48664.77,2.88,+,50066.06,,,,,,,
